run:      1; obh2 = 2.207E-02
 computational parameters:
   cy = 0.003/  ct = 0.000/  initial temp = 3.48E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 model parameters:
   g =  0.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00
it =    306

    temp        n/H          p          D/H         T/H        3He/H        4He        6Li/H       7Li/H       7Be/H
 4.003E+00   7.252E-01   5.796E-01   2.772E-12   6.081E-24   6.928E-24   4.000E-25   1.725E-25   1.725E-25   1.725E-25
 3.827E+00   7.147E-01   5.832E-01   2.636E-12   5.758E-24   6.598E-24   4.000E-25   1.715E-25   1.715E-25   1.715E-25
 3.658E+00   7.040E-01   5.869E-01   2.508E-12   5.472E-24   6.308E-24   4.000E-25   1.704E-25   1.704E-25   1.704E-25
 3.497E+00   6.930E-01   5.907E-01   2.388E-12   5.221E-24   6.055E-24   4.000E-25   1.693E-25   1.693E-25   1.693E-25
 3.343E+00   6.817E-01   5.946E-01   2.276E-12   5.000E-24   5.836E-24   4.000E-25   1.682E-25   1.682E-25   1.682E-25
 3.196E+00   6.701E-01   5.988E-01   2.171E-12   4.809E-24   5.650E-24   4.000E-25   1.670E-25   1.670E-25   1.670E-25
 3.056E+00   6.583E-01   6.030E-01   2.073E-12   4.646E-24   5.496E-24   4.000E-25   1.658E-25   1.658E-25   1.658E-25
 2.921E+00   6.462E-01   6.075E-01   1.981E-12   4.508E-24   5.371E-24   4.000E-25   1.646E-25   1.646E-25   1.646E-25
 2.793E+00   6.339E-01   6.120E-01   1.895E-12   4.396E-24   5.275E-24   4.000E-25   1.634E-25   1.634E-25   1.634E-25
 2.670E+00   6.213E-01   6.168E-01   1.814E-12   4.308E-24   5.208E-24   4.000E-25   1.621E-25   1.621E-25   1.621E-25
 2.553E+00   6.086E-01   6.217E-01   1.739E-12   4.244E-24   5.169E-24   4.000E-25   1.609E-25   1.609E-25   1.609E-25
 2.440E+00   5.957E-01   6.267E-01   1.670E-12   4.205E-24   5.161E-24   4.000E-25   1.596E-25   1.596E-25   1.596E-25
 2.333E+00   5.826E-01   6.319E-01   1.604E-12   4.190E-24   5.183E-24   4.000E-25   1.583E-25   1.583E-25   1.583E-25
 2.230E+00   5.693E-01   6.372E-01   1.544E-12   4.201E-24   5.237E-24   4.000E-25   1.569E-25   1.569E-25   1.569E-25
 2.132E+00   5.560E-01   6.427E-01   1.488E-12   4.239E-24   5.327E-24   4.000E-25   1.556E-25   1.556E-25   1.556E-25
 2.038E+00   5.426E-01   6.483E-01   1.436E-12   4.306E-24   5.455E-24   4.000E-25   1.543E-25   1.543E-25   1.543E-25
 1.949E+00   5.291E-01   6.540E-01   1.387E-12   4.406E-24   5.625E-24   4.000E-25   1.529E-25   1.529E-25   1.529E-25
 1.863E+00   5.156E-01   6.598E-01   1.343E-12   4.542E-24   5.845E-24   4.000E-25   1.516E-25   1.516E-25   1.516E-25
 1.781E+00   5.021E-01   6.657E-01   1.303E-12   4.720E-24   6.120E-24   4.000E-25   1.502E-25   1.502E-25   1.502E-25
 1.703E+00   4.887E-01   6.717E-01   1.266E-12   4.946E-24   6.461E-24   4.000E-25   1.489E-25   1.489E-25   1.489E-25
 1.628E+00   4.753E-01   6.778E-01   1.233E-12   5.230E-24   6.880E-24   4.000E-25   1.475E-25   1.475E-25   1.475E-25
 1.556E+00   4.621E-01   6.839E-01   1.203E-12   5.582E-24   7.392E-24   4.000E-25   1.462E-25   1.462E-25   1.462E-25
 1.488E+00   4.490E-01   6.901E-01   1.177E-12   6.016E-24   8.016E-24   4.000E-25   1.449E-25   1.449E-25   1.449E-25
 1.422E+00   4.361E-01   6.963E-01   1.154E-12   6.553E-24   8.779E-24   4.000E-25   1.436E-25   1.436E-25   1.436E-25
 1.360E+00   4.234E-01   7.025E-01   1.134E-12   7.217E-24   9.715E-24   4.000E-25   1.423E-25   1.423E-25   1.423E-25
 1.300E+00   4.110E-01   7.087E-01   1.118E-12   8.041E-24   1.087E-23   4.000E-25   1.411E-25   1.411E-25   1.411E-25
 1.243E+00   3.988E-01   7.149E-01   1.106E-12   9.070E-24   1.230E-23   4.000E-25   1.399E-25   1.399E-25   1.399E-25
 1.188E+00   3.869E-01   7.210E-01   1.097E-12   1.037E-23   1.408E-23   4.000E-25   1.387E-25   1.387E-25   1.387E-25
 1.136E+00   3.753E-01   7.271E-01   1.092E-12   1.201E-23   1.633E-23   4.000E-25   1.375E-25   1.375E-25   1.375E-25
 1.086E+00   3.641E-01   7.331E-01   1.091E-12   1.412E-23   1.918E-23   4.000E-25   1.364E-25   1.364E-25   1.364E-25
 1.038E+00   3.533E-01   7.389E-01   1.095E-12   1.686E-23   2.285E-23   4.000E-25   1.353E-25   1.353E-25   1.353E-25
 9.924E-01   3.428E-01   7.447E-01   1.103E-12   2.045E-23   2.762E-23   4.000E-25   1.343E-25   1.343E-25   1.343E-25
 9.488E-01   3.328E-01   7.503E-01   1.116E-12   2.525E-23   3.389E-23   4.000E-25   1.333E-25   1.333E-25   1.333E-25
 9.070E-01   3.232E-01   7.558E-01   1.135E-12   3.173E-23   4.227E-23   4.000E-25   1.323E-25   1.323E-25   1.323E-25
 8.671E-01   3.140E-01   7.610E-01   1.159E-12   4.064E-23   5.361E-23   4.000E-25   1.314E-25   1.314E-25   1.314E-25
 8.298E-01   3.054E-01   7.660E-01   1.190E-12   5.279E-23   6.881E-23   8.389E-25   1.305E-25   1.305E-25   1.305E-25
 7.968E-01   2.979E-01   7.705E-01   1.225E-12   6.838E-23   8.796E-23   2.261E-24   1.298E-25   1.298E-25   1.298E-25
 7.675E-01   2.912E-01   7.745E-01   1.263E-12   8.819E-23   1.119E-22   5.958E-24   1.291E-25   1.291E-25   1.291E-25
 7.413E-01   2.853E-01   7.780E-01   1.304E-12   1.133E-22   1.416E-22   1.541E-23   1.285E-25   1.285E-25   1.285E-25
 7.177E-01   2.800E-01   7.812E-01   1.349E-12   1.449E-22   1.784E-22   3.923E-23   1.280E-25   1.280E-25   1.280E-25
 6.963E-01   2.753E-01   7.841E-01   1.396E-12   1.846E-22   2.237E-22   9.860E-23   1.275E-25   1.275E-25   1.275E-25
 6.767E-01   2.710E-01   7.868E-01   1.446E-12   2.342E-22   2.794E-22   2.449E-22   1.271E-25   1.271E-25   1.271E-25
 6.587E-01   2.670E-01   7.892E-01   1.499E-12   2.961E-22   3.474E-22   6.016E-22   1.267E-25   1.267E-25   1.267E-25
 6.421E-01   2.635E-01   7.915E-01   1.554E-12   3.729E-22   4.304E-22   1.459E-21   1.263E-25   1.263E-25   1.263E-25
 6.267E-01   2.602E-01   7.935E-01   1.612E-12   4.680E-22   5.313E-22   3.488E-21   1.260E-25   1.260E-25   1.260E-25
 6.124E-01   2.572E-01   7.954E-01   1.673E-12   5.853E-22   6.534E-22   8.168E-21   1.257E-25   1.257E-25   1.257E-25
 5.991E-01   2.544E-01   7.972E-01   1.736E-12   7.296E-22   8.009E-22   1.856E-20   1.254E-25   1.254E-25   1.254E-25
 5.867E-01   2.518E-01   7.989E-01   1.802E-12   9.066E-22   9.785E-22   4.041E-20   1.252E-25   1.252E-25   1.252E-25
 5.747E-01   2.493E-01   8.004E-01   1.872E-12   1.129E-21   1.197E-21   8.424E-20   1.249E-25   1.249E-25   1.249E-25
