
run:      1; obh2 = 2.207E-02
    Temp          D/H         T/H        3He/H       4He/H
------------------------------------------------------------
   3.000E+01   1.092E-05   1.740E-05   1.769E-05   2.257E-05
   2.897E+01   9.981E-06   1.593E-05   1.621E-05   2.035E-05
   2.770E+01   8.888E-06   1.423E-05   1.449E-05   1.780E-05
   2.648E+01   7.921E-06   1.272E-05   1.296E-05   1.558E-05
   2.532E+01   7.066E-06   1.138E-05   1.161E-05   1.363E-05
   2.420E+01   6.310E-06   1.020E-05   1.041E-05   1.192E-05
   2.314E+01   5.640E-06   9.147E-06   9.346E-06   1.043E-05
   2.212E+01   5.046E-06   8.213E-06   8.401E-06   9.129E-06
   2.115E+01   4.520E-06   7.385E-06   7.561E-06   7.989E-06
   2.022E+01   4.054E-06   6.648E-06   6.815E-06   6.992E-06
   1.933E+01   3.639E-06   5.994E-06   6.151E-06   6.120E-06
   1.848E+01   3.272E-06   5.411E-06   5.560E-06   5.357E-06
   1.766E+01   2.945E-06   4.893E-06   5.033E-06   4.689E-06
   1.689E+01   2.654E-06   4.431E-06   4.564E-06   4.105E-06
   1.614E+01   2.396E-06   4.019E-06   4.146E-06   3.594E-06
   1.543E+01   2.166E-06   3.652E-06   3.772E-06   3.147E-06
   1.476E+01   1.961E-06   3.324E-06   3.439E-06   2.756E-06
   1.411E+01   1.778E-06   3.032E-06   3.141E-06   2.414E-06
   1.349E+01   1.616E-06   2.771E-06   2.875E-06   2.114E-06
   1.289E+01   1.470E-06   2.537E-06   2.637E-06   1.852E-06
   1.233E+01   1.340E-06   2.328E-06   2.424E-06   1.622E-06
   1.178E+01   1.225E-06   2.141E-06   2.234E-06   1.422E-06
   1.126E+01   1.121E-06   1.974E-06   2.063E-06   1.246E-06
   1.077E+01   1.028E-06   1.824E-06   1.911E-06   1.092E-06
   1.030E+01   9.455E-07   1.690E-06   1.774E-06   9.568E-07
   9.843E+00   8.713E-07   1.570E-06   1.652E-06   8.388E-07
   9.410E+00   8.050E-07   1.463E-06   1.543E-06   7.354E-07
   8.996E+00   7.455E-07   1.367E-06   1.445E-06   6.448E-07
   8.600E+00   6.924E-07   1.281E-06   1.358E-06   5.655E-07
   8.222E+00   6.448E-07   1.205E-06   1.280E-06   4.961E-07
   7.860E+00   6.022E-07   1.137E-06   1.211E-06   4.352E-07
   7.514E+00   5.642E-07   1.076E-06   1.150E-06   3.818E-07
   7.184E+00   5.302E-07   1.023E-06   1.096E-06   3.351E-07
   6.868E+00   5.000E-07   9.755E-07   1.049E-06   2.941E-07
   6.566E+00   4.731E-07   9.344E-07   1.008E-06   2.582E-07
   6.277E+00   4.493E-07   8.987E-07   9.732E-07   2.268E-07
   6.001E+00   4.284E-07   8.682E-07   9.437E-07   1.992E-07
   5.737E+00   4.100E-07   8.426E-07   9.194E-07   1.750E-07
   5.484E+00   3.941E-07   8.217E-07   9.002E-07   1.537E-07
   5.243E+00   3.805E-07   8.054E-07   8.860E-07   1.351E-07
   5.012E+00   3.690E-07   7.936E-07   8.768E-07   1.188E-07
   4.792E+00   3.596E-07   7.862E-07   8.727E-07   1.045E-07
   4.581E+00   3.521E-07   7.834E-07   8.738E-07   9.187E-08
   4.380E+00   3.467E-07   7.854E-07   8.803E-07   8.083E-08
   4.187E+00   3.431E-07   7.923E-07   8.928E-07   7.114E-08
   4.003E+00   3.416E-07   8.045E-07   9.116E-07   6.262E-08
   3.827E+00   3.421E-07   8.226E-07   9.374E-07   5.515E-08
   3.658E+00   3.447E-07   8.472E-07   9.712E-07   4.858E-08
   3.497E+00   3.497E-07   8.791E-07   1.014E-06   4.281E-08
   3.344E+00   3.571E-07   9.194E-07   1.068E-06   3.773E-08
   3.197E+00   3.674E-07   9.695E-07   1.134E-06   3.328E-08
   3.056E+00   3.807E-07   1.031E-06   1.215E-06   2.936E-08
   2.921E+00   3.977E-07   1.107E-06   1.313E-06   2.591E-08
   2.793E+00   4.188E-07   1.199E-06   1.434E-06   2.288E-08
   2.670E+00   4.448E-07   1.312E-06   1.582E-06   2.021E-08
   2.553E+00   4.767E-07   1.451E-06   1.765E-06   1.786E-08
   2.440E+00   5.158E-07   1.622E-06   1.990E-06   1.579E-08
   2.333E+00   5.636E-07   1.833E-06   2.271E-06   1.398E-08
   2.230E+00   6.221E-07   2.097E-06   2.624E-06   1.237E-08
   2.132E+00   6.943E-07   2.429E-06   3.071E-06   1.096E-08
   2.038E+00   7.836E-07   2.851E-06   3.643E-06   9.718E-09
   1.949E+00   8.950E-07   3.391E-06   4.383E-06   8.623E-09
