
run:      1; obh2 = 2.207E-02
     Temp        ye_c        ye_a
------------------------------------
   2.534E-01   0.000E+00   6.042E-03
   2.484E-01   0.000E+00   5.453E-03
   2.436E-01   0.000E+00   4.926E-03
   2.391E-01   0.000E+00   4.454E-03
   2.347E-01   0.000E+00   4.031E-03
   2.306E-01   0.000E+00   3.651E-03
   2.266E-01   0.000E+00   3.309E-03
   2.228E-01   0.000E+00   3.001E-03
   2.191E-01   0.000E+00   2.722E-03
   2.155E-01   0.000E+00   2.468E-03
   2.120E-01   0.000E+00   2.237E-03
   2.086E-01   0.000E+00   2.024E-03
   2.052E-01   0.000E+00   1.827E-03
   2.018E-01   0.000E+00   1.642E-03
   1.982E-01   0.000E+00   1.466E-03
   1.946E-01   0.000E+00   1.299E-03
   1.908E-01   0.000E+00   1.138E-03
   1.867E-01   0.000E+00   9.809E-04
   1.821E-01   0.000E+00   8.240E-04
   1.769E-01   0.000E+00   6.675E-04
   1.709E-01   0.000E+00   5.156E-04
   1.641E-01   0.000E+00   3.772E-04
   1.571E-01   0.000E+00   2.663E-04
   1.510E-01   0.000E+00   1.906E-04
   1.456E-01   0.000E+00   1.390E-04
   1.409E-01   0.000E+00   1.029E-04
   1.366E-01   0.000E+00   7.729E-05
   1.327E-01   0.000E+00   5.872E-05
   1.292E-01   0.000E+00   4.509E-05
   1.260E-01   0.000E+00   3.495E-05
   1.231E-01   0.000E+00   2.732E-05
   1.203E-01   0.000E+00   2.152E-05
   1.178E-01   0.000E+00   1.706E-05
   1.154E-01   0.000E+00   1.362E-05
   1.132E-01   0.000E+00   1.093E-05
   1.111E-01   0.000E+00   8.822E-06
   1.092E-01   0.000E+00   7.154E-06
   1.073E-01   0.000E+00   5.827E-06
   1.055E-01   0.000E+00   4.767E-06
   1.039E-01   0.000E+00   3.914E-06
   1.023E-01   0.000E+00   3.226E-06
   1.008E-01   0.000E+00   2.668E-06
   9.933E-02   0.000E+00   2.213E-06
   9.794E-02   0.000E+00   1.842E-06
   9.662E-02   0.000E+00   1.537E-06
   9.535E-02   0.000E+00   1.286E-06
   9.413E-02   0.000E+00   1.078E-06
   9.295E-02   0.000E+00   9.066E-07
   9.180E-02   0.000E+00   7.615E-07
   9.067E-02   0.000E+00   6.387E-07
   8.957E-02   0.000E+00   5.361E-07
   8.851E-02   0.000E+00   4.508E-07
   8.748E-02   0.000E+00   3.798E-07
   8.649E-02   0.000E+00   3.207E-07
   8.554E-02   0.000E+00   2.712E-07
   8.461E-02   0.000E+00   2.298E-07
   8.371E-02   0.000E+00   1.951E-07
   8.284E-02   0.000E+00   1.659E-07
   8.200E-02   0.000E+00   1.412E-07
   8.118E-02   0.000E+00   1.205E-07
   8.038E-02   0.000E+00   1.029E-07
   7.961E-02   0.000E+00   8.800E-08
   7.886E-02   0.000E+00   7.537E-08
   7.813E-02   0.000E+00   6.464E-08
   7.741E-02   0.000E+00   5.551E-08
   7.672E-02   0.000E+00   4.773E-08
   7.604E-02   0.000E+00   4.109E-08
   7.539E-02   0.000E+00   3.541E-08
   7.474E-02   0.000E+00   3.055E-08
   7.411E-02   0.000E+00   2.638E-08
   7.346E-02   0.000E+00   2.258E-08
   7.276E-02   0.000E+00   1.907E-08
   7.201E-02   0.000E+00   1.585E-08
   7.122E-02   0.000E+00   1.297E-08
   7.038E-02   0.000E+00   1.046E-08
   6.952E-02   0.000E+00   8.336E-09
   6.867E-02   0.000E+00   6.608E-09
   6.784E-02   0.000E+00   5.247E-09
   6.703E-02   0.000E+00   4.177E-09
   6.626E-02   0.000E+00   3.332E-09
   6.551E-02   0.000E+00   2.664E-09
   6.478E-02   0.000E+00   2.135E-09
   6.408E-02   0.000E+00   1.714E-09
   6.339E-02   0.000E+00   1.380E-09
   6.273E-02   0.000E+00   1.112E-09
   6.207E-02   0.000E+00   8.920E-10
   6.139E-02   0.000E+00   7.082E-10
   6.068E-02   0.000E+00   5.546E-10
   5.994E-02   0.000E+00   4.264E-10
   5.915E-02   0.000E+00   3.197E-10
   5.830E-02   0.000E+00   2.316E-10
   5.734E-02   0.000E+00   1.599E-10
   5.624E-02   0.000E+00   1.030E-10
   5.495E-02   0.000E+00   6.001E-11
   5.339E-02   0.000E+00   3.022E-11
   5.150E-02   0.000E+00   1.239E-11
   4.928E-02   0.000E+00   4.004E-12
   4.711E-02   0.000E+00   1.197E-12
   4.504E-02   0.000E+00   3.385E-13
   4.306E-02   0.000E+00   9.030E-14
   4.117E-02   0.000E+00   2.267E-14
   3.935E-02   0.000E+00   5.341E-15
   3.762E-02   0.000E+00   1.177E-15
   3.597E-02   0.000E+00   2.421E-16
   3.439E-02   0.000E+00   4.628E-17
   3.287E-02   0.000E+00   8.200E-18
   3.143E-02   0.000E+00   1.342E-18
   3.005E-02   0.000E+00   2.019E-19
   2.872E-02   0.000E+00   2.786E-20
   2.746E-02   0.000E+00   3.509E-21
   2.625E-02   0.000E+00   4.018E-22
   2.510E-02   0.000E+00   4.164E-23
   2.399E-02   0.000E+00   3.888E-24
   2.294E-02   0.000E+00   3.255E-25
   2.193E-02   0.000E+00   2.431E-26
   2.096E-02   0.000E+00   1.611E-27
   2.004E-02   0.000E+00   9.425E-29
   1.916E-02   0.000E+00   4.839E-30
   1.832E-02   0.000E+00   2.167E-31
   1.751E-02   0.000E+00   8.411E-33
   1.674E-02   0.000E+00   2.812E-34
   1.600E-02   0.000E+00   8.038E-36
   1.530E-02   0.000E+00   1.951E-37
   1.463E-02   0.000E+00   3.992E-39
   1.398E-02   0.000E+00   6.828E-41
   1.337E-02   0.000E+00   9.685E-43
   1.278E-02   0.000E+00   1.129E-44
   1.222E-02   0.000E+00   1.073E-46
   1.168E-02   0.000E+00   8.231E-49
   1.117E-02   0.000E+00   5.046E-51
   1.068E-02   0.000E+00   2.447E-53
   1.021E-02   0.000E+00   9.284E-56
   9.758E-03   0.000E+00   2.726E-58
   9.328E-03   0.000E+00   6.120E-61
   8.918E-03   0.000E+00   1.038E-63
   8.526E-03   0.000E+00   1.312E-66
   8.151E-03   0.000E+00   1.220E-69
   7.792E-03   0.000E+00   8.232E-73
   7.449E-03   0.000E+00   3.969E-76
   7.122E-03   0.000E+00   1.346E-79
   6.808E-03   0.000E+00   3.162E-83
   6.509E-03   0.000E+00   5.057E-87
   6.223E-03   0.000E+00   5.408E-91
   5.949E-03   0.000E+00   3.798E-95
   5.687E-03   0.000E+00   1.717E-99
   5.437E-03   0.000E+00   4.902-104
   5.198E-03   0.000E+00   8.643-109
   4.969E-03   0.000E+00   9.210-114
   4.751E-03   0.000E+00   5.795-119
   4.542E-03   0.000E+00   2.102-124
   4.342E-03   0.000E+00   4.283-130
   4.151E-03   0.000E+00   4.775-136
   3.968E-03   0.000E+00   2.834-142
   3.794E-03   0.000E+00   8.694-149
   3.627E-03   0.000E+00   1.338-155
   3.467E-03   0.000E+00   1.000-162
   3.315E-03   0.000E+00   3.514-170
   3.169E-03   0.000E+00   5.606-178
   3.029E-03   0.000E+00   3.914-186
   2.896E-03   0.000E+00   1.152-194
   2.769E-03   0.000E+00   1.372-203
   2.647E-03   0.000E+00   6.354-213
   2.531E-03   0.000E+00   1.094-222
   2.419E-03   0.000E+00   6.696-233
   2.313E-03   0.000E+00   1.389-243
   2.211E-03   0.000E+00   9.286-255
   2.114E-03   0.000E+00   1.901-266
   2.021E-03   0.000E+00   1.127-278
   1.932E-03   0.000E+00   1.831-291
   1.847E-03   0.000E+00   7.668-305
   1.766E-03   0.000E+00   0.000E+00
   1.688E-03   0.000E+00   0.000E+00
   1.614E-03   0.000E+00   0.000E+00
   1.543E-03   0.000E+00   0.000E+00
   1.475E-03   0.000E+00   0.000E+00
   1.410E-03   0.000E+00   0.000E+00
   1.348E-03   0.000E+00   0.000E+00
   1.289E-03   0.000E+00   0.000E+00
   1.232E-03   0.000E+00   0.000E+00
   1.178E-03   0.000E+00   0.000E+00
   1.126E-03   0.000E+00   0.000E+00
   1.076E-03   0.000E+00   0.000E+00
   1.029E-03   0.000E+00   0.000E+00
   9.839E-04   0.000E+00   0.000E+00
   9.406E-04   0.000E+00   0.000E+00
   8.992E-04   0.000E+00   0.000E+00
   8.617E-04   0.000E+00   0.000E+00
