 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                al31          al32          al33          al34          al35          al36          al37          al38 
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  5.310185E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  3.579398E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  2.122903E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.726164E-27  2.113326E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.159519E-26  1.571410E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.685058E-25  2.413006E-28  1.591052E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  2.094782E-24  3.235812E-27  2.482931E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  8.307783E-23  1.371202E-25  1.131948E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.194005E-21  2.135898E-24  2.143669E-26  5.959324E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  9.070599E-21  1.680912E-23  1.787377E-25  5.006968E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  2.740984E-19  5.446746E-22  6.482807E-24  1.847023E-27  8.751499E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.757275E-18  5.820762E-21  7.640446E-23  2.205950E-26  1.133666E-28  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  2.266466E-17  5.043349E-20  7.184446E-22  2.101492E-25  1.163912E-27  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  3.849784E-17  8.680267E-20  1.262497E-21  3.704221E-25  2.089430E-27  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  6.461198E-17  1.476954E-19  2.193354E-21  6.459866E-25  3.712643E-27  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.077552E-16  2.498586E-19  3.792269E-21  1.121490E-24  6.573982E-27  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.313955E-16  3.064121E-19  4.691066E-21  1.389612E-24  8.209872E-27  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.592498E-16  3.734347E-19  5.765710E-21  1.710745E-24  1.018489E-26  1.041177E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  2.463467E-16  5.851760E-19  9.214249E-21  2.744550E-24  1.663365E-26  1.706089E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  4.021890E-16  9.700086E-19  1.563146E-20  4.677864E-24  2.895448E-26  2.980514E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  6.196355E-16  1.515744E-18  2.495700E-20  7.502231E-24  4.735916E-26  4.892129E-30  1.000000E-30  1.000000E-30
