 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                h2            h3            he3           li6           li7           li8           li9           be7  
      1  0.000000000000E+00  8.550851E-05  1.246228E-06  5.356782E-08  2.374260E-11  1.500981E-12  2.030110E-16  1.805722E-19  2.322491E-14
      2  1.000000000000E-16  8.241521E-05  1.246899E-06  5.394272E-08  2.522908E-11  1.500758E-12  2.017534E-16  1.805722E-19  2.322488E-14
      3  6.264265632874E-16  6.842916E-05  1.250129E-06  5.435179E-08  3.169934E-11  1.500546E-12  1.953856E-16  1.805722E-19  2.322835E-14
      4  2.206990590178E-15  4.291258E-05  1.251358E-06  5.323292E-08  4.208174E-11  1.502739E-12  1.786244E-16  1.805722E-19  2.325010E-14
      5  6.425069294186E-15  2.403049E-05  1.230877E-06  5.173609E-08  4.714600E-11  1.489376E-12  1.471109E-16  1.805722E-19  2.309279E-14
      6  1.724777641531E-14  2.135556E-05  1.165833E-06  4.895814E-08  4.510482E-11  1.413365E-12  1.108188E-16  1.805722E-19  2.193306E-14
      7  4.527785414179E-14  2.133864E-05  1.015617E-06  4.267340E-08  3.928160E-11  1.230798E-12  8.747500E-17  1.805722E-19  1.909798E-14
      8  1.231582592127E-13  2.133052E-05  7.178260E-07  3.021496E-08  2.773568E-11  8.688398E-13  6.117012E-17  1.805722E-19  1.347684E-14
      9  4.001734798240E-13  2.132033E-05  3.433955E-07  1.455010E-08  1.321831E-11  4.137265E-13  2.848928E-17  1.805722E-19  6.408968E-15
     10  1.150918682670E-12  2.131839E-05  2.711007E-07  1.152554E-08  1.041523E-11  3.258513E-13  2.217916E-17  1.805722E-19  5.044271E-15
     11  2.802808442389E-12  2.131844E-05  2.705688E-07  1.150332E-08  1.039443E-11  3.251993E-13  2.213237E-17  1.805722E-19  5.034159E-15
     12  6.912921996243E-12  2.131861E-05  2.705697E-07  1.150344E-08  1.039403E-11  3.251869E-13  2.213154E-17  1.805722E-19  5.034001E-15
     13  1.659368270033E-11  2.131902E-05  2.705718E-07  1.150370E-08  1.039307E-11  3.251575E-13  2.212958E-17  1.805722E-19  5.033624E-15
     14  1.134012897413E-10  2.132310E-05  2.705925E-07  1.150639E-08  1.038351E-11  3.248638E-13  2.210999E-17  1.805722E-19  5.029857E-15
     15  1.081477360150E-09  2.136366E-05  2.707986E-07  1.153311E-08  1.028847E-11  3.219420E-13  2.191507E-17  1.805722E-19  4.992314E-15
     16  1.076223806424E-08  2.174587E-05  2.727715E-07  1.178700E-08  9.389658E-12  2.942625E-13  2.006472E-17  1.805722E-19  4.629125E-15
     17  6.834096797002E-08  2.332430E-05  2.814703E-07  1.287530E-08  5.606280E-12  1.767853E-13  1.213767E-17  1.805721E-19  2.942241E-15
     18  2.542122411654E-07  2.479779E-05  2.902985E-07  1.394836E-08  1.948078E-12  6.177938E-14  4.268489E-18  1.805720E-19  1.079479E-15
     19  7.007518887657E-07  2.498488E-05  2.914702E-07  1.408876E-08  1.474035E-12  4.678071E-14  3.234767E-18  1.805717E-19  8.222547E-16
     20  1.724661805125E-06  2.498605E-05  2.914950E-07  1.409026E-08  1.471965E-12  4.671843E-14  3.230499E-18  1.805710E-19  8.211683E-16
     21  4.267664185819E-06  2.498653E-05  2.915414E-07  1.409216E-08  1.473018E-12  4.675992E-14  3.233430E-18  1.805692E-19  8.218551E-16
     22  1.786211798807E-05  2.498905E-05  2.917894E-07  1.410231E-08  1.478659E-12  4.698231E-14  3.249141E-18  1.805596E-19  8.255354E-16
     23  6.929007850093E-05  2.499854E-05  2.927294E-07  1.414073E-08  1.500203E-12  4.783347E-14  3.309288E-18  1.805235E-19  8.396103E-16
     24  5.835696836295E-04  2.508706E-05  3.022698E-07  1.452557E-08  1.734228E-12  5.726465E-14  3.977195E-18  1.801623E-19  9.943948E-16
     25  1.496090518789E-03  2.521123E-05  3.197941E-07  1.520613E-08  2.243746E-12  7.886941E-14  5.515693E-18  1.795232E-19  1.341837E-15
     26  2.379765156362E-03  2.528167E-05  3.374126E-07  1.585063E-08  2.874513E-12  1.073997E-13  7.561239E-18  1.789065E-19  1.787945E-15
     27  3.772948503579E-03  2.526249E-05  3.661595E-07  1.679615E-08  4.209859E-12  1.733382E-13  1.233079E-17  1.779386E-19  2.774959E-15
     28  4.957278025650E-03  2.507537E-05  3.909287E-07  1.746728E-08  5.763831E-12  2.579357E-13  1.850558E-17  1.771198E-19  3.969806E-15
     29  5.758110286319E-03  2.483977E-05  4.075055E-07  1.781821E-08  7.063127E-12  3.344881E-13  2.413053E-17  1.765683E-19  4.993225E-15
