 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                hg197         hg198         hg199         hg200         hg201         hg202         hg203         hg204
     86  4.118445936105E-02  3.118799E-29  2.289582E-29  1.833237E-29  7.822919E-30  3.964327E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  3.328194E-29  2.512769E-29  2.068198E-29  9.173963E-30  4.717214E-30  1.044344E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  2.907295E-29  2.224618E-29  1.854634E-29  8.294006E-30  4.339219E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.624844E-29  2.042030E-29  1.730243E-29  7.886181E-30  4.198019E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  4.790638E-29  3.789943E-29  3.253820E-29  1.492890E-29  8.231368E-30  1.917171E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  4.458136E-29  3.577452E-29  3.131370E-29  1.508635E-29  8.770443E-30  2.097015E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  5.685557E-29  4.711637E-29  4.230308E-29  2.043094E-29  1.164440E-29  2.993599E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  5.576455E-29  4.727635E-29  4.353329E-29  2.180664E-29  1.295437E-29  3.381905E-30  1.139136E-30  1.000000E-30
     94  4.274368410830E-02  6.727199E-29  5.881090E-29  5.559319E-29  2.842645E-29  1.685066E-29  4.361271E-30  1.493374E-30  1.000000E-30
     95  4.294191711445E-02  6.666424E-29  6.156638E-29  6.162325E-29  3.401724E-29  2.169124E-29  5.800020E-30  2.022648E-30  1.000000E-30
     96  4.316569238790E-02  7.899156E-29  7.408353E-29  7.557744E-29  4.269396E-29  2.832824E-29  7.901214E-30  2.762558E-30  1.000000E-30
     97  4.339365876136E-02  8.512412E-29  8.067815E-29  8.238281E-29  4.574028E-29  2.923567E-29  8.400565E-30  3.237195E-30  1.000000E-30
     98  4.362382833621E-02  9.334985E-29  9.121780E-29  9.591577E-29  5.495975E-29  3.617384E-29  1.050916E-29  3.927021E-30  1.000000E-30
     99  4.384703699487E-02  9.815827E-29  9.860353E-29  1.064828E-28  6.278261E-29  4.243353E-29  1.250891E-29  4.817989E-30  1.000000E-30
