 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta172         ta173         ta174         ta175         ta176         ta177         ta178         ta179
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.077753E-30  1.000000E-30  1.037510E-30  1.000000E-30  1.003939E-30  1.000000E-30  1.019353E-30  1.000000E-30
      3  6.264265632874E-16  1.482174E-30  1.000000E-30  1.230609E-30  1.000000E-30  1.024323E-30  1.000000E-30  1.119534E-30  1.000000E-30
      4  2.206990590178E-15  2.753540E-30  1.000001E-30  1.779438E-30  1.000000E-30  1.082730E-30  1.000000E-30  1.403839E-30  1.000000E-30
      5  6.425069294186E-15  8.020142E-30  1.425610E-30  3.404345E-30  1.000000E-30  1.254762E-30  1.056357E-30  2.055159E-30  1.000000E-30
      6  1.724777641531E-14  3.855000E-29  5.222643E-30  1.257319E-29  1.761536E-30  2.471657E-30  1.554640E-30  3.223269E-30  1.000000E-30
      7  4.527785414179E-14  1.209167E-28  1.339724E-29  5.538924E-29  6.394893E-30  1.007480E-29  3.962871E-30  5.098657E-30  1.000005E-30
      8  1.231582592127E-13  1.922988E-28  2.032303E-29  1.032151E-28  1.148338E-29  2.573705E-29  9.266619E-30  8.649263E-30  1.000000E-30
      9  4.001734798240E-13  1.847061E-28  1.991998E-29  1.081098E-28  1.252461E-29  3.187491E-29  1.179052E-29  1.045398E-29  1.000000E-30
     10  1.150918682670E-12  1.405232E-28  1.513855E-29  8.447479E-29  1.004778E-29  2.723840E-29  1.063639E-29  9.768781E-30  1.002953E-30
     11  2.802808442389E-12  9.997270E-29  1.096592E-29  6.299901E-29  7.738626E-30  2.257740E-29  9.415105E-30  9.254267E-30  1.097140E-30
     12  6.912921996243E-12  5.980407E-29  6.558281E-30  3.941725E-29  4.998333E-30  1.565269E-29  7.092560E-30  7.572260E-30  1.048706E-30
     13  1.659368270033E-11  6.090657E-30  1.000000E-30  5.299345E-30  1.000000E-30  3.204046E-30  1.815731E-30  2.201867E-30  1.000000E-30
     14  1.134012897413E-10  1.093574E-30  1.000000E-30  1.136357E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
