 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cr51          cr52          cr53          cr54          cr55          cr56          cr57          cr58 
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  2.068842E-30  9.572982E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  7.427187E-30  2.041875E-28  3.121698E-28  2.936264E-28  2.762266E-29  2.761026E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  5.158576E-29  1.255923E-27  2.088260E-27  2.314796E-27  2.702726E-28  3.579945E-29  1.168766E-30  1.000000E-30
     45  2.666254430666E-02  2.582150E-27  1.550530E-25  3.670469E-25  5.162231E-25  5.174121E-26  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.479066E-26  2.162432E-24  6.930932E-24  1.522977E-23  2.593627E-24  3.431611E-25  1.244228E-26  3.913697E-28
     47  2.946719119355E-02  2.742917E-25  3.686117E-23  1.346132E-22  3.368111E-22  6.131607E-23  8.654520E-24  3.208708E-25  1.012724E-26
     48  2.982466835475E-02  4.671955E-25  8.104165E-23  3.435218E-22  1.073164E-21  2.349340E-22  4.530933E-23  2.124681E-24  1.027738E-25
     49  3.017238950627E-02  8.835757E-25  1.717011E-22  7.546723E-22  2.485857E-21  5.627233E-22  1.136079E-22  5.487636E-24  2.789928E-25
     50  3.052509122072E-02  1.672356E-24  3.647000E-22  1.660484E-21  5.739260E-21  1.337805E-21  2.802782E-22  1.384676E-23  7.282892E-25
     51  3.066477686677E-02  2.152515E-24  4.903867E-22  2.263272E-21  7.973222E-21  1.880240E-21  3.997667E-22  1.992792E-23  1.062458E-24
     52  3.080037159611E-02  2.754090E-24  6.544644E-22  3.060555E-21  1.098488E-20  2.620024E-21  5.651443E-22  2.842008E-23  1.535467E-24
     53  3.111325257314E-02  4.864492E-24  1.270424E-21  6.121702E-21  2.294191E-20  5.617734E-21  1.252948E-21  6.430283E-23  3.582691E-24
     54  3.147800645819E-02  9.396467E-24  2.722981E-21  1.357708E-20  5.351876E-20  1.351456E-20  3.134627E-21  1.647501E-22  9.516190E-24
     55  3.181357346897E-02  1.710118E-23  5.423309E-21  2.788945E-20  1.151863E-19  2.992596E-20  7.197506E-21  3.867175E-22  2.309589E-23
     56  3.217197145871E-02  3.214016E-23  1.116450E-20  5.931564E-20  2.575392E-19  6.898201E-20  1.724958E-20  9.489851E-22  5.874416E-23
     57  3.249951277145E-02  5.673572E-23  2.133058E-20  1.167280E-19  5.306095E-19  1.461620E-19  3.788209E-20  2.129902E-21  1.362681E-22
     58  3.262595809504E-02  7.050730E-23  2.730217E-20  1.511099E-19  6.991442E-19  1.946755E-19  5.115660E-20  2.900427E-21  1.879357E-22
     59  3.272641576722E-02  8.386027E-23  3.324246E-20  1.856629E-19  8.712542E-19  2.447020E-19  6.501679E-20  3.711028E-21  2.429160E-22
     60  3.304841700500E-02  1.455915E-22  6.210430E-20  3.570871E-19  1.753710E-18  5.064155E-19  1.394235E-19  8.131329E-21  5.499544E-22
     61  3.362823507679E-02  3.864472E-22  1.869875E-19  1.133134E-18  6.045283E-18  1.836406E-18  5.396688E-19  3.274552E-20  2.352702E-21
     62  3.417743618412E-02  9.587296E-22  5.195022E-19  3.308115E-18  1.907347E-17  6.074994E-18  1.896814E-18  1.193831E-19  9.066447E-21
     63  3.448472684867E-02  1.585160E-21  9.139767E-19  5.986905E-18  3.608059E-17  1.180718E-17  3.817031E-18  2.453399E-19  1.923641E-20
     64  3.459225947862E-02  1.889342E-21  1.112884E-18  7.361978E-18  4.505612E-17  1.488388E-17  4.870325E-18  3.153417E-19  2.500241E-20
     65  3.468161085917E-02  2.186896E-21  1.311266E-18  8.746085E-18  5.422055E-17  1.805273E-17  5.967359E-18  3.887427E-19  3.111060E-20
     66  3.501586344154E-02  3.772692E-21  2.416255E-18  1.662362E-17  1.081581E-16  3.709057E-17  1.273553E-17  8.489245E-19  7.035642E-20
     67  3.563385967804E-02  1.024438E-20  7.394661E-18  5.392482E-17  3.841296E-16  1.392641E-16  5.139189E-17  3.578465E-18  3.170871E-19
     68  3.619390900501E-02  2.513905E-20  2.015552E-17  1.549354E-16  1.196474E-15  4.557102E-16  1.791773E-16  1.296161E-17  1.217108E-18
     69  3.661379630041E-02  4.908374E-20  4.255451E-17  3.405954E-16  2.797402E-15  1.106458E-15  4.567795E-16  3.402877E-17  3.342035E-18
     70  3.704099468238E-02  9.673197E-20  9.074958E-17  7.571607E-16  6.623546E-15  2.722931E-15  1.181630E-15  9.071217E-17  9.327197E-18
     71  3.731378163516E-02  1.486156E-19  1.465649E-16  1.256070E-15  1.144127E-14  4.821359E-15  2.160226E-15  1.690551E-16  1.789927E-17
     72  3.757630769329E-02  2.237968E-19  2.314777E-16  2.035963E-15  1.928395E-14  8.323360E-15  3.846928E-15  3.067345E-16  3.341929E-17
     73  3.788075418501E-02  3.578237E-19  3.909196E-16  3.544067E-15  3.512565E-14  1.558882E-14  7.469440E-15  6.086390E-16  6.855110E-17
     74  3.819794660071E-02  5.792641E-19  6.695735E-16  6.266394E-15  6.512013E-14  2.975355E-14  1.480446E-14  1.234010E-15  1.438997E-16
     75  3.838080203158E-02  7.617999E-19  9.093916E-16  8.668884E-15  9.258215E-14  4.301705E-14  2.187498E-14  1.847397E-15  2.197908E-16
     76  3.859219912978E-02  1.044020E-18  1.293649E-15  1.259938E-14  1.389077E-13  6.581286E-14  3.432525E-14  2.943292E-15  3.584319E-16
     77  3.884096228080E-02  1.504620E-18  1.947339E-15  1.945371E-14  2.226750E-13  1.079570E-13  5.801404E-14  5.064656E-15  6.339790E-16
