 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                k48           k49           k50           k51           k52           k53           k54           k55  
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.865954E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  9.512968E-28  1.208668E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.193593E-25  1.920869E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.010117E-24  2.556029E-26  1.245101E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  4.182094E-23  5.016573E-25  2.339459E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.810480E-22  3.239686E-24  1.783060E-27  3.348513E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  3.999311E-22  7.408444E-24  4.123617E-27  7.955120E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  8.893744E-22  1.697571E-23  9.537957E-27  1.872788E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.214835E-21  2.346446E-23  1.323296E-26  2.616661E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.645281E-21  3.214886E-23  1.819678E-26  3.623038E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  3.292843E-21  6.609159E-23  3.772606E-26  7.632039E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  7.271863E-21  1.506075E-22  8.682344E-26  1.789542E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.482102E-20  3.159862E-22  1.838372E-25  3.855144E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  3.115814E-20  6.852575E-22  4.026097E-25  8.600873E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  6.053471E-20  1.369876E-21  8.121470E-25  1.764827E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  7.793212E-20  1.783049E-21  1.060784E-24  2.320316E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  9.532645E-20  2.200270E-21  1.312647E-24  2.886360E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.806247E-19  4.288579E-21  2.581506E-24  5.773284E-27  1.038315E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  5.561294E-19  1.389763E-20  8.502713E-24  1.961010E-26  3.565143E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  1.579413E-18  4.142258E-20  2.573374E-23  6.109220E-26  1.121449E-29  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  2.816075E-18  7.594672E-20  4.760235E-23  1.149266E-25  2.121606E-29  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  3.443661E-18  9.376500E-20  5.894952E-23  1.431447E-25  2.647639E-29  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  4.072786E-18  1.117874E-19  7.045932E-23  1.719217E-25  3.185061E-29  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  7.615880E-18  2.154236E-19  1.370858E-22  3.406158E-25  6.348864E-29  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  2.397439E-17  7.173450E-19  4.647327E-22  1.194774E-24  2.252695E-28  1.000000E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  6.737141E-17  2.120058E-18  1.395646E-21  3.698559E-24  7.044915E-28  1.000000E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  1.458815E-16  4.771826E-18  3.180279E-21  8.628016E-24  1.656485E-27  1.686048E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  3.197978E-16  1.088192E-17  7.344245E-21  2.040771E-23  3.949844E-27  4.111962E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  5.266038E-16  1.838308E-17  1.250833E-20  3.530144E-23  6.868405E-27  7.252297E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  8.477447E-16  3.032815E-17  2.079798E-20  5.957838E-23  1.165038E-26  1.246990E-29  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  1.465364E-15  5.393834E-17  3.732653E-20  1.087953E-22  2.139963E-26  2.326908E-29  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  2.574486E-15  9.762958E-17  6.820703E-20  2.024415E-22  4.006463E-26  4.428924E-29  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  3.549489E-15  1.369368E-16  9.619433E-20  2.885140E-22  5.730179E-26  6.394949E-29  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  5.140325E-15  2.023143E-16  1.430296E-19  4.342429E-22  8.660156E-26  9.772329E-29  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  7.906622E-15  3.186211E-16  2.269572E-19  6.990337E-22  1.400904E-25  1.601583E-28  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  1.182230E-14  4.872151E-16  3.495409E-19  1.091417E-21  2.197428E-25  2.543551E-28  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  1.869169E-14  7.906345E-16  5.719582E-19  1.814512E-21  3.673043E-25  4.313258E-28  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  2.903359E-14  1.259898E-15  9.189087E-19  2.961099E-21  6.025914E-25  7.177018E-28  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  4.740646E-14  2.118141E-15  1.559355E-18  5.115386E-21  1.047327E-24  1.267695E-27  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  7.313224E-14  3.355362E-15  2.491210E-18  8.305903E-21  1.709958E-24  2.100301E-27  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  1.117442E-13  5.264989E-15  3.942380E-18  1.335967E-20  2.765644E-24  3.447192E-27  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  1.703833E-13  8.249889E-15  6.231589E-18  2.147291E-20  4.470551E-24  5.656864E-27  1.000000E-30  1.000000E-30
     85  4.099011663524E-02  2.421815E-13  1.200493E-14  9.136351E-18  3.193833E-20  6.682059E-24  8.565580E-27  1.000000E-30  1.000000E-30
     86  4.118445936105E-02  3.193074E-13  1.613184E-14  1.235206E-17  4.368566E-20  9.176166E-24  1.188681E-26  1.000000E-30  1.000000E-30
