 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                xe143         xe144         xe145         xe146         xe147         xe148         xe149         xe150
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000863E-30  1.000000E-30  1.000413E-30  1.000000E-30  1.000328E-30  1.000000E-30  1.000220E-30  1.000000E-30
      3  6.264265632874E-16  1.005397E-30  1.000000E-30  1.002582E-30  1.000000E-30  1.002051E-30  1.000000E-30  1.001378E-30  1.000000E-30
      4  2.206990590178E-15  1.018900E-30  1.000000E-30  1.009049E-30  1.000000E-30  1.007203E-30  1.000000E-30  1.004847E-30  1.000000E-30
      5  6.425069294186E-15  1.054146E-30  1.000000E-30  1.025964E-30  1.000000E-30  1.020806E-30  1.000000E-30  1.014044E-30  1.000000E-30
      6  1.724777641531E-14  1.139534E-30  1.000000E-30  1.067180E-30  1.000000E-30  1.054744E-30  1.000000E-30  1.037244E-30  1.000000E-30
      7  4.527785414179E-14  1.330391E-30  1.000000E-30  1.160656E-30  1.000000E-30  1.136519E-30  1.000000E-30  1.094748E-30  1.000000E-30
      8  1.231582592127E-13  1.688299E-30  1.000000E-30  1.342764E-30  1.000000E-30  1.323518E-30  1.000000E-30  1.236602E-30  1.000000E-30
      9  4.001734798240E-13  2.074039E-30  1.000000E-30  1.560837E-30  1.000000E-30  1.680536E-30  1.000000E-30  1.579152E-30  1.000001E-30
     10  1.150918682670E-12  2.126164E-30  1.000000E-30  1.598451E-30  1.000000E-30  1.865353E-30  1.000000E-30  1.917894E-30  1.000000E-30
     11  2.802808442389E-12  2.126101E-30  1.000000E-30  1.598345E-30  1.000000E-30  1.925410E-30  1.000000E-30  2.704310E-30  1.351886E-30
     12  6.912921996243E-12  2.132419E-30  1.005225E-30  1.613432E-30  1.008694E-30  2.237672E-30  1.176996E-30  3.350493E-30  1.537213E-30
     13  1.659368270033E-11  1.640930E-30  1.000000E-30  1.304901E-30  1.000000E-30  1.652950E-30  1.000000E-30  1.972913E-30  1.025428E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041819E-30  1.000000E-30  1.346435E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
