 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mn51          mn52          mn53          mn54          mn55          mn56          mn57          mn58 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.170001E-30  1.189302E-30  1.237880E-30  1.081343E-30  1.048671E-30  1.000000E-30  1.006285E-30  1.000000E-30
      3  6.264265632874E-16  1.689491E-30  2.148607E-30  2.797802E-30  1.828073E-30  1.447415E-30  1.000000E-30  1.040610E-30  1.000000E-30
      4  2.206990590178E-15  1.961745E-30  3.449354E-30  7.556715E-30  6.032401E-30  4.171006E-30  1.102642E-30  1.175794E-30  1.000000E-30
      5  6.425069294186E-15  1.983021E-30  3.814553E-30  1.529071E-29  1.887516E-29  1.789062E-29  2.727486E-30  2.035291E-30  1.010959E-30
      6  1.724777641531E-14  2.006296E-30  3.998787E-30  2.211056E-29  4.045820E-29  6.365006E-29  1.262609E-29  8.531173E-30  1.519176E-30
      7  4.527785414179E-14  1.907210E-30  3.921433E-30  2.791189E-29  7.164044E-29  1.985200E-28  4.987709E-29  4.778476E-29  5.726143E-30
      8  1.231582592127E-13  1.922026E-30  4.508755E-30  5.160147E-29  1.806812E-28  7.251329E-28  1.978521E-28  2.476001E-28  2.714167E-29
      9  4.001734798240E-13  3.078426E-30  9.900447E-30  1.784156E-28  7.016893E-28  3.040063E-27  7.986398E-28  1.057735E-27  1.043218E-28
     10  1.150918682670E-12  2.270786E-30  1.419426E-29  3.254992E-28  1.329681E-27  5.854263E-27  1.495701E-27  1.995609E-27  1.842477E-28
     11  2.802808442389E-12  1.520104E-30  9.134565E-30  2.146959E-28  8.818027E-28  3.902421E-27  1.003211E-27  1.342478E-27  1.257450E-28
     12  6.912921996243E-12  1.000000E-30  5.222738E-30  1.301268E-28  5.361983E-28  2.381095E-27  6.095067E-28  8.172321E-28  7.647380E-29
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  8.215017E-30  3.429019E-29  1.537975E-28  3.951585E-29  5.452622E-29  5.952060E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.474062E-30  6.239087E-30  2.821798E-29  7.346645E-30  1.017776E-29  1.115766E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  2.582106E-30  1.168318E-29  3.037301E-30  4.196613E-30  1.000000E-30
