 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pos           vel           temp          den           pres          ener          entr          cs
      1  0.000000000000E+00  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875170E+25  6.934236E+19  1.017331E+10  5.288707E+09
      2  1.000000000000E-16  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875171E+25  6.934235E+19  1.017332E+10  5.288707E+09
      3  6.264265632874E-16  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875175E+25  6.934232E+19  1.017333E+10  5.288708E+09
      4  2.206990590178E-15  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875181E+25  6.934227E+19  1.017336E+10  5.288711E+09
      5  6.425069294186E-15  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875186E+25  6.934223E+19  1.017337E+10  5.288713E+09
      6  1.724777641531E-14  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875186E+25  6.934222E+19  1.017338E+10  5.288713E+09
      7  4.527785414179E-14  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875186E+25  6.934222E+19  1.017338E+10  5.288713E+09
      8  1.231582592127E-13  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875187E+25  6.934222E+19  1.017338E+10  5.288713E+09
      9  4.001734798240E-13  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875187E+25  6.934221E+19  1.017338E+10  5.288713E+09
     10  1.150918682670E-12  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875187E+25  6.934221E+19  1.017338E+10  5.288713E+09
     11  2.802808442389E-12  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875187E+25  6.934221E+19  1.017338E+10  5.288713E+09
     12  6.912921996243E-12  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875187E+25  6.934220E+19  1.017338E+10  5.288714E+09
     13  1.659368270033E-11  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875188E+25  6.934218E+19  1.017338E+10  5.288714E+09
     14  1.134012897413E-10  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875194E+25  6.934196E+19  1.017341E+10  5.288716E+09
     15  1.081477360150E-09  0.000000E+00  0.000000E+00  1.000000E+10  3.000000E+06  6.875252E+25  6.933981E+19  1.017363E+10  5.288740E+09
