 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe52          fe53          fe54          fe55          fe56          fe57          fe58          fe59 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.100217E-30  1.146753E-30  1.268201E-30  1.212563E-30  1.142575E-30  1.055456E-30  1.024302E-30  1.000000E-30
      3  6.264265632874E-16  1.344351E-30  1.559690E-30  2.552727E-30  2.605180E-30  2.207090E-30  1.546102E-30  1.196973E-30  1.005234E-30
      4  2.206990590178E-15  1.414059E-30  1.734347E-30  4.564306E-30  6.490993E-30  7.626240E-30  4.932608E-30  2.446545E-30  1.135502E-30
      5  6.425069294186E-15  1.414367E-30  1.743230E-30  5.479183E-30  1.121445E-29  2.524969E-29  2.133625E-29  1.123962E-29  2.871653E-30
      6  1.724777641531E-14  1.443040E-30  1.775831E-30  5.744925E-30  1.529887E-29  6.720440E-29  7.387449E-29  5.052185E-29  1.516043E-29
      7  4.527785414179E-14  1.311954E-30  1.661650E-30  6.323607E-30  2.302934E-29  1.606065E-28  2.217615E-28  1.873980E-28  6.693361E-29
      8  1.231582592127E-13  1.232991E-30  1.617930E-30  5.985127E-30  4.608359E-29  4.678457E-28  7.559203E-28  6.963877E-28  2.565349E-28
      9  4.001734798240E-13  1.943356E-30  2.603234E-30  1.393048E-29  1.613195E-28  1.701569E-27  2.752643E-27  2.490838E-27  8.937128E-28
     10  1.150918682670E-12  1.706840E-30  2.046300E-30  1.938281E-29  2.822695E-28  3.066842E-27  4.891488E-27  4.336852E-27  1.506248E-27
     11  2.802808442389E-12  1.054152E-30  1.337430E-30  1.252620E-29  1.887912E-28  2.057793E-27  3.301321E-27  2.941517E-27  1.029225E-27
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  7.022098E-30  1.134445E-28  1.241021E-27  1.988826E-27  1.768076E-27  6.173730E-28
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  7.048117E-30  7.803606E-29  1.254711E-28  1.120226E-28  3.949090E-29
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.297952E-30  1.451217E-29  2.369193E-29  2.139341E-29  7.636735E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.008652E-30  9.811074E-30  8.854387E-30  3.156341E-30
