 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                prot          he4  
    109  4.603616864208E-02  1.214624E-04  5.695050E-02
    110  4.624194314299E-02  1.226296E-04  5.695263E-02
    111  4.641297951594E-02  1.228503E-04  5.695460E-02
    112  4.656990459822E-02  1.225047E-04  5.695656E-02
    113  4.671253119976E-02  1.217811E-04  5.695845E-02
    114  4.684580987606E-02  1.207921E-04  5.696028E-02
    115  4.697520204195E-02  1.195779E-04  5.696210E-02
    116  4.709649788536E-02  1.182414E-04  5.696384E-02
    117  4.721637454993E-02  1.167575E-04  5.696557E-02
    118  4.732862910872E-02  1.152415E-04  5.696720E-02
    119  4.750539400184E-02  1.126489E-04  5.696976E-02
    120  4.767210524850E-02  1.100213E-04  5.697214E-02
    121  4.783406579930E-02  1.073417E-04  5.697439E-02
    122  4.799263518131E-02  1.046285E-04  5.697654E-02
    123  4.815339657435E-02  1.018047E-04  5.697863E-02
    124  4.832264594384E-02  9.879342E-05  5.698073E-02
    125  4.849826454798E-02  9.565174E-05  5.698277E-02
    126  4.867786870736E-02  9.244286E-05  5.698470E-02
    127  4.885872256535E-02  8.923438E-05  5.698646E-02
    128  4.903755607841E-02  8.609880E-05  5.698802E-02
    129  4.921259737621E-02  8.307638E-05  5.698935E-02
    130  4.938368810460E-02  8.017475E-05  5.699044E-02
    131  4.955132280349E-02  7.738787E-05  5.699130E-02
    132  4.971624312404E-02  7.470439E-05  5.699194E-02
    133  4.987811857735E-02  7.212943E-05  5.699235E-02
    134  5.003799836445E-02  6.963553E-05  5.699253E-02
    135  5.019682549602E-02  6.721739E-05  5.699248E-02
    136  5.035511419132E-02  6.486804E-05  5.699218E-02
    137  5.051299755300E-02  6.258542E-05  5.699162E-02
    138  5.067010535678E-02  6.037431E-05  5.699079E-02
    139  5.082726902819E-02  5.822235E-05  5.698966E-02
    140  5.098506829486E-02  5.612147E-05  5.698821E-02
    141  5.114361869269E-02  5.407014E-05  5.698640E-02
    142  5.130328078870E-02  5.206375E-05  5.698421E-02
    143  5.146205644840E-02  5.012635E-05  5.698163E-02
    144  5.162089365231E-02  4.824460E-05  5.697860E-02
    145  5.177902725711E-02  4.642578E-05  5.697513E-02
    146  5.193558292952E-02  4.467165E-05  5.697119E-02
    147  5.207655208218E-02  4.313463E-05  5.696719E-02
    148  5.220437120847E-02  4.177580E-05  5.696315E-02
    149  5.240275279905E-02  3.973065E-05  5.695608E-02
    150  5.258707116153E-02  3.789782E-05  5.694857E-02
    151  5.276353482958E-02  3.620177E-05  5.694045E-02
    152  5.293536770993E-02  3.460362E-05  5.693163E-02
    153  5.310288915571E-02  3.309474E-05  5.692213E-02
    154  5.325369291828E-02  3.177699E-05  5.691279E-02
    155  5.339308966526E-02  3.059232E-05  5.690348E-02
    156  5.362726198018E-02  2.867345E-05  5.688638E-02
    157  5.383816121000E-02  2.701828E-05  5.686941E-02
    158  5.403768730975E-02  2.551655E-05  5.685203E-02
    159  5.422986619970E-02  2.413234E-05  5.683411E-02
    160  5.440569294967E-02  2.292068E-05  5.681674E-02
    161  5.456994612052E-02  2.183686E-05  5.679970E-02
    162  5.485681963417E-02  2.005807E-05  5.676815E-02
    163  5.511708850657E-02  1.857144E-05  5.673764E-02
    164  5.536560227933E-02  1.726422E-05  5.670691E-02
    165  5.559867087093E-02  1.613513E-05  5.667672E-02
    166  5.582344501454E-02  1.512815E-05  5.664639E-02
    167  5.608267729631E-02  1.406182E-05  5.660998E-02
    168  5.632179590432E-02  1.316091E-05  5.657510E-02
    169  5.658568452696E-02  1.224857E-05  5.653520E-02
    170  5.682194908758E-02  1.149617E-05  5.649828E-02
    171  5.707748662895E-02  1.074261E-05  5.645709E-02
    172  5.730159219632E-02  1.012739E-05  5.641993E-02
    173  5.769211250520E-02  9.143181E-06  5.635288E-02
    174  5.804755660481E-02  8.331210E-06  5.628936E-02
    175  5.837706807704E-02  7.642302E-06  5.622836E-02
    176  5.868213309337E-02  7.053677E-06  5.617011E-02
    177  5.897372529375E-02  6.531409E-06  5.611284E-02
    178  5.927019313219E-02  6.037712E-06  5.605303E-02
    179  5.955970264735E-02  5.588870E-06  5.599310E-02
    180  5.987296131417E-02  5.136915E-06  5.592658E-02
    181  6.018239261751E-02  4.723758E-06  5.585918E-02
    182  6.051941164510E-02  4.308809E-06  5.578391E-02
    183  6.081686890997E-02  3.970862E-06  5.571589E-02
    184  6.107970107709E-02  3.692873E-06  5.565459E-02
    185  6.149099227918E-02  3.293567E-06  5.555649E-02
    186  6.184187848266E-02  2.984069E-06  5.547075E-02
    187  6.212841772032E-02  2.751637E-06  5.539941E-02
    188  6.241083345826E-02  2.539201E-06  5.532798E-02
    189  6.286334795077E-02  2.230622E-06  5.521134E-02
    190  6.324448148531E-02  1.998476E-06  5.511115E-02
    191  6.354755735680E-02  1.829828E-06  5.503030E-02
    192  6.382753282149E-02  1.685879E-06  5.495474E-02
    193  6.429792763326E-02  1.467867E-06  5.482606E-02
