 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cu62          cu63          cu64          cu65          cu66          cu67          cu68          cu69 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.937951E-30  1.452586E-30  1.653812E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.683519E-30  3.826273E-30  4.273615E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.754170E-30  1.765158E-30  3.688693E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.178889E-30  2.639160E-30  3.488720E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.514449E-30  2.888319E-30  6.532850E-30  1.188680E-30  1.000000E-30
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.406675E-30  3.538433E-30  5.629352E-30  1.066717E-30  1.000000E-30
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.047881E-30  2.479022E-30  2.568883E-30  7.257521E-30  1.411394E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.991927E-30  6.941430E-30  5.029669E-30  7.499310E-30  1.379448E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.519270E-30  4.236035E-30  1.470503E-29  1.064626E-29  1.545151E-29  2.896810E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  3.287617E-30  9.536299E-30  3.410497E-29  2.519583E-29  3.737219E-29  7.093446E-30  1.835309E-30
     51  3.066477686677E-02  1.000000E-30  4.471095E-30  1.312236E-29  4.730902E-29  3.514598E-29  5.238523E-29  9.997413E-30  2.596549E-30
     52  3.080037159611E-02  1.000000E-30  6.015592E-30  1.794662E-29  6.592598E-29  4.963367E-29  7.523615E-29  1.451086E-29  3.821735E-30
     53  3.111325257314E-02  1.000000E-30  1.190311E-29  3.694986E-29  1.422999E-28  1.107480E-28  1.751058E-28  3.464527E-29  9.448650E-30
     54  3.147800645819E-02  1.743536E-30  2.623667E-29  8.521185E-29  3.461193E-28  2.795638E-28  4.632661E-28  9.434158E-29  2.674715E-29
     55  3.181357346897E-02  3.406360E-30  5.391123E-29  1.825844E-28  7.798318E-28  6.521568E-28  1.129455E-27  2.363024E-28  6.949499E-29
     56  3.217197145871E-02  6.907494E-30  1.155164E-28  4.092587E-28  1.846327E-27  1.603085E-27  2.912227E-27  6.273235E-28  1.919915E-28
     57  3.249951277145E-02  1.309588E-29  2.303845E-28  8.505211E-28  4.035730E-27  3.626418E-27  6.882990E-27  1.522953E-27  4.835274E-28
     58  3.262595809504E-02  1.674092E-29  3.003027E-28  1.126229E-27  5.448617E-27  4.960578E-27  9.574089E-27  2.140237E-27  6.891207E-28
     59  3.272641576722E-02  2.036001E-29  3.709859E-28  1.409078E-27  6.924593E-27  6.371181E-27  1.246350E-26  2.809224E-27  9.148157E-28
     60  3.304841700500E-02  3.803128E-29  7.288318E-28  2.883246E-27  1.490185E-26  1.418229E-26  2.897002E-26  6.705069E-27  2.264324E-27
     61  3.362823507679E-02  1.158578E-28  2.432564E-27  1.035378E-26  5.866878E-26  5.936734E-26  1.312716E-25  3.190767E-26  1.153151E-26
     62  3.417743618412E-02  3.314272E-28  7.586522E-27  3.455914E-26  2.132593E-25  2.282009E-25  5.419849E-25  1.376807E-25  5.284213E-26
     63  3.448472684867E-02  5.959384E-28  1.432936E-26  6.783246E-26  4.394989E-25  4.855072E-25  1.201433E-24  3.130853E-25  1.244363E-25
     64  3.459225947862E-02  7.316085E-28  1.789442E-26  8.584224E-26  5.656868E-25  6.318293E-25  1.585979E-24  4.169794E-25  1.677655E-25
     65  3.468161085917E-02  8.680632E-28  2.153750E-26  1.044752E-25  6.983102E-25  7.871805E-25  1.999650E-24  5.296567E-25  2.152864E-25
     66  3.501586344154E-02  1.646475E-27  4.310276E-26  2.179751E-25  1.536520E-24  1.792780E-24  4.762174E-24  1.296966E-24  5.477334E-25
     67  3.563385967804E-02  5.371069E-27  1.555036E-25  8.500078E-25  6.626683E-24  8.252894E-24  2.388132E-23  6.863090E-24  3.122881E-24
     68  3.619390900501E-02  1.574713E-26  4.987471E-25  2.917364E-24  2.481304E-23  3.267119E-23  1.016330E-22  3.056097E-23  1.479532E-23
     69  3.661379630041E-02  3.538661E-26  1.200229E-24  7.390320E-24  6.718875E-23  9.232632E-23  3.038179E-22  9.465664E-23  4.813067E-23
     70  3.704099468238E-02  8.099538E-26  2.946528E-24  1.911114E-23  1.859048E-22  2.667414E-22  9.292440E-22  3.001090E-22  1.603582E-22
     71  3.731378163516E-02  1.375514E-25  5.233507E-24  3.507890E-23  3.561482E-22  5.251802E-22  1.896730E-21  6.266594E-22  3.454652E-22
     72  3.757630769329E-02  2.288940E-25  9.094003E-24  6.290472E-23  6.655875E-22  1.007921E-21  3.771291E-21  1.274298E-21  7.246768E-22
     73  3.788075418501E-02  4.129319E-25  1.724854E-23  1.236847E-22  1.372113E-21  2.142362E-21  8.349950E-21  2.895632E-21  1.706953E-21
     74  3.819794660071E-02  7.627498E-25  3.356595E-23  2.497546E-22  2.909052E-21  4.688420E-21  1.906671E-20  6.793816E-21  4.158137E-21
     75  3.838080203158E-02  1.085545E-24  4.922362E-23  3.740238E-22  4.478972E-21  7.350875E-21  3.063320E-20  1.108697E-20  6.934155E-21
     76  3.859219912978E-02  1.634696E-24  7.674581E-23  5.974216E-22  7.386722E-21  1.238084E-20  5.308010E-20  1.956316E-20  1.254740E-20
     77  3.884096228080E-02  2.643405E-24  1.292745E-22  1.034983E-21  1.328205E-20  2.281810E-20  1.011505E-19  3.808682E-20  2.516455E-20
     78  3.907668434759E-02  4.162290E-24  2.115632E-22  1.738765E-21  2.310353E-20  4.062597E-20  1.858772E-19  7.142601E-20  4.854188E-20
     79  3.934936577490E-02  7.024920E-24  3.733389E-22  3.161374E-21  4.370691E-20  7.894818E-20  3.746869E-19  1.474141E-19  1.035188E-19
     80  3.961640452516E-02  1.170287E-23  6.496054E-22  5.661254E-21  8.131878E-20  1.507869E-19  7.417562E-19  2.986620E-19  2.165820E-19
     81  3.991996766101E-02  2.085076E-23  1.215939E-21  1.094322E-20  1.640534E-19  3.133756E-19  1.605785E-18  6.638471E-19  4.993985E-19
     82  4.019473378510E-02  3.507242E-23  2.138403E-21  1.980406E-20  3.083809E-19  6.050789E-19  3.217236E-18  1.362266E-18  1.059526E-18
     83  4.046928694587E-02  5.888780E-23  3.753339E-21  3.575404E-20  5.778988E-19  1.164574E-18  6.424845E-18  2.786286E-18  2.240433E-18
     84  4.074955599116E-02  9.975909E-23  6.653118E-21  6.520876E-20  1.094336E-18  2.266397E-18  1.298716E-17  5.772631E-18  4.803972E-18
     85  4.099011663524E-02  1.564303E-22  1.084546E-20  1.088972E-19  1.886411E-18  3.999435E-18  2.367831E-17  1.075030E-17  9.215262E-18
     86  4.118445936105E-02  2.245436E-22  1.606240E-20  1.644221E-19  2.921027E-18  6.310953E-18  3.836013E-17  1.771668E-17  1.555421E-17
     87  4.137235583218E-02  3.179659E-22  2.344347E-20  2.444700E-19  4.449235E-18  9.789927E-18  6.104532E-17  2.866603E-17  2.575800E-17
     88  4.152714488067E-02  4.229414E-22  3.196907E-20  3.384777E-19  6.282608E-18  1.403357E-17  8.936821E-17  4.254491E-17  3.896811E-17
     89  4.165981986900E-02  5.396269E-22  4.166867E-20  4.469368E-19  8.435956E-18  1.908837E-17  1.237757E-16  5.962260E-17  5.551640E-17
     90  4.188596337322E-02  8.158876E-22  6.533706E-20  7.164482E-19  1.391214E-17  3.218139E-17  2.152277E-16  1.057825E-16  1.013109E-16
     91  4.208159634323E-02  1.164655E-21  9.625274E-20  1.075768E-18  2.140445E-17  5.046744E-17  3.466952E-16  1.733971E-16  1.701765E-16
     92  4.230932596557E-02  1.760441E-21  1.509469E-19  1.725045E-18  3.530728E-17  8.512704E-17  6.034279E-16  3.080160E-16  3.110599E-16
     93  4.251598135750E-02  2.559760E-21  2.269646E-19  2.647011E-18  5.558461E-17  1.367693E-16  9.976140E-16  5.187581E-16  5.377020E-16
     94  4.274368410830E-02  3.862730E-21  3.554451E-19  4.240085E-18  9.159821E-17  2.305192E-16  1.735549E-15  9.211875E-16  9.827440E-16
     95  4.294191711445E-02  5.523910E-21  5.250823E-19  6.389257E-18  1.414971E-16  3.631886E-16  2.811193E-15  1.519064E-15  1.661874E-15
     96  4.316569238790E-02  8.271590E-21  8.158275E-19  1.015505E-17  2.313567E-16  6.073023E-16  4.850960E-15  2.675004E-15  3.011232E-15
