 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
    178  5.927019313219E-02  5.944371E-26  4.026724E-26  5.643090E-19  1.366447E-10  1.138390E-12  5.981600E-12  1.205780E-24  1.233938E-26
    179  5.955970264735E-02  5.995504E-26  3.337063E-26  5.407509E-19  1.464256E-10  1.143063E-12  6.250917E-12  1.205771E-24  1.233920E-26
    180  5.987296131417E-02  6.766259E-26  2.714611E-26  5.158567E-19  1.578312E-10  1.147825E-12  6.549134E-12  1.205762E-24  1.233901E-26
    181  6.018239261751E-02  6.924038E-26  2.207908E-26  4.919298E-19  1.699941E-10  1.152226E-12  6.849442E-12  1.205752E-24  1.233881E-26
    182  6.051941164510E-02  7.894444E-26  1.757950E-26  4.666397E-19  1.843402E-10  1.156750E-12  7.182556E-12  1.205741E-24  1.233860E-26
    183  6.081686890997E-02  7.169102E-26  1.434243E-26  4.450013E-19  1.980332E-10  1.160569E-12  7.481362E-12  1.205732E-24  1.233841E-26
    184  6.107970107709E-02  6.353278E-26  1.196084E-26  4.264244E-19  2.110006E-10  1.163856E-12  7.748802E-12  1.205724E-24  1.233825E-26
    185  6.149099227918E-02  1.097000E-25  8.972102E-27  3.983745E-19  2.330769E-10  1.168965E-12  8.173540E-12  1.205711E-24  1.233799E-26
    186  6.184187848266E-02  9.459514E-26  6.994464E-27  3.754069E-19  2.538067E-10  1.173458E-12  8.542159E-12  1.205700E-24  1.233777E-26
    187  6.212841772032E-02  7.880915E-26  5.696518E-27  3.573494E-19  2.721406E-10  1.177249E-12  8.845992E-12  1.205691E-24  1.233759E-26
    188  6.241083345826E-02  8.032139E-26  4.645725E-27  3.401732E-19  2.915488E-10  1.181165E-12  9.147368E-12  1.205683E-24  1.233741E-26
    189  6.286334795077E-02  1.432145E-25  3.340577E-27  3.139449E-19  3.256751E-10  1.187996E-12  9.633037E-12  1.205669E-24  1.233713E-26
    190  6.324448148531E-02  1.223630E-25  2.523380E-27  2.930877E-19  3.576110E-10  1.194503E-12  1.004357E-11  1.205657E-24  1.233689E-26
    191  6.354755735680E-02  9.931117E-26  2.014096E-27  2.772613E-19  3.853393E-10  1.200394E-12  1.037160E-11  1.205647E-24  1.233670E-26
    192  6.382753282149E-02  9.311323E-26  1.632976E-27  2.632498E-19  4.129458E-10  1.206494E-12  1.067485E-11  1.205639E-24  1.233652E-26
    193  6.429792763326E-02  1.766494E-25  1.144980E-27  2.410383E-19  4.640378E-10  1.218430E-12  1.118257E-11  1.205624E-24  1.233623E-26
    194  6.470641913937E-02  1.581428E-25  8.392582E-28  2.230783E-19  5.137212E-10  1.230889E-12  1.162026E-11  1.205611E-24  1.233597E-26
    195  6.514351188605E-02  1.792714E-25  6.006784E-28  2.051888E-19  5.730455E-10  1.246863E-12  1.208390E-11  1.205598E-24  1.233570E-26
    196  6.551961572666E-02  1.573127E-25  4.493577E-28  1.908142E-19  6.298562E-10  1.263277E-12  1.247986E-11  1.205586E-24  1.233546E-26
    197  6.614173306661E-02  2.985135E-25  2.771140E-28  1.690708E-19  7.371156E-10  1.296824E-12  1.312437E-11  1.205567E-24  1.233507E-26
    198  6.666431851744E-02  2.603302E-25  1.842884E-28  1.526889E-19  8.418953E-10  1.332310E-12  1.365259E-11  1.205550E-24  1.233474E-26
    199  6.714973898932E-02  2.519888E-25  1.260541E-28  1.389110E-19  9.531839E-10  1.372398E-12  1.413118E-11  1.205535E-24  1.233444E-26
    200  6.763365269933E-02  2.642093E-25  8.614057E-29  1.264024E-19  1.079723E-09  1.420454E-12  1.459912E-11  1.205520E-24  1.233414E-26
    201  6.810748363549E-02  2.705837E-25  5.933884E-29  1.153106E-19  1.220735E-09  1.476357E-12  1.504509E-11  1.205506E-24  1.233384E-26
    202  6.886988901479E-02  5.131156E-25  3.264317E-29  9.965857E-20  1.489434E-09  1.587783E-12  1.573603E-11  1.205482E-24  1.233336E-26
    203  6.932442343830E-02  2.933861E-25  2.288722E-29  9.146819E-20  1.678623E-09  1.668939E-12  1.613400E-11  1.205468E-24  1.233307E-26
    204  6.977291475786E-02  2.980775E-25  1.614335E-29  8.413407E-20  1.890248E-09  1.761475E-12  1.651710E-11  1.205454E-24  1.233279E-26
    205  7.051837306122E-02  5.954425E-25  9.097452E-30  7.346176E-20  2.305907E-09  1.946447E-12  1.713074E-11  1.205431E-24  1.233233E-26
    206  7.120724846930E-02  5.809570E-25  5.402829E-30  6.506380E-20  2.775462E-09  2.157921E-12  1.767569E-11  1.205409E-24  1.233189E-26
    207  7.185571854523E-02  5.744193E-25  3.336267E-30  5.823982E-20  3.309838E-09  2.399451E-12  1.817441E-11  1.205389E-24  1.233149E-26
    208  7.250556240022E-02  6.114609E-25  2.083666E-30  5.233688E-20  3.953737E-09  2.689609E-12  1.866098E-11  1.205369E-24  1.233108E-26
    209  7.308358088908E-02  5.640764E-25  1.386559E-30  4.775653E-20  4.636371E-09  2.994995E-12  1.908727E-11  1.205351E-24  1.233072E-26
    210  7.365083251161E-02  5.776919E-25  1.000000E-30  4.377614E-20  5.427231E-09  3.345277E-12  1.950540E-11  1.205333E-24  1.233036E-26
    211  7.420607479025E-02  5.941672E-25  1.000000E-30  4.032899E-20  6.337398E-09  3.743258E-12  1.991597E-11  1.205316E-24  1.233001E-26
    212  7.477269193766E-02  6.396003E-25  1.000000E-30  3.720889E-20  7.429918E-09  4.213795E-12  2.034092E-11  1.205298E-24  1.232966E-26
    213  7.532671922740E-02  6.628700E-25  1.000000E-30  3.447372E-20  8.689162E-09  4.747205E-12  2.077097E-11  1.205281E-24  1.232931E-26
    214  7.590819975934E-02  7.338077E-25  1.000000E-30  3.190692E-20  1.024894E-08  5.395565E-12  2.124182E-11  1.205263E-24  1.232894E-26
    215  7.648106882397E-02  7.739803E-25  1.000000E-30  2.964307E-20  1.206622E-08  6.135484E-12  2.173212E-11  1.205245E-24  1.232858E-26
    216  7.706864365518E-02  8.396357E-25  1.000000E-30  2.754321E-20  1.427477E-08  7.015264E-12  2.227382E-11  1.205227E-24  1.232822E-26
    217  7.765097184480E-02  8.908814E-25  1.000000E-30  2.564905E-20  1.687048E-08  8.025617E-12  2.286045E-11  1.205209E-24  1.232785E-26
    218  7.824188421090E-02  9.584500E-25  1.000000E-30  2.389614E-20  1.998869E-08  9.210052E-12  2.351699E-11  1.205191E-24  1.232748E-26
    219  7.883216312169E-02  1.023595E-24  1.000000E-30  2.228461E-20  2.367786E-08  1.057636E-11  2.425104E-11  1.205172E-24  1.232711E-26
    220  7.934760137230E-02  1.003258E-24  1.000000E-30  2.096694E-20  2.745232E-08  1.194115E-11  2.497309E-11  1.205156E-24  1.232679E-26
    221  7.991019390762E-02  1.079867E-24  1.000000E-30  1.961999E-20  3.224733E-08  1.363324E-11  2.586188E-11  1.205139E-24  1.232643E-26
    222  8.044081450283E-02  1.116522E-24  1.000000E-30  1.842668E-20  3.751329E-08  1.544556E-11  2.681562E-11  1.205122E-24  1.232610E-26
    223  8.103419684334E-02  1.246046E-24  1.000000E-30  1.716104E-20  4.440760E-08  1.775789E-11  2.804778E-11  1.205104E-24  1.232573E-26
    224  8.158988408622E-02  1.310464E-24  1.000000E-30  1.604046E-20  5.197279E-08  2.022822E-11  2.938897E-11  1.205087E-24  1.232538E-26
    225  8.219791245697E-02  1.448926E-24  1.000000E-30  1.488445E-20  6.167255E-08  2.330928E-11  3.110326E-11  1.205068E-24  1.232500E-26
    226  8.273529679330E-02  1.490359E-24  1.000000E-30  1.391526E-20  7.168812E-08  2.640595E-11  3.287693E-11  1.205051E-24  1.232466E-26
    227  8.327310875316E-02  1.549243E-24  1.000000E-30  1.298830E-20  8.328463E-08  2.990138E-11  3.494061E-11  1.205034E-24  1.232433E-26
    228  8.381967664174E-02  1.628740E-24  1.000000E-30  1.209222E-20  9.688692E-08  3.389509E-11  3.737390E-11  1.205017E-24  1.232398E-26
    229  8.442137901789E-02  1.778477E-24  1.000000E-30  1.115396E-20  1.142676E-07  3.885598E-11  4.050237E-11  1.204999E-24  1.232361E-26
    230  8.496109010092E-02  1.849439E-24  1.000000E-30  1.034178E-20  1.323331E-07  4.387101E-11  4.377750E-11  1.204982E-24  1.232327E-26
    231  8.556251684447E-02  1.997408E-24  1.000000E-30  9.473215E-21  1.554876E-07  5.011372E-11  4.799843E-11  1.204963E-24  1.232289E-26
    232  8.609514523980E-02  2.065794E-24  1.000000E-30  8.733426E-21  1.788928E-07  5.623867E-11  5.228466E-11  1.204947E-24  1.232256E-26
    233  8.668730402486E-02  2.204556E-24  1.000000E-30  7.936169E-21  2.084063E-07  6.373130E-11  5.771181E-11  1.204928E-24  1.232219E-26
    234  8.725638446658E-02  2.315345E-24  1.000000E-30  7.194860E-21  2.404037E-07  7.159368E-11  6.361445E-11  1.204910E-24  1.232183E-26
    235  8.784892152766E-02  2.451933E-24  1.000000E-30  6.453152E-21  2.775210E-07  8.040224E-11  7.047464E-11  1.204892E-24  1.232146E-26
    236  8.837914431516E-02  2.525496E-24  1.000000E-30  5.815791E-21  3.139829E-07  8.875478E-11  7.722121E-11  1.204876E-24  1.232112E-26
    237  8.927467123273E-02  3.090294E-24  1.000000E-30  4.796526E-21  3.821361E-07  1.036298E-10  8.983780E-11  1.204848E-24  1.232056E-26
    238  9.009385267910E-02  3.453985E-24  1.000000E-30  3.946323E-21  4.501814E-07  1.175441E-10  1.024152E-10  1.204822E-24  1.232005E-26
    239  9.088007009323E-02  3.737198E-24  1.000000E-30  3.208400E-21  5.189176E-07  1.306598E-10  1.150844E-10  1.204798E-24  1.231956E-26
    240  9.160938796651E-02  3.931169E-24  1.000000E-30  2.603658E-21  5.835222E-07  1.420654E-10  1.269365E-10  1.204775E-24  1.231910E-26
    241  9.231864750676E-02  4.094147E-24  1.000000E-30  2.091945E-21  6.452384E-07  1.520379E-10  1.381879E-10  1.204753E-24  1.231866E-26
    242  9.335415502949E-02  4.682773E-24  1.000000E-30  1.477314E-21  7.299762E-07  1.639931E-10  1.534757E-10  1.204721E-24  1.231801E-26
    243  9.429165011748E-02  5.049273E-24  1.000000E-30  1.050848E-21  7.978058E-07  1.716606E-10  1.655029E-10  1.204692E-24  1.231742E-26
    244  9.514750284226E-02  5.276714E-24  1.000000E-30  7.542401E-22  8.507913E-07  1.759906E-10  1.746906E-10  1.204665E-24  1.231688E-26
    245  9.592869681963E-02  5.407757E-24  1.000000E-30  5.498261E-22  8.910954E-07  1.778180E-10  1.814773E-10  1.204641E-24  1.231639E-26
    246  9.638259128200E-02  5.340004E-24  1.000000E-30  4.544761E-22  9.111673E-07  1.780638E-10  1.847604E-10  1.204627E-24  1.231611E-26
    247  9.686466198075E-02  5.285723E-24  1.000000E-30  3.697839E-22  9.298695E-07  1.777298E-10  1.877338E-10  1.204612E-24  1.231581E-26
    248  9.745016881397E-02  5.277347E-24  1.000000E-30  2.865311E-22  9.492041E-07  1.765984E-10  1.906843E-10  1.204594E-24  1.231544E-26
    249  9.798964068785E-02  5.248015E-24  1.000000E-30  2.255291E-22  9.640711E-07  1.749610E-10  1.928289E-10  1.204577E-24  1.231510E-26
    250  9.892639389759E-02  5.496296E-24  1.000000E-30  1.472027E-22  9.842335E-07  1.710690E-10  1.954580E-10  1.204548E-24  1.231452E-26
    251  9.977784733458E-02  5.630218E-24  1.000000E-30  9.920368E-23  9.974047E-07  1.666766E-10  1.968562E-10  1.204522E-24  1.231398E-26
    252  1.005622893962E-01  5.692681E-24  1.000000E-30  6.839327E-23  1.006313E-06  1.621772E-10  1.975294E-10  1.204497E-24  1.231349E-26
    253  1.013070552067E-01  5.716273E-24  1.000000E-30  4.788166E-23  1.012590E-06  1.576591E-10  1.977571E-10  1.204474E-24  1.231302E-26
    254  1.019791947326E-01  5.694326E-24  1.000000E-30  3.458785E-23  1.016932E-06  1.534779E-10  1.977164E-10  1.204453E-24  1.231260E-26
    255  1.025982572428E-01  5.647100E-24  1.000000E-30  2.554088E-23  1.020145E-06  1.496008E-10  1.975352E-10  1.204434E-24  1.231222E-26
    256  1.032644197032E-01  5.612537E-24  1.000000E-30  1.840547E-23  1.023006E-06  1.454443E-10  1.972337E-10  1.204413E-24  1.231180E-26
    257  1.039121745974E-01  5.566291E-24  1.000000E-30  1.335003E-23  1.025419E-06  1.414536E-10  1.968777E-10  1.204393E-24  1.231139E-26
    258  1.045193471709E-01  5.504373E-24  1.000000E-30  9.850444E-24  1.027508E-06  1.377812E-10  1.965180E-10  1.204374E-24  1.231101E-26
    259  1.051181778144E-01  5.437919E-24  1.000000E-30  7.294247E-24  1.029511E-06  1.342372E-10  1.961582E-10  1.204356E-24  1.231064E-26
    260  1.056826419982E-01  5.362618E-24  1.000000E-30  5.489143E-24  1.031426E-06  1.309762E-10  1.958297E-10  1.204338E-24  1.231028E-26
    261  1.062431336111E-01  5.285608E-24  1.000000E-30  4.126173E-24  1.033417E-06  1.278202E-10  1.955253E-10  1.204321E-24  1.230993E-26
    262  1.068146627648E-01  5.209443E-24  1.000000E-30  3.083025E-24  1.035580E-06  1.246885E-10  1.952447E-10  1.204303E-24  1.230957E-26
    263  1.073656177930E-01  5.129280E-24  1.000000E-30  2.327992E-24  1.037824E-06  1.217533E-10  1.950086E-10  1.204286E-24  1.230923E-26
    264  1.079139362418E-01  5.048304E-24  1.000000E-30  1.754815E-24  1.040242E-06  1.189140E-10  1.948124E-10  1.204269E-24  1.230889E-26
    265  1.084202130578E-01  4.963088E-24  1.000000E-30  1.350559E-24  1.042653E-06  1.163641E-10  1.946681E-10  1.204253E-24  1.230857E-26
    266  1.089957947327E-01  4.884873E-24  1.000000E-30  1.003014E-24  1.045619E-06  1.135475E-10  1.945496E-10  1.204235E-24  1.230821E-26
    267  1.095139929398E-01  4.800534E-24  1.000000E-30  7.668613E-25  1.048507E-06  1.110852E-10  1.944869E-10  1.204219E-24  1.230788E-26
    268  1.100036617482E-01  4.715089E-24  1.000000E-30  5.934971E-25  1.051437E-06  1.088211E-10  1.944675E-10  1.204204E-24  1.230758E-26
    269  1.105581599754E-01  4.634093E-24  1.000000E-30  4.440589E-25  1.055002E-06  1.063293E-10  1.944943E-10  1.204187E-24  1.230723E-26
    270  1.111738162549E-01  4.559030E-24  1.000000E-30  3.220515E-25  1.059282E-06  1.036502E-10  1.945868E-10  1.204168E-24  1.230684E-26
    271  1.117276452796E-01  4.476959E-24  1.000000E-30  2.405923E-25  1.063434E-06  1.013163E-10  1.947283E-10  1.204150E-24  1.230650E-26
    272  1.122547306619E-01  4.393520E-24  1.000000E-30  1.821837E-25  1.067654E-06  9.915981E-11  1.949148E-10  1.204134E-24  1.230617E-26
    273  1.128196390807E-01  4.312348E-24  1.000000E-30  1.353767E-25  1.072471E-06  9.691597E-11  1.951706E-10  1.204117E-24  1.230581E-26
    274  1.134172103791E-01  4.233363E-24  1.000000E-30  9.888124E-26  1.077895E-06  9.461470E-11  1.955034E-10  1.204098E-24  1.230544E-26
    275  1.139661173569E-01  4.151223E-24  1.000000E-30  7.395695E-26  1.083170E-06  9.256308E-11  1.958645E-10  1.204081E-24  1.230510E-26
    276  1.145721141816E-01  4.072367E-24  1.000000E-30  5.377159E-26  1.089319E-06  9.036445E-11  1.963242E-10  1.204062E-24  1.230472E-26
    277  1.151138636995E-01  3.990434E-24  1.000000E-30  4.053855E-26  1.095107E-06  8.845544E-11  1.967891E-10  1.204045E-24  1.230438E-26
    278  1.160623872824E-01  3.964774E-24  1.000000E-30  2.465801E-26  1.105902E-06  8.523463E-11  1.977262E-10  1.204016E-24  1.230378E-26
    279  1.166131253687E-01  3.879718E-24  1.000000E-30  1.855071E-26  1.112563E-06  8.343265E-11  1.983425E-10  1.203999E-24  1.230344E-26
    280  1.171578902390E-01  3.795525E-24  1.000000E-30  1.404182E-26  1.119439E-06  8.169716E-11  1.990047E-10  1.203982E-24  1.230310E-26
    281  1.179966344325E-01  3.733882E-24  1.000000E-30  9.162285E-27  1.130589E-06  7.911205E-11  2.001274E-10  1.203956E-24  1.230257E-26
    282  1.184626561866E-01  3.651951E-24  1.000000E-30  7.264238E-27  1.137084E-06  7.771969E-11  2.008056E-10  1.203941E-24  1.230228E-26
    283  1.189221956404E-01  3.571808E-24  1.000000E-30  5.802627E-27  1.143701E-06  7.637624E-11  2.015127E-10  1.203927E-24  1.230199E-26
    284  1.197605220964E-01  3.505709E-24  1.000000E-30  3.868229E-27  1.156320E-06  7.399742E-11  2.029020E-10  1.203901E-24  1.230147E-26
    285  1.205341475296E-01  3.429537E-24  1.000000E-30  2.699237E-27  1.168599E-06  7.188148E-11  2.042984E-10  1.203877E-24  1.230099E-26
    286  1.212540834288E-01  3.348572E-24  1.000000E-30  1.953651E-27  1.180582E-06  6.997700E-11  2.056981E-10  1.203855E-24  1.230054E-26
    287  1.219299358624E-01  3.265953E-24  1.000000E-30  1.457265E-27  1.192322E-06  6.824298E-11  2.071011E-10  1.203834E-24  1.230011E-26
    288  1.225766858039E-01  3.183498E-24  1.000000E-30  1.115079E-27  1.204010E-06  6.663056E-11  2.085251E-10  1.203814E-24  1.229971E-26
    289  1.231854533608E-01  3.102096E-24  1.000000E-30  8.745828E-28  1.215420E-06  6.515271E-11  2.099401E-10  1.203795E-24  1.229933E-26
    290  1.237219182154E-01  3.024088E-24  1.000000E-30  7.113977E-28  1.225809E-06  6.388126E-11  2.112477E-10  1.203778E-24  1.229899E-26
    291  1.242404039059E-01  2.948400E-24  1.000000E-30  5.873764E-28  1.236151E-06  6.267918E-11  2.125666E-10  1.203762E-24  1.229867E-26
    292  1.248086455930E-01  2.872129E-24  1.000000E-30  4.801039E-28  1.247833E-06  6.139098E-11  2.140757E-10  1.203744E-24  1.229831E-26
    293  1.253177247642E-01  2.799900E-24  1.000000E-30  4.026813E-28  1.258613E-06  6.026183E-11  2.154864E-10  1.203729E-24  1.229799E-26
    294  1.258810647447E-01  2.726689E-24  1.000000E-30  3.339041E-28  1.270899E-06  5.903943E-11  2.171134E-10  1.203711E-24  1.229764E-26
    295  1.264205598797E-01  2.655866E-24  1.000000E-30  2.809693E-28  1.283026E-06  5.789484E-11  2.187387E-10  1.203694E-24  1.229730E-26
    296  1.270317883483E-01  2.584020E-24  1.000000E-30  2.323446E-28  1.297206E-06  5.662779E-11  2.206635E-10  1.203675E-24  1.229692E-26
    297  1.275757308169E-01  2.515755E-24  1.000000E-30  1.971195E-28  1.310230E-06  5.552619E-11  2.224538E-10  1.203658E-24  1.229658E-26
    298  1.286048671531E-01  2.458704E-24  1.000000E-30  1.461581E-28  1.335960E-06  5.350723E-11  2.260489E-10  1.203627E-24  1.229594E-26
    299  1.290949488661E-01  2.394694E-24  1.000000E-30  1.272043E-28  1.348732E-06  5.257443E-11  2.278624E-10  1.203611E-24  1.229563E-26
    300  1.295345101683E-01  2.335662E-24  1.000000E-30  1.125190E-28  1.360479E-06  5.175318E-11  2.295464E-10  1.203598E-24  1.229535E-26
    301  1.303954523490E-01  2.267744E-24  1.000000E-30  8.892313E-29  1.384308E-06  5.018550E-11  2.330080E-10  1.203571E-24  1.229482E-26
    302  1.308549873199E-01  2.209694E-24  1.000000E-30  7.855067E-29  1.397482E-06  4.936982E-11  2.349487E-10  1.203557E-24  1.229453E-26
    303  1.312776310019E-01  2.155631E-24  1.000000E-30  7.014434E-29  1.409883E-06  4.863225E-11  2.367926E-10  1.203544E-24  1.229426E-26
    304  1.320787884157E-01  2.089071E-24  1.000000E-30  5.675027E-29  1.434156E-06  4.726648E-11  2.404480E-10  1.203519E-24  1.229376E-26
    305  1.327308179063E-01  2.025287E-24  1.000000E-30  4.784791E-29  1.454669E-06  4.618487E-11  2.435867E-10  1.203498E-24  1.229336E-26
    306  1.333821207310E-01  1.962769E-24  1.000000E-30  4.039587E-29  1.475859E-06  4.513023E-11  2.468769E-10  1.203478E-24  1.229295E-26
    307  1.339749669338E-01  1.903766E-24  1.000000E-30  3.467437E-29  1.495769E-06  4.419220E-11  2.500124E-10  1.203460E-24  1.229258E-26
    308  1.345530840576E-01  1.846880E-24  1.000000E-30  2.990116E-29  1.515774E-06  4.329679E-11  2.532072E-10  1.203442E-24  1.229222E-26
    309  1.351098094661E-01  1.792289E-24  1.000000E-30  2.593942E-29  1.535603E-06  4.245191E-11  2.564192E-10  1.203425E-24  1.229187E-26
    310  1.359304916944E-01  1.731979E-24  1.000000E-30  2.106698E-29  1.565871E-06  4.123717E-11  2.614075E-10  1.203399E-24  1.229135E-26
    311  1.363572082699E-01  1.687569E-24  1.000000E-30  1.891971E-29  1.582111E-06  4.061950E-11  2.641280E-10  1.203386E-24  1.229109E-26
    312  1.367788244083E-01  1.644530E-24  1.000000E-30  1.701353E-29  1.598504E-06  4.001810E-11  2.669073E-10  1.203373E-24  1.229082E-26
    313  1.375777712339E-01  1.587555E-24  1.000000E-30  1.392696E-29  1.630537E-06  3.890288E-11  2.724319E-10  1.203348E-24  1.229032E-26
    314  1.380438267916E-01  1.543891E-24  1.000000E-30  1.240229E-29  1.649824E-06  3.826671E-11  2.758188E-10  1.203334E-24  1.229003E-26
    315  1.384690951451E-01  1.503841E-24  1.000000E-30  1.115849E-29  1.667821E-06  3.769492E-11  2.790238E-10  1.203320E-24  1.228977E-26
    316  1.391087445178E-01  1.454214E-24  1.000000E-30  9.524690E-30  1.695622E-06  3.685052E-11  2.840594E-10  1.203301E-24  1.228937E-26
    317  1.397002518981E-01  1.407683E-24  1.000000E-30  8.235822E-30  1.722134E-06  3.608619E-11  2.889572E-10  1.203282E-24  1.228900E-26
    318  1.402705851668E-01  1.363252E-24  1.000000E-30  7.164198E-30  1.748451E-06  3.536366E-11  2.939162E-10  1.203265E-24  1.228864E-26
    319  1.408634912375E-01  1.318952E-24  1.000000E-30  6.202103E-30  1.776617E-06  3.462698E-11  2.993377E-10  1.203246E-24  1.228827E-26
    320  1.414089642241E-01  1.277846E-24  1.000000E-30  5.437048E-30  1.803277E-06  3.396228E-11  3.045766E-10  1.203229E-24  1.228793E-26
    321  1.419220762512E-01  1.239289E-24  1.000000E-30  4.808486E-30  1.829027E-06  3.334814E-11  3.097383E-10  1.203213E-24  1.228761E-26
    322  1.422771704232E-01  1.210437E-24  1.000000E-30  4.418221E-30  1.847236E-06  3.292903E-11  3.134548E-10  1.203202E-24  1.228739E-26
    323  1.426029315631E-01  1.184057E-24  1.000000E-30  4.089695E-30  1.864227E-06  3.254882E-11  3.169718E-10  1.203192E-24  1.228718E-26
    324  1.430135230101E-01  1.153210E-24  1.000000E-30  3.712589E-30  1.886038E-06  3.207546E-11  3.215559E-10  1.203179E-24  1.228693E-26
    325  1.434683796643E-01  1.120794E-24  1.000000E-30  3.338276E-30  1.910724E-06  3.155854E-11  3.268403E-10  1.203165E-24  1.228664E-26
    326  1.440315208021E-01  1.084419E-24  1.000000E-30  2.930550E-30  1.942065E-06  3.092904E-11  3.337027E-10  1.203148E-24  1.228629E-26
    327  1.445490332405E-01  1.050854E-24  1.000000E-30  2.603070E-30  1.971646E-06  3.036026E-11  3.403490E-10  1.203132E-24  1.228597E-26
    328  1.451370980342E-01  1.015392E-24  1.000000E-30  2.279266E-30  2.006186E-06  2.972540E-11  3.483160E-10  1.203114E-24  1.228560E-26
    329  1.457052374241E-01  9.816262E-25  1.000000E-30  2.008785E-30  2.040520E-06  2.912342E-11  3.564626E-10  1.203096E-24  1.228524E-26
    330  1.463107957421E-01  9.474689E-25  1.000000E-30  1.759329E-30  2.078192E-06  2.849331E-11  3.656842E-10  1.203077E-24  1.228487E-26
    331  1.468752132891E-01  9.156742E-25  1.000000E-30  1.558346E-30  2.114342E-06  2.791690E-11  3.748141E-10  1.203060E-24  1.228451E-26
    332  1.475510939381E-01  8.810809E-25  1.000000E-30  1.351970E-30  2.158995E-06  2.724042E-11  3.864799E-10  1.203039E-24  1.228409E-26
    333  1.481899111058E-01  8.485984E-25  1.000000E-30  1.185922E-30  2.202618E-06  2.661407E-11  3.983223E-10  1.203019E-24  1.228369E-26
    334  1.491767377555E-01  8.094265E-25  1.000000E-30  1.000000E-30  2.272840E-06  2.567141E-11  4.183399E-10  1.202988E-24  1.228307E-26
    335  1.497116139607E-01  7.823103E-25  1.000000E-30  1.000000E-30  2.312394E-06  2.517289E-11  4.301494E-10  1.202972E-24  1.228274E-26
    336  1.502421520731E-01  7.560751E-25  1.000000E-30  1.000000E-30  2.352703E-06  2.468630E-11  4.426208E-10  1.202955E-24  1.228241E-26
    337  1.509052103900E-01  7.262494E-25  1.000000E-30  1.000000E-30  2.404631E-06  2.408971E-11  4.593291E-10  1.202935E-24  1.228199E-26
    338  1.515352476696E-01  6.982943E-25  1.000000E-30  1.000000E-30  2.455621E-06  2.353446E-11  4.764612E-10  1.202915E-24  1.228160E-26
    339  1.521327102765E-01  6.722135E-25  1.000000E-30  1.000000E-30  2.505512E-06  2.301756E-11  4.939803E-10  1.202897E-24  1.228123E-26
    340  1.526678407657E-01  6.488787E-25  1.000000E-30  1.000000E-30  2.551512E-06  2.256284E-11  5.107993E-10  1.202880E-24  1.228089E-26
    341  1.532481602429E-01  6.247666E-25  1.000000E-30  1.000000E-30  2.602841E-06  2.207844E-11  5.303370E-10  1.202862E-24  1.228053E-26
    342  1.535863948111E-01  6.097498E-25  1.000000E-30  1.000000E-30  2.633469E-06  2.180012E-11  5.423965E-10  1.202851E-24  1.228032E-26
    343  1.538995751697E-01  5.960061E-25  1.000000E-30  1.000000E-30  2.662307E-06  2.154480E-11  5.540528E-10  1.202842E-24  1.228012E-26
    344  1.546020187628E-01  5.701081E-25  1.000000E-30  1.000000E-30  2.728699E-06  2.098123E-11  5.819567E-10  1.202820E-24  1.227969E-26
    345  1.552062305672E-01  5.477039E-25  1.000000E-30  1.000000E-30  2.787745E-06  2.050635E-11  6.080517E-10  1.202801E-24  1.227931E-26
    346  1.557875935888E-01  5.266342E-25  1.000000E-30  1.000000E-30  2.846299E-06  2.005735E-11  6.351999E-10  1.202783E-24  1.227894E-26
    347  1.566447447202E-01  4.993206E-25  1.000000E-30  1.000000E-30  2.935851E-06  1.940950E-11  6.792613E-10  1.202757E-24  1.227841E-26
    348  1.574294426159E-01  4.745209E-25  1.000000E-30  1.000000E-30  3.021303E-06  1.883101E-11  7.242286E-10  1.202732E-24  1.227792E-26
    349  1.581710514975E-01  4.514857E-25  1.000000E-30  1.000000E-30  3.105226E-06  1.829597E-11  7.714172E-10  1.202709E-24  1.227746E-26
    350  1.588328903187E-01  4.311910E-25  1.000000E-30  1.000000E-30  3.182800E-06  1.782842E-11  8.177124E-10  1.202689E-24  1.227704E-26
    351  1.594606073659E-01  4.124226E-25  1.000000E-30  1.000000E-30  3.258774E-06  1.739316E-11  8.656511E-10  1.202669E-24  1.227665E-26
    352  1.600565792087E-01  3.950632E-25  1.000000E-30  1.000000E-30  3.333133E-06  1.698681E-11  9.152430E-10  1.202651E-24  1.227628E-26
    353  1.607059625219E-01  3.769073E-25  1.000000E-30  1.000000E-30  3.416686E-06  1.655207E-11  9.740891E-10  1.202631E-24  1.227587E-26
    354  1.613957576202E-01  3.584343E-25  1.000000E-30  1.000000E-30  3.508403E-06  1.609893E-11  1.042632E-09  1.202609E-24  1.227544E-26
    355  1.620398820205E-01  3.416275E-25  1.000000E-30  1.000000E-30  3.596886E-06  1.568335E-11  1.112955E-09  1.202589E-24  1.227504E-26
    356  1.627691861850E-01  3.234433E-25  1.000000E-30  1.000000E-30  3.700470E-06  1.522204E-11  1.200463E-09  1.202567E-24  1.227458E-26
    357  1.634667099868E-01  3.066558E-25  1.000000E-30  1.000000E-30  3.803013E-06  1.478936E-11  1.292857E-09  1.202545E-24  1.227415E-26
