 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
     41  1.871872199221E-02  6.973588E-27  3.083961E-23  2.281908E-18  1.212413E-14  2.242916E-18  8.780322E-18  1.207042E-24  1.236487E-26
     42  2.131412024987E-02  1.284756E-26  2.583921E-23  3.822932E-18  3.417989E-14  1.027885E-17  5.158782E-17  1.206961E-24  1.236323E-26
     43  2.288535686070E-02  7.087734E-27  2.124121E-23  4.603484E-18  5.704162E-14  2.782760E-17  1.460100E-16  1.206912E-24  1.236225E-26
     44  2.437102778700E-02  8.936445E-27  1.758939E-23  5.108832E-18  8.679021E-14  8.052953E-17  4.006584E-16  1.206866E-24  1.236131E-26
     45  2.666254430666E-02  1.285225E-26  1.440055E-23  5.388091E-18  1.508317E-13  5.518551E-16  2.046178E-15  1.206794E-24  1.235987E-26
     46  2.807329513827E-02  1.051839E-26  1.378016E-23  5.296371E-18  2.034128E-13  2.238319E-15  6.100484E-15  1.206751E-24  1.235898E-26
     47  2.946719119355E-02  1.017913E-26  1.410912E-23  5.044848E-18  2.668171E-13  1.047369E-14  1.938081E-14  1.206707E-24  1.235811E-26
     48  2.982466835475E-02  2.997449E-27  1.436438E-23  4.956385E-18  2.850404E-13  1.588092E-14  2.648224E-14  1.206696E-24  1.235788E-26
     49  3.017238950627E-02  3.033104E-27  1.468538E-23  4.861981E-18  3.035501E-13  2.386551E-14  3.578244E-14  1.206685E-24  1.235766E-26
     50  3.052509122072E-02  3.189339E-27  1.508378E-23  4.758361E-18  3.231545E-13  3.594820E-14  4.835094E-14  1.206674E-24  1.235744E-26
     51  3.066477686677E-02  1.248038E-27  1.526171E-23  4.715328E-18  3.311607E-13  4.219203E-14  5.438600E-14  1.206670E-24  1.235735E-26
     52  3.080037159611E-02  1.249350E-27  1.545017E-23  4.672402E-18  3.390667E-13  4.932814E-14  6.099381E-14  1.206666E-24  1.235727E-26
     53  3.111325257314E-02  3.006821E-27  1.593175E-23  4.569653E-18  3.578381E-13  7.044630E-14  7.922365E-14  1.206656E-24  1.235707E-26
     54  3.147800645819E-02  3.525123E-27  1.655771E-23  4.444737E-18  3.807353E-13  1.051341E-13  1.063488E-13  1.206645E-24  1.235684E-26
     55  3.181357346897E-02  3.349078E-27  1.718032E-23  4.326377E-18  4.028784E-13  1.492795E-13  1.377870E-13  1.206634E-24  1.235663E-26
     56  3.217197145871E-02  3.697798E-27  1.787528E-23  4.197901E-18  4.278189E-13  2.125702E-13  1.792108E-13  1.206623E-24  1.235641E-26
     57  3.249951277145E-02  3.530697E-27  1.851990E-23  4.079882E-18  4.519233E-13  2.878969E-13  2.250108E-13  1.206613E-24  1.235620E-26
     58  3.262595809504E-02  1.356067E-27  1.876829E-23  4.034369E-18  4.615939E-13  3.220914E-13  2.449226E-13  1.206609E-24  1.235612E-26
     59  3.272641576722E-02  1.124430E-27  1.897306E-23  3.997951E-18  4.694177E-13  3.521022E-13  2.620158E-13  1.206606E-24  1.235606E-26
     60  3.304841700500E-02  3.714944E-27  1.962141E-23  3.881785E-18  4.954573E-13  4.633498E-13  3.230820E-13  1.206596E-24  1.235586E-26
     61  3.362823507679E-02  7.119527E-27  2.071885E-23  3.676717E-18  5.464380E-13  7.290228E-13  4.596090E-13  1.206578E-24  1.235549E-26
     62  3.417743618412E-02  7.146227E-27  2.161679E-23  3.489809E-18  6.002886E-13  1.071153E-12  6.252842E-13  1.206561E-24  1.235515E-26
     63  3.448472684867E-02  3.903242E-27  2.204083E-23  3.389102E-18  6.330940E-13  1.305996E-12  7.356850E-13  1.206551E-24  1.235495E-26
     64  3.459225947862E-02  1.420829E-27  2.217943E-23  3.354373E-18  6.450559E-13  1.397189E-12  7.780714E-13  1.206548E-24  1.235489E-26
     65  3.468161085917E-02  1.210523E-27  2.229314E-23  3.325618E-18  6.551885E-13  1.477325E-12  8.151186E-13  1.206545E-24  1.235483E-26
