 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mn67          mn68          mn69          mn70          mn71          mn72          mn73          mn74 
     86  4.118445936105E-02  2.441451E-26  4.004935E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  4.033183E-26  6.656945E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  6.081221E-26  1.008849E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  8.630545E-26  1.438037E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  1.561500E-25  2.621272E-28  1.255548E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  2.597736E-25  4.389064E-28  2.143395E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  4.682884E-25  7.971930E-28  3.962465E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  7.973483E-25  1.366699E-27  6.903594E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  1.429616E-24  2.469043E-27  1.269612E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  2.372516E-24  4.124584E-27  2.154155E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  4.199040E-24  7.354604E-27  3.909385E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  7.510365E-24  1.325513E-26  7.174263E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  1.350822E-23  2.402530E-26  1.324334E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  2.387770E-23  4.278753E-26  2.400881E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
