 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cd116         cd117         cd118         cd119         cd120         cd121         cd122         cd123
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  1.292434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.247266E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  3.270989E-30  1.315563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  4.190009E-30  1.751199E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  4.879573E-30  2.105962E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  6.082069E-30  2.842834E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  4.350657E-30  2.034806E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  5.083291E-30  2.511967E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  6.588535E-30  3.162673E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  8.092330E-30  4.277315E-30  1.029054E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  5.824069E-30  3.070170E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  7.114046E-30  3.853326E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  9.976076E-30  5.431024E-30  1.390576E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  1.042464E-29  5.783615E-30  1.519329E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  1.482374E-29  8.224903E-30  2.253581E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  1.642363E-29  9.322544E-30  2.648340E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  2.267917E-29  1.355620E-29  4.013402E-30  1.039386E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  2.321818E-29  1.406893E-29  4.350255E-30  1.151277E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  2.967926E-29  1.955445E-29  6.290884E-30  1.693104E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  3.119555E-29  2.038253E-29  6.614617E-30  1.816875E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  4.099011663524E-02  3.398687E-29  2.313637E-29  7.588530E-30  2.122683E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  4.118445936105E-02  2.994708E-29  2.066865E-29  6.879500E-30  1.959056E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  3.246159E-29  2.293408E-29  7.936832E-30  2.296262E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  2.802366E-29  2.002088E-29  6.988078E-30  2.050659E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.561902E-29  1.856237E-29  6.607768E-30  1.963115E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  4.716130E-29  3.457028E-29  1.246243E-29  3.742102E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  4.411702E-29  3.274765E-29  1.256307E-29  3.868175E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  5.791299E-29  4.403611E-29  1.669744E-29  5.194091E-30  1.071495E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  5.799288E-29  4.498284E-29  1.774684E-29  5.654569E-30  1.196240E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  7.167009E-29  5.693511E-29  2.277600E-29  7.543602E-30  1.639012E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  7.542925E-29  6.301269E-29  2.740488E-29  9.206292E-30  2.046000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  8.865029E-29  7.537174E-29  3.386132E-29  1.155424E-29  2.571166E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  9.583634E-29  8.111094E-29  3.517808E-29  1.218075E-29  3.000133E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  1.070618E-28  9.290557E-29  4.164889E-29  1.445699E-29  3.480028E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  1.144744E-28  1.017327E-28  4.700280E-29  1.662555E-29  4.181028E-30  1.095303E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  1.371504E-28  1.246264E-28  5.906551E-29  2.111361E-29  5.346241E-30  1.422081E-30  1.000000E-30  1.000000E-30
    101  4.430336182063E-02  1.360293E-28  1.266766E-28  6.212380E-29  2.286188E-29  6.062297E-30  1.641333E-30  1.000000E-30  1.000000E-30
