 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ar31          ar32          ar33          ar34          ar35          ar36          ar37          ar38 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.118746E-28  3.229358E-27  4.154735E-26
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.962841E-30  2.678419E-26  1.298958E-25  1.971705E-24
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.633571E-29  1.810373E-25  1.348314E-24  4.152929E-23
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.052013E-28  1.029072E-24  8.951284E-24  3.348880E-22
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.362499E-28  1.513912E-23  1.959414E-22  1.128289E-20
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.344700E-27  8.086040E-23  1.455470E-21  1.220819E-19
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.884708E-27  4.157273E-22  9.640206E-21  1.073057E-18
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.100741E-26  6.383258E-22  1.561268E-20  1.864456E-18
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.502261E-26  9.622202E-22  2.499257E-20  3.193197E-18
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.053180E-26  1.445271E-21  3.980763E-20  5.445744E-18
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.320608E-26  1.693348E-21  4.770352E-20  6.701867E-18
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.615204E-26  1.975176E-21  5.686282E-20  8.197356E-18
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.437674E-26  2.804202E-21  8.477032E-20  1.296228E-17
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.686035E-26  4.163178E-21  1.329112E-19  2.174227E-17
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.109033E-30  6.165359E-26  5.903469E-21  1.977572E-19  3.438563E-17
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.246511E-30  8.161258E-26  8.439224E-21  2.970225E-19  5.507371E-17
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.385591E-30  1.042261E-25  1.153672E-20  4.241562E-19  8.334892E-17
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.443035E-30  1.142196E-25  1.297371E-20  4.849345E-19  9.743899E-17
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.491142E-30  1.228624E-25  1.424442E-20  5.394506E-19  1.103340E-16
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.655911E-30  1.542467E-25  1.908272E-20  7.532017E-19  1.630392E-16
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.996629E-30  2.269607E-25  3.148798E-20  1.336231E-18  3.201136E-16
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.377596E-30  3.192450E-25  4.929709E-20  2.237185E-18  5.899388E-16
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.618309E-30  3.828769E-25  6.275042E-20  2.955326E-18  8.223436E-16
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.708549E-30  4.077030E-25  6.822736E-20  3.255139E-18  9.229923E-16
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.786590E-30  4.295609E-25  7.314428E-20  3.527488E-18  1.016037E-15
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.097427E-30  5.203406E-25  9.454959E-20  4.746675E-18  1.450060E-15
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.755129E-30  7.308935E-25  1.497677E-19  8.095376E-18  2.758132E-15
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.449326E-30  9.789453E-25  2.238003E-19  1.293479E-17  4.868904E-15
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.036051E-30  1.208142E-24  2.999670E-19  1.823061E-17  7.398317E-15
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.694380E-30  1.485982E-24  4.015749E-19  2.569169E-17  1.126143E-14
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.136113E-30  1.685627E-24  4.809814E-19  3.179932E-17  1.464467E-14
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.570120E-30  1.892916E-24  5.692564E-19  3.884518E-17  1.876309E-14
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.074705E-30  2.149286E-24  6.871260E-19  4.864288E-17  2.483504E-14
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.588186E-30  2.429793E-24  8.281765E-19  6.091837E-17  3.295711E-14
