 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta188         ta189         ta190         ta191         ta192         ta193         ta194         ta195
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000805E-30  1.000000E-30  1.000518E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005030E-30  1.000000E-30  1.003233E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017571E-30  1.000000E-30  1.011265E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.050008E-30  1.000000E-30  1.031862E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.126763E-30  1.000000E-30  1.079528E-30  1.000000E-30
      7  4.527785414179E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.288375E-30  1.000000E-30  1.174416E-30  1.000481E-30
      8  1.231582592127E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.548091E-30  1.000000E-30  1.323872E-30  1.037648E-30
      9  4.001734798240E-13  1.000000E-30  1.000000E-30  1.037133E-30  1.099098E-30  1.849866E-30  1.102150E-30  1.492144E-30  1.094743E-30
     10  1.150918682670E-12  1.000141E-30  1.042334E-30  1.181558E-30  1.234988E-30  2.010092E-30  1.150158E-30  1.519255E-30  1.101718E-30
     11  2.802808442389E-12  1.000000E-30  1.068434E-30  1.198538E-30  1.241742E-30  2.007841E-30  1.152856E-30  1.523759E-30  1.097764E-30
     12  6.912921996243E-12  1.016595E-30  1.081590E-30  1.216772E-30  1.258923E-30  2.034938E-30  1.172655E-30  1.568969E-30  1.129662E-30
     13  1.659368270033E-11  1.053031E-30  1.146388E-30  1.278784E-30  1.345030E-30  2.213963E-30  1.257396E-30  1.613481E-30  1.194094E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
