 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tm183         tm184         tm185         tm186         tm187         tm188         tm189         tm190
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000094E-30  1.000000E-30  1.000073E-30  1.000000E-30  1.000306E-30  1.000000E-30  1.000184E-30
      3  6.264265632874E-16  1.000000E-30  1.000586E-30  1.000000E-30  1.000453E-30  1.000000E-30  1.001917E-30  1.000000E-30  1.001154E-30
      4  2.206990590178E-15  1.000000E-30  1.002048E-30  1.000000E-30  1.001590E-30  1.000000E-30  1.006724E-30  1.000000E-30  1.004054E-30
      5  6.425069294186E-15  1.000000E-30  1.005836E-30  1.000000E-30  1.004566E-30  1.000000E-30  1.019351E-30  1.000000E-30  1.011700E-30
      6  1.724777641531E-14  1.000000E-30  1.014839E-30  1.000000E-30  1.011847E-30  1.000000E-30  1.050446E-30  1.000000E-30  1.030741E-30
      7  4.527785414179E-14  1.000000E-30  1.034003E-30  1.000000E-30  1.028523E-30  1.000000E-30  1.122914E-30  1.000000E-30  1.076678E-30
      8  1.231582592127E-13  1.000000E-30  1.065670E-30  1.000000E-30  1.061861E-30  1.000000E-30  1.274571E-30  1.000000E-30  1.185663E-30
      9  4.001734798240E-13  1.000000E-30  1.090088E-30  1.000000E-30  1.104807E-30  1.000000E-30  1.497159E-30  1.000000E-30  1.444507E-30
     10  1.150918682670E-12  1.000000E-30  1.091587E-30  1.000000E-30  1.113630E-30  1.000000E-30  1.558769E-30  1.000000E-30  1.626632E-30
     11  2.802808442389E-12  1.000182E-30  1.091583E-30  1.000000E-30  1.116567E-30  1.004556E-30  1.559577E-30  1.000000E-30  1.637418E-30
     12  6.912921996243E-12  1.000000E-30  1.086715E-30  1.000000E-30  1.122701E-30  1.010166E-30  1.559898E-30  1.003426E-30  1.646429E-30
     13  1.659368270033E-11  1.000000E-30  1.100711E-30  1.000000E-30  1.244276E-30  1.110998E-30  1.674876E-30  1.092833E-30  1.767203E-30
