 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                br95          br96          br97          br98          br99          br100         br101         br102
    150  5.258707116153E-02  1.662585E-24  1.987204E-27  6.394256E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  2.576382E-24  3.102072E-27  1.010294E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  3.904227E-24  4.734612E-27  1.560290E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  5.790161E-24  7.070891E-27  2.357218E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  8.176518E-24  1.004821E-26  3.384772E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  1.115197E-23  1.378496E-26  4.688423E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  1.844884E-23  2.303127E-26  7.962116E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  2.841059E-23  3.578295E-26  1.255276E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  4.200011E-23  5.334529E-26  1.897509E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  6.023013E-23  7.712313E-26  2.780309E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  8.268336E-23  1.066651E-25  3.892868E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  1.099769E-22  1.428671E-25  5.274465E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  1.770850E-22  2.328796E-25  8.773273E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  2.665339E-22  3.544310E-25  1.360020E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  3.870384E-22  5.201745E-25  2.031372E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  5.419092E-22  7.356434E-25  2.920713E-27  1.132665E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  7.416516E-22  1.016586E-24  4.101213E-27  1.602597E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  1.052646E-21  1.459124E-24  5.996567E-27  2.360969E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  1.439417E-21  2.016028E-24  8.428424E-27  3.341702E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  2.012839E-21  2.851690E-24  1.215039E-26  4.854828E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  2.695722E-21  3.858717E-24  1.672356E-26  6.728725E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  3.668769E-21  5.310591E-24  2.344530E-26  9.504705E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    172  5.730159219632E-02  4.778429E-21  6.985177E-24  3.134375E-26  1.279143E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    173  5.769211250520E-02  7.483664E-21  1.112946E-23  5.138030E-26  2.121360E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    174  5.804755660481E-02  1.112835E-20  1.681203E-23  7.965958E-26  3.324129E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    175  5.837706807704E-02  1.593909E-20  2.443485E-23  1.186156E-25  4.999043E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    176  5.868213309337E-02  2.208751E-20  3.432420E-23  1.704139E-25  7.248591E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    177  5.897372529375E-02  3.001639E-20  4.725852E-23  2.397512E-25  1.028852E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
