 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                bi219         bi220         bi221         bi222         bi223         bi224         bi225         bi226
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000045E-30  1.000000E-30  1.000050E-30  1.000000E-30  1.000025E-30  1.000000E-30  1.000032E-30
      3  6.264265632874E-16  1.000000E-30  1.000284E-30  1.000000E-30  1.000312E-30  1.000000E-30  1.000158E-30  1.000000E-30  1.000203E-30
      4  2.206990590178E-15  1.000000E-30  1.000998E-30  1.000000E-30  1.001098E-30  1.000000E-30  1.000557E-30  1.000000E-30  1.000713E-30
      5  6.425069294186E-15  1.000000E-30  1.002895E-30  1.000000E-30  1.003188E-30  1.000000E-30  1.001618E-30  1.000000E-30  1.002071E-30
      6  1.724777641531E-14  1.000000E-30  1.007695E-30  1.000000E-30  1.008499E-30  1.000000E-30  1.004312E-30  1.000000E-30  1.005524E-30
      7  4.527785414179E-14  1.000000E-30  1.019701E-30  1.000000E-30  1.021912E-30  1.000000E-30  1.011117E-30  1.000000E-30  1.014261E-30
      8  1.231582592127E-13  1.000000E-30  1.050058E-30  1.000000E-30  1.056726E-30  1.000000E-30  1.028770E-30  1.000000E-30  1.037048E-30
      9  4.001734798240E-13  1.000000E-30  1.129952E-30  1.000000E-30  1.155914E-30  1.000000E-30  1.078961E-30  1.000000E-30  1.102895E-30
     10  1.150918682670E-12  1.000000E-30  1.231333E-30  1.000000E-30  1.316690E-30  1.000000E-30  1.156839E-30  1.000127E-30  1.211970E-30
     11  2.802808442389E-12  1.000003E-30  1.353783E-30  1.111801E-30  1.716877E-30  1.037570E-30  1.290515E-30  1.101242E-30  1.428835E-30
     12  6.912921996243E-12  1.437282E-30  2.579110E-30  2.215464E-30  3.092461E-30  1.388671E-30  1.852782E-30  1.652230E-30  2.128675E-30
