 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                bi203         bi204         bi205         bi206         bi207         bi208         bi209         bi210
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001067E-30  1.003680E-30  1.000000E-30  1.008536E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.007088E-30  1.022482E-30  1.000000E-30  1.052381E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.028625E-30  1.073570E-30  1.000000E-30  1.173635E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.101257E-30  1.177655E-30  1.000000E-30  1.432324E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.291519E-30  1.314963E-30  1.005647E-30  1.809395E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.131560E-30  1.613776E-30  1.546643E-30  1.159929E-30  2.062248E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.377642E-30  1.865321E-30  1.675955E-30  1.200890E-30  2.095712E-30  1.000007E-30  1.000000E-30  1.000000E-30
      9  4.001734798240E-13  1.380284E-30  1.869700E-30  1.680299E-30  1.194624E-30  2.094024E-30  1.000000E-30  1.000061E-30  1.000000E-30
     10  1.150918682670E-12  1.373306E-30  1.882616E-30  1.703337E-30  1.189465E-30  2.077753E-30  1.000000E-30  1.000000E-30  1.000745E-30
     11  2.802808442389E-12  1.436973E-30  1.897281E-30  1.738850E-30  1.273312E-30  2.214928E-30  1.037596E-30  1.005361E-30  1.002499E-30
     12  6.912921996243E-12  1.410563E-30  1.874869E-30  1.694739E-30  1.202980E-30  2.335751E-30  1.091753E-30  1.053078E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
