 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pm155         pm156         pm157         pm158         pm159         pm160         pm161         pm162
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001088E-30  1.000000E-30  1.000314E-30  1.000000E-30  1.000456E-30  1.000000E-30  1.000450E-30
      3  6.264265632874E-16  1.000000E-30  1.006759E-30  1.000000E-30  1.001950E-30  1.000000E-30  1.002842E-30  1.000000E-30  1.002806E-30
      4  2.206990590178E-15  1.000000E-30  1.023206E-30  1.000000E-30  1.006721E-30  1.000000E-30  1.009842E-30  1.000000E-30  1.009761E-30
      5  6.425069294186E-15  1.000000E-30  1.063141E-30  1.000000E-30  1.018454E-30  1.000000E-30  1.027383E-30  1.000000E-30  1.027483E-30
      6  1.724777641531E-14  1.000000E-30  1.143544E-30  1.000000E-30  1.042868E-30  1.000000E-30  1.065661E-30  1.000000E-30  1.067836E-30
      7  4.527785414179E-14  1.000000E-30  1.256971E-30  1.000000E-30  1.080175E-30  1.000000E-30  1.131429E-30  1.000000E-30  1.144944E-30
      8  1.231582592127E-13  1.000000E-30  1.326806E-30  1.000000E-30  1.107627E-30  1.000000E-30  1.195204E-30  1.000000E-30  1.241914E-30
      9  4.001734798240E-13  1.000000E-30  1.333096E-30  1.000000E-30  1.110969E-30  1.000000E-30  1.209412E-30  1.000000E-30  1.280517E-30
     10  1.150918682670E-12  1.000000E-30  1.331152E-30  1.000000E-30  1.109858E-30  1.000000E-30  1.209294E-30  1.000000E-30  1.280942E-30
     11  2.802808442389E-12  1.000000E-30  1.331143E-30  1.000000E-30  1.109805E-30  1.000048E-30  1.212235E-30  1.002884E-30  1.282129E-30
     12  6.912921996243E-12  1.034546E-30  1.357298E-30  1.022683E-30  1.117734E-30  1.000010E-30  1.190907E-30  1.000000E-30  1.268153E-30
     13  1.659368270033E-11  1.000000E-30  1.107898E-30  1.000000E-30  1.048481E-30  1.000000E-30  1.076394E-30  1.000000E-30  1.068922E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
