 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl37          cl38          cl39          cl40          cl41          cl42          cl43          cl44 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.056839E-30  1.000000E-30  1.004041E-30  1.000000E-30  1.002832E-30  1.000000E-30  1.002209E-30  1.000000E-30
      3  6.264265632874E-16  1.455362E-30  1.004295E-30  1.025464E-30  1.000000E-30  1.017530E-30  1.000000E-30  1.013650E-30  1.000000E-30
      4  2.206990590178E-15  3.760683E-30  1.112103E-30  1.096331E-30  1.000000E-30  1.059645E-30  1.000000E-30  1.046187E-30  1.000000E-30
      5  6.425069294186E-15  1.526134E-29  2.259658E-30  1.401094E-30  1.000000E-30  1.158873E-30  1.000000E-30  1.121063E-30  1.000000E-30
      6  1.724777641531E-14  5.163859E-29  8.516538E-30  3.149593E-30  1.080542E-30  1.353409E-30  1.012113E-30  1.253595E-30  1.000000E-30
      7  4.527785414179E-14  1.346605E-28  2.595163E-29  1.135003E-29  1.923447E-30  1.772421E-30  1.128410E-30  1.403040E-30  1.000000E-30
      8  1.231582592127E-13  2.987792E-28  6.416198E-29  3.861084E-29  5.543022E-30  2.985909E-30  1.303078E-30  1.515105E-30  1.029397E-30
      9  4.001734798240E-13  9.721061E-28  2.391285E-28  1.718769E-28  2.510119E-29  8.825129E-30  1.561969E-30  1.559734E-30  1.041626E-30
     10  1.150918682670E-12  3.914772E-27  9.821934E-28  7.606749E-28  1.091053E-28  3.265336E-29  2.472852E-30  1.599145E-30  1.033147E-30
     11  2.802808442389E-12  2.457505E-27  6.140871E-28  4.764222E-28  6.856306E-29  2.109797E-29  2.031885E-30  1.587629E-30  1.042017E-30
     12  6.912921996243E-12  1.766227E-27  4.403054E-28  3.446460E-28  4.989294E-29  1.583693E-29  1.853080E-30  1.694406E-30  1.102773E-30
     13  1.659368270033E-11  1.539694E-28  3.863248E-29  3.119648E-29  5.012494E-30  2.284427E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  2.138804E-29  5.394605E-30  4.371305E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
