 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sb123         sb124         sb125         sb126         sb127         sb128         sb129         sb130
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.005121E-30  1.000470E-30  1.000000E-30  1.001782E-30  1.000000E-30  1.002161E-30  1.000003E-30  1.001347E-30
      3  6.264265632874E-16  1.031639E-30  1.002883E-30  1.000000E-30  1.010868E-30  1.000000E-30  1.013206E-30  1.000274E-30  1.008916E-30
      4  2.206990590178E-15  1.107013E-30  1.009523E-30  1.000000E-30  1.035369E-30  1.000000E-30  1.043484E-30  1.003937E-30  1.036444E-30
      5  6.425069294186E-15  1.282137E-30  1.023532E-30  1.000000E-30  1.084238E-30  1.000000E-30  1.111740E-30  1.036821E-30  1.139855E-30
      6  1.724777641531E-14  1.688879E-30  1.046938E-30  1.002565E-30  1.145336E-30  1.005268E-30  1.302734E-30  1.249134E-30  1.460707E-30
      7  4.527785414179E-14  3.784073E-30  1.251889E-30  1.201191E-30  1.479650E-30  1.415507E-30  1.951722E-30  1.746655E-30  1.821229E-30
      8  1.231582592127E-13  1.277670E-29  2.438883E-30  1.952712E-30  2.142147E-30  1.819091E-30  2.278661E-30  1.864107E-30  1.862822E-30
      9  4.001734798240E-13  3.026907E-29  3.514284E-30  2.171308E-30  2.174001E-30  1.803479E-30  2.262449E-30  1.851865E-30  1.845469E-30
     10  1.150918682670E-12  2.636052E-29  3.413342E-30  2.237563E-30  2.281006E-30  1.907817E-30  2.402907E-30  1.967555E-30  1.938810E-30
     11  2.802808442389E-12  1.977798E-29  3.013036E-30  2.150696E-30  2.233601E-30  1.848584E-30  2.300351E-30  1.888371E-30  1.912992E-30
     12  6.912921996243E-12  1.268553E-29  2.575417E-30  2.090863E-30  2.263289E-30  1.888200E-30  2.420796E-30  1.935499E-30  1.944174E-30
     13  1.659368270033E-11  2.222882E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
