 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sm150         sm151         sm152         sm153         sm154         sm155         sm156         sm157
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  1.047600E-30  1.092964E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  1.147417E-30  1.223487E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  1.342429E-30  1.458618E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  1.410779E-30  1.567108E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  1.721246E-30  1.951673E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    101  4.430336182063E-02  1.623842E-30  1.885528E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  2.001909E-30  2.418696E-30  1.009384E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  2.262389E-30  2.795424E-30  1.193496E-30  1.044370E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  2.676225E-30  3.287303E-30  1.423402E-30  1.269827E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  2.282833E-30  2.937601E-30  1.315095E-30  1.199103E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  2.363932E-30  3.181784E-30  1.466301E-30  1.360101E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  2.200472E-30  2.912462E-30  1.360452E-30  1.285172E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  4.326897E-30  5.808134E-30  2.689381E-30  2.576013E-30  1.117327E-30  1.000000E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  3.793710E-30  5.346793E-30  2.769466E-30  2.828703E-30  1.266490E-30  1.000000E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  3.909484E-30  5.675415E-30  2.963454E-30  3.057198E-30  1.399365E-30  1.000000E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  3.514068E-30  5.100144E-30  2.733087E-30  2.905006E-30  1.363565E-30  1.000000E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  3.374050E-30  4.990233E-30  2.749475E-30  2.937446E-30  1.401377E-30  1.000000E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  3.246487E-30  4.863316E-30  2.720423E-30  2.922459E-30  1.416343E-30  1.000000E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  3.213629E-30  4.882885E-30  2.764889E-30  2.979041E-30  1.464095E-30  1.000000E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  3.257571E-30  5.030282E-30  2.814660E-30  3.088116E-30  1.545899E-30  1.000000E-30  1.000000E-30  1.000000E-30
