 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pt199         pt200         pt201         pt202         pt203         pt204         pt205         pt206
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.004348E-30  1.000000E-30  1.000147E-30  1.000000E-30  1.000221E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.027101E-30  1.000000E-30  1.000912E-30  1.000000E-30  1.001382E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.094041E-30  1.000000E-30  1.003127E-30  1.000000E-30  1.004836E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.262979E-30  1.000000E-30  1.008474E-30  1.000000E-30  1.013828E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.638183E-30  1.000000E-30  1.019143E-30  1.000000E-30  1.035462E-30  1.000000E-30
      7  4.527785414179E-14  1.000002E-30  1.097109E-30  2.310935E-30  1.000001E-30  1.034423E-30  1.000000E-30  1.082968E-30  1.000000E-30
      8  1.231582592127E-13  1.250744E-30  1.576774E-30  3.036585E-30  1.000000E-30  1.045036E-30  1.000000E-30  1.168045E-30  1.000000E-30
      9  4.001734798240E-13  1.552520E-30  1.806760E-30  3.245174E-30  1.000012E-30  1.046234E-30  1.000001E-30  1.248998E-30  1.000000E-30
     10  1.150918682670E-12  1.550364E-30  1.805194E-30  3.241478E-30  1.000000E-30  1.044810E-30  1.000538E-30  1.257015E-30  1.000000E-30
     11  2.802808442389E-12  1.549495E-30  1.796440E-30  3.222629E-30  1.000000E-30  1.057246E-30  1.000000E-30  1.257997E-30  1.000092E-30
     12  6.912921996243E-12  1.634982E-30  1.902198E-30  3.352020E-30  1.035039E-30  1.000000E-30  1.005486E-30  1.252364E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.575254E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.153203E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
