 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                bi243         bi244         bi245         bi246         bi247         bi248         bi249         bi250
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000080E-30  1.000121E-30  1.000072E-30  1.000097E-30  1.000010E-30  1.000000E-30  1.000000E-30  1.000004E-30
      3  6.264265632874E-16  1.000500E-30  1.000759E-30  1.000451E-30  1.000610E-30  1.000066E-30  1.000000E-30  1.000000E-30  1.000025E-30
      4  2.206990590178E-15  1.001762E-30  1.002675E-30  1.001589E-30  1.002150E-30  1.000231E-30  1.000000E-30  1.000000E-30  1.000086E-30
      5  6.425069294186E-15  1.005132E-30  1.007790E-30  1.004624E-30  1.006259E-30  1.000673E-30  1.000000E-30  1.000000E-30  1.000251E-30
      6  1.724777641531E-14  1.013776E-30  1.020931E-30  1.012402E-30  1.016803E-30  1.001806E-30  1.000000E-30  1.000000E-30  1.000675E-30
      7  4.527785414179E-14  1.036154E-30  1.055062E-30  1.032467E-30  1.044100E-30  1.004740E-30  1.000000E-30  1.000000E-30  1.001772E-30
      8  1.231582592127E-13  1.098248E-30  1.150624E-30  1.087614E-30  1.119862E-30  1.012891E-30  1.000000E-30  1.000000E-30  1.004818E-30
      9  4.001734798240E-13  1.317891E-30  1.498998E-30  1.276729E-30  1.388374E-30  1.041873E-30  1.000000E-30  1.000000E-30  1.015646E-30
     10  1.150918682670E-12  1.899455E-30  2.504488E-30  1.737365E-30  2.108537E-30  1.120316E-30  1.000000E-30  1.000000E-30  1.044919E-30
     11  2.802808442389E-12  3.083711E-30  4.977152E-30  2.528722E-30  3.655043E-30  1.292396E-30  1.000000E-30  1.000000E-30  1.108967E-30
     12  6.912921996243E-12  5.450329E-30  1.211031E-29  3.652655E-30  7.285509E-30  1.717466E-30  1.000000E-30  1.000000E-30  1.266182E-30
