 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p40           p41           p42           p43           p44           p45           p46           s26  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001641E-30  1.000000E-30  1.000000E-30  1.001309E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.010098E-30  1.000000E-30  1.000000E-30  1.008140E-30  1.000000E-30  1.000000E-30  1.000001E-30
      4  2.206990590178E-15  1.000000E-30  1.033737E-30  1.000000E-30  1.000000E-30  1.028036E-30  1.000000E-30  1.000000E-30  1.000029E-30
      5  6.425069294186E-15  1.000186E-30  1.085644E-30  1.000000E-30  1.000000E-30  1.076945E-30  1.000000E-30  1.000000E-30  1.000086E-30
      6  1.724777641531E-14  1.019528E-30  1.166846E-30  1.000000E-30  1.000000E-30  1.178675E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.070323E-30  1.230070E-30  1.000000E-30  1.000000E-30  1.334069E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.087944E-30  1.240959E-30  1.000000E-30  1.000000E-30  1.448162E-30  1.000000E-30  1.000000E-30  1.147745E-30
      9  4.001734798240E-13  1.088497E-30  1.239253E-30  1.000000E-30  1.000000E-30  1.462562E-30  1.000174E-30  1.000012E-30  1.000000E-30
     10  1.150918682670E-12  1.097899E-30  1.249352E-30  1.012317E-30  1.011274E-30  1.454854E-30  1.000000E-30  1.000550E-30  1.000000E-30
     11  2.802808442389E-12  1.058716E-30  1.271801E-30  1.009933E-30  1.000000E-30  1.432776E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.048183E-30  1.188785E-30  1.000000E-30  1.043611E-30  1.743256E-30  1.111007E-30  1.032360E-30  1.000000E-30
