 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sm174         sm175         sm176         sm177         sm178         sm179         sm180         sm181
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000064E-30  1.000000E-30  1.000040E-30  1.000000E-30  1.000039E-30  1.000000E-30  1.000030E-30
      3  6.264265632874E-16  1.000000E-30  1.000404E-30  1.000000E-30  1.000253E-30  1.000000E-30  1.000245E-30  1.000000E-30  1.000186E-30
      4  2.206990590178E-15  1.000000E-30  1.001421E-30  1.000000E-30  1.000891E-30  1.000000E-30  1.000864E-30  1.000000E-30  1.000655E-30
      5  6.425069294186E-15  1.000000E-30  1.004128E-30  1.000000E-30  1.002589E-30  1.000000E-30  1.002509E-30  1.000000E-30  1.001902E-30
      6  1.724777641531E-14  1.000000E-30  1.011009E-30  1.000000E-30  1.006910E-30  1.000000E-30  1.006698E-30  1.000000E-30  1.005078E-30
      7  4.527785414179E-14  1.000000E-30  1.028421E-30  1.000000E-30  1.017864E-30  1.000000E-30  1.017335E-30  1.000000E-30  1.013145E-30
      8  1.231582592127E-13  1.000000E-30  1.073830E-30  1.000000E-30  1.046584E-30  1.000000E-30  1.045345E-30  1.000000E-30  1.034399E-30
      9  4.001734798240E-13  1.000000E-30  1.204864E-30  1.000000E-30  1.130921E-30  1.000000E-30  1.128759E-30  1.000000E-30  1.097816E-30
     10  1.150918682670E-12  1.000000E-30  1.401941E-30  1.000000E-30  1.263976E-30  1.000000E-30  1.265553E-30  1.000000E-30  1.202360E-30
     11  2.802808442389E-12  1.001178E-30  1.517888E-30  1.000000E-30  1.352077E-30  1.007787E-30  1.362568E-30  1.000000E-30  1.277344E-30
     12  6.912921996243E-12  1.011582E-30  1.536100E-30  1.000000E-30  1.376458E-30  1.019246E-30  1.384425E-30  1.000001E-30  1.294614E-30
     13  1.659368270033E-11  1.000000E-30  1.545667E-30  1.000000E-30  1.387763E-30  1.027770E-30  1.396541E-30  1.006095E-30  1.295206E-30
     14  1.134012897413E-10  1.115476E-30  1.526115E-30  1.031442E-30  1.409296E-30  1.041069E-30  1.130346E-30  1.000000E-30  1.145219E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
