 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                bi235         bi236         bi237         bi238         bi239         bi240         bi241         bi242
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000048E-30  1.000000E-30  1.000099E-30  1.000101E-30  1.000103E-30  1.000102E-30  1.000102E-30
      3  6.264265632874E-16  1.000000E-30  1.000300E-30  1.000000E-30  1.000621E-30  1.000631E-30  1.000645E-30  1.000638E-30  1.000636E-30
      4  2.206990590178E-15  1.000000E-30  1.001055E-30  1.000000E-30  1.002187E-30  1.002224E-30  1.002275E-30  1.002249E-30  1.002242E-30
      5  6.425069294186E-15  1.000000E-30  1.003066E-30  1.000000E-30  1.006367E-30  1.006476E-30  1.006623E-30  1.006548E-30  1.006528E-30
      6  1.724777641531E-14  1.000000E-30  1.008191E-30  1.000000E-30  1.017090E-30  1.017391E-30  1.017781E-30  1.017578E-30  1.017531E-30
      7  4.527785414179E-14  1.000000E-30  1.021233E-30  1.000000E-30  1.044848E-30  1.045690E-30  1.046675E-30  1.046129E-30  1.046063E-30
      8  1.231582592127E-13  1.000000E-30  1.055771E-30  1.000000E-30  1.121893E-30  1.124550E-30  1.126918E-30  1.125336E-30  1.125587E-30
      9  4.001734798240E-13  1.001547E-30  1.160662E-30  1.000000E-30  1.396053E-30  1.407963E-30  1.411833E-30  1.405655E-30  1.411412E-30
     10  1.150918682670E-12  1.036631E-30  1.350991E-30  1.000000E-30  2.152780E-30  2.199309E-30  2.179161E-30  2.154518E-30  2.208738E-30
     11  2.802808442389E-12  1.137739E-30  1.566872E-30  1.076369E-30  3.894573E-30  4.026167E-30  3.832943E-30  3.749879E-30  4.071189E-30
     12  6.912921996243E-12  1.231718E-30  1.807610E-30  1.394097E-30  8.179733E-30  8.696419E-30  7.727618E-30  7.449193E-30  9.214523E-30
     13  1.659368270033E-11  1.257782E-30  2.064292E-30  1.969511E-30  1.666035E-29  1.940372E-29  1.609809E-29  1.539035E-29  2.309390E-29
