 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po216         po217         po218         po219         po220         po221         po222         po223
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.082655E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010474E-30  1.248153E-30  1.236179E-30
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.053410E-30  1.160450E-30  1.101222E-30
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.171609E-30  1.147403E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.094259E-30  1.159595E-30  1.006724E-30  1.000000E-30  1.000843E-30
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027430E-30  1.119118E-30  1.038627E-30
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028282E-30  1.112981E-30  1.033415E-30
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010243E-30  1.084912E-30  1.034234E-30
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.116722E-30  1.151866E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.143569E-30  1.152214E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.103186E-30  1.174936E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.130944E-30  1.161276E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.114798E-30  1.170416E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.078514E-30  1.056384E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056231E-30  1.047380E-30  1.010151E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.106266E-30  1.022588E-30  1.001297E-30
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.148870E-30  1.150216E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.196581E-30  1.056311E-30  1.000000E-30  1.000831E-30  1.000098E-30
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.193472E-30  1.071953E-30  1.000000E-30  1.000958E-30
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.105251E-30  1.016020E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.172161E-30  1.094090E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.122484E-30  1.005800E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.148560E-30  1.154137E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.194987E-30  1.063456E-30  1.000000E-30  1.000617E-30  1.000026E-30
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.193216E-30  1.074962E-30  1.000000E-30  1.000971E-30
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.176409E-30  1.000000E-30  1.000000E-30  1.000018E-30  1.000000E-30
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.177067E-30  1.000000E-30  1.000000E-30  1.000013E-30  1.000000E-30
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.189769E-30  1.060401E-30  1.000000E-30  1.000320E-30  1.000000E-30
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.143762E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.107215E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.094367E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.067074E-30  1.174500E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013535E-30  1.171540E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.152445E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.160500E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.133574E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.137857E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.104704E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.130574E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.193672E-30  1.052409E-30  1.000000E-30  1.000100E-30  1.000000E-30
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.186300E-30  1.122844E-30  1.000000E-30  1.000403E-30
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.054969E-30  1.009078E-30
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028632E-30  1.001088E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024684E-30  1.000192E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010297E-30  1.000000E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039598E-30  1.003498E-30  1.000000E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.048918E-30  1.183448E-30  1.073603E-30  1.000592E-30  1.000131E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.103264E-30  1.163320E-30  1.041577E-30  1.000465E-30  1.000056E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.052107E-30  1.182443E-30  1.075695E-30  1.000586E-30  1.000118E-30
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.089909E-30  1.170688E-30  1.053608E-30  1.000497E-30  1.000065E-30
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.057775E-30  1.181768E-30  1.076012E-30  1.000572E-30  1.000103E-30
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.150530E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.170889E-30  1.006076E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.066290E-30  1.181952E-30  1.077220E-30  1.000544E-30  1.000083E-30
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.065401E-30  1.181332E-30  1.079056E-30  1.000541E-30  1.000080E-30
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.079571E-30  1.177708E-30  1.071995E-30  1.000498E-30  1.000062E-30
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.054603E-30  1.184535E-30  1.090202E-30  1.000558E-30  1.000087E-30
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.097721E-30  1.172113E-30  1.063877E-30  1.000430E-30  1.000041E-30
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.080204E-30  1.179087E-30  1.078077E-30  1.000483E-30  1.000055E-30
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.043692E-30  1.168269E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022422E-30  1.161441E-30  1.000000E-30  1.000000E-30
