 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cd108         cd109         cd110         cd111         cd112         cd113         cd114         cd115
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.029766E-30  1.011652E-30  1.002406E-30  1.016607E-30  1.000000E-30  1.013088E-30  1.000000E-30  1.001549E-30
      3  6.264265632874E-16  1.249144E-30  1.088283E-30  1.023107E-30  1.102872E-30  1.000000E-30  1.079582E-30  1.000000E-30  1.009457E-30
      4  2.206990590178E-15  2.713368E-30  1.610033E-30  1.218277E-30  1.374487E-30  1.000000E-30  1.257918E-30  1.000000E-30  1.030876E-30
      5  6.425069294186E-15  1.009227E-29  5.634903E-30  3.198010E-30  2.593346E-30  1.041856E-30  1.645530E-30  1.000000E-30  1.074387E-30
      6  1.724777641531E-14  2.917274E-29  2.595951E-29  1.632636E-29  1.051645E-29  2.564768E-30  2.833121E-30  1.000000E-30  1.148782E-30
      7  4.527785414179E-14  6.803185E-29  9.920398E-29  6.721069E-29  4.645673E-29  1.080232E-29  8.621488E-30  1.125130E-30  1.472971E-30
      8  1.231582592127E-13  1.794800E-28  3.379136E-28  2.397706E-28  1.832459E-28  4.509754E-29  3.669633E-29  4.281567E-30  3.803858E-30
      9  4.001734798240E-13  4.717770E-28  9.822587E-28  6.986642E-28  5.490217E-28  1.352026E-28  1.112659E-28  1.311924E-29  1.075356E-29
     10  1.150918682670E-12  4.143369E-28  8.702868E-28  6.155468E-28  4.831026E-28  1.185794E-28  9.767404E-29  1.158322E-29  9.577442E-30
     11  2.802808442389E-12  3.034226E-28  6.398908E-28  4.520048E-28  3.552295E-28  8.716797E-29  7.204335E-29  8.669884E-30  7.376533E-30
     12  6.912921996243E-12  1.696959E-28  3.597984E-28  2.546097E-28  2.009288E-28  4.953640E-29  4.142492E-29  5.261373E-30  4.952252E-30
     13  1.659368270033E-11  1.133171E-29  2.472586E-29  1.788241E-29  1.469210E-29  3.876266E-30  3.746277E-30  1.000000E-30  1.207916E-30
     14  1.134012897413E-10  2.411606E-30  5.291828E-30  3.812200E-30  3.123958E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
