 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  2.238204E-30  2.576330E-30  4.115643E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  2.851931E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.146704E-30  9.067239E-29  2.414566E-29  1.000000E-30
     43  2.288535686070E-02  7.036866E-29  8.094585E-28  1.165439E-26  2.402530E-26  6.471829E-26  7.020176E-27  5.067591E-28  8.463666E-30
     44  2.437102778700E-02  6.125431E-28  6.152582E-27  7.244407E-26  1.498505E-25  5.788533E-25  8.869095E-26  1.135567E-26  3.239640E-28
     45  2.666254430666E-02  2.250030E-26  3.443930E-25  6.412655E-24  1.753501E-23  7.916313E-23  1.197944E-23  1.300833E-24  3.003886E-26
     46  2.807329513827E-02  1.643866E-25  3.655747E-24  9.000839E-23  3.107233E-22  2.050344E-21  3.808967E-22  5.698150E-23  1.702715E-24
     47  2.946719119355E-02  1.292392E-24  3.826108E-23  1.249021E-21  5.094659E-21  4.038536E-20  8.017521E-21  1.240671E-21  3.622795E-23
     48  2.982466835475E-02  2.512764E-24  7.429240E-23  2.634104E-21  1.147404E-20  1.170427E-19  2.726433E-20  5.488248E-21  2.080639E-22
     49  3.017238950627E-02  4.341984E-24  1.363166E-22  5.225447E-21  2.374026E-20  2.575430E-19  6.186555E-20  1.297309E-20  5.078279E-22
     50  3.052509122072E-02  7.527756E-24  2.507591E-22  1.042341E-20  4.935850E-20  5.680817E-19  1.403523E-19  3.047367E-20  1.223661E-21
     51  3.066477686677E-02  9.343840E-24  3.183964E-22  1.366771E-20  6.578124E-20  7.747772E-19  1.935514E-19  4.260914E-20  1.728397E-21
     52  3.080037159611E-02  1.153393E-23  4.017102E-22  1.779623E-20  8.701707E-20  1.048200E-18  2.647007E-19  5.906476E-20  2.419766E-21
     53  3.111325257314E-02  1.869731E-23  6.841376E-22  3.261162E-20  1.653773E-19  2.097637E-18  5.430915E-19  1.250385E-19  5.241577E-21
     54  3.147800645819E-02  3.249815E-23  1.257009E-21  6.529739E-20  3.454422E-19  4.650232E-18  1.239483E-18  2.960315E-19  1.274782E-20
     55  3.181357346897E-02  5.341011E-23  2.170659E-21  1.220698E-19  6.713373E-19  9.540684E-18  2.612010E-18  6.453633E-19  2.849092E-20
     56  3.217197145871E-02  8.960756E-23  3.834393E-21  2.347255E-19  1.345446E-18  2.025049E-17  5.705339E-18  1.461919E-18  6.628537E-20
     57  3.249951277145E-02  1.420931E-22  6.367835E-21  4.212016E-19  2.507360E-18  3.975773E-17  1.149985E-17  3.046979E-18  1.415857E-19
     58  3.262595809504E-02  1.692986E-22  7.722098E-21  5.262252E-19  3.178495E-18  5.141631E-17  1.502365E-17  4.032339E-18  1.891527E-19
     59  3.272641576722E-02  1.946779E-22  9.005391E-21  6.284348E-19  3.840255E-18  6.312125E-17  1.859392E-17  5.042374E-18  2.383272E-19
     60  3.304841700500E-02  3.028677E-22  1.465179E-20  1.103234E-18  6.998090E-18  1.210571E-16  3.660278E-17  1.026131E-17  4.969376E-19
     61  3.362823507679E-02  6.571267E-22  3.442689E-20  2.968702E-18  2.014326E-17  3.819565E-16  1.211054E-16  3.607233E-17  1.826334E-18
     62  3.417743618412E-02  1.341906E-21  7.578844E-20  7.418771E-18  5.365477E-17  1.108568E-15  3.676073E-16  1.158986E-16  6.116513E-18
     63  3.448472684867E-02  1.987275E-21  1.170567E-19  1.229455E-17  9.218884E-17  1.999359E-15  6.802045E-16  2.215362E-16  1.197244E-17
     64  3.459225947862E-02  2.279230E-21  1.362375E-19  1.466231E-17  1.113348E-16  2.455612E-15  8.429147E-16  2.776520E-16  1.512964E-17
     65  3.468161085917E-02  2.554958E-21  1.545973E-19  1.697901E-17  1.302871E-16  2.914353E-15  1.007867E-15  3.351379E-16  1.838862E-17
     66  3.501586344154E-02  3.908699E-21  2.475841E-19  2.932061E-17  2.340320E-16  5.518266E-15  1.962610E-15  6.761783E-16  3.807495E-17
     67  3.563385967804E-02  8.503550E-21  5.860114E-19  7.957692E-17  6.834594E-16  1.777336E-14  6.663094E-15  2.454140E-15  1.451141E-16
     68  3.619390900501E-02  1.707668E-20  1.270382E-18  1.947401E-16  1.787465E-15  5.073791E-14  1.994390E-14  7.795623E-15  4.813451E-16
     69  3.661379630041E-02  2.870142E-20  2.261196E-18  3.790533E-16  3.659024E-15  1.109999E-13  4.524130E-14  1.850664E-14  1.181225E-15
     70  3.704099468238E-02  4.859392E-20  4.058363E-18  7.441182E-16  7.563084E-15  2.455609E-13  1.038745E-13  4.451622E-14  2.939338E-15
     71  3.731378163516E-02  6.777778E-20  5.875097E-18  1.139845E-15  1.197525E-14  4.061098E-13  1.759436E-13  7.768809E-14  5.242327E-15
     72  3.757630769329E-02  9.303683E-20  8.357637E-18  1.710957E-15  1.855870E-14  6.563212E-13  2.909991E-13  1.322595E-13  9.114698E-15
     73  3.788075418501E-02  1.336602E-19  1.251289E-17  2.724178E-15  3.066719E-14  1.138599E-12  5.186086E-13  2.437600E-13  1.721468E-14
     74  3.819794660071E-02  1.936341E-19  1.892138E-17  4.388440E-15  5.135879E-14  2.006131E-12  9.398885E-13  4.575676E-13  3.315105E-14
     75  3.838080203158E-02  2.389147E-19  2.392807E-17  5.753482E-15  6.886144E-14  2.769696E-12  1.318953E-12  6.552630E-13  4.818005E-14
