 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ag124         ag125         ag126         ag127         ag128         ag129         ag130         ag131
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000174E-30  1.002578E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000343E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.001428E-30  1.015784E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002124E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.008184E-30  1.051950E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007236E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.040865E-30  1.127107E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019297E-30  1.000000E-30
      6  1.724777641531E-14  1.008623E-30  1.148569E-30  1.229862E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041882E-30  1.000000E-30
      7  4.527785414179E-14  1.137998E-30  1.294020E-30  1.289091E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.068623E-30  1.000000E-30
      8  1.231582592127E-13  1.204129E-30  1.326161E-30  1.294759E-30  1.000011E-30  1.000000E-30  1.000000E-30  1.079690E-30  1.000000E-30
      9  4.001734798240E-13  1.204742E-30  1.325689E-30  1.289571E-30  1.000000E-30  1.000000E-30  1.000195E-30  1.080097E-30  1.000028E-30
     10  1.150918682670E-12  1.236973E-30  1.379150E-30  1.339242E-30  1.027391E-30  1.006849E-30  1.000000E-30  1.078131E-30  1.000173E-30
     11  2.802808442389E-12  1.113144E-30  1.222461E-30  1.237012E-30  1.000000E-30  1.000000E-30  1.014855E-30  1.094338E-30  1.000000E-30
     12  6.912921996243E-12  1.196762E-30  1.290399E-30  1.292405E-30  1.000000E-30  1.077152E-30  1.076503E-30  1.031698E-30  1.036938E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
