 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge72          ge73          ge74          ge75          ge76          ge77          ge78          ge79 
     41  1.871872199221E-02  1.597182E-30  1.626219E-30  1.412903E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  5.193156E-30  5.503502E-30  5.182075E-30  1.785869E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  3.450034E-30  4.005070E-30  4.091353E-30  1.584852E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  4.128258E-30  4.791124E-30  5.535566E-30  2.229870E-30  1.168655E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  7.789483E-30  4.206041E-30  5.506191E-30  8.657380E-30  5.782572E-30  1.031722E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  5.113500E-30  8.419712E-30  1.332249E-29  8.467117E-30  4.960027E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  5.692874E-30  8.664092E-30  1.573689E-29  1.065316E-29  4.796039E-30  1.121397E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.329961E-30  2.367599E-30  4.098410E-30  2.809181E-30  2.061158E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.302759E-30  2.446561E-30  4.784817E-30  3.055234E-30  2.317529E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.339314E-30  2.566671E-30  5.324975E-30  3.347815E-30  2.807827E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.026358E-30  1.980284E-30  1.342217E-30  1.104901E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.017954E-30  1.994803E-30  1.366854E-30  1.138429E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.234484E-30  2.296446E-30  4.724193E-30  3.203802E-30  2.996778E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.430359E-30  3.095468E-30  6.618960E-30  4.699897E-30  3.991579E-30  1.035819E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.350643E-30  2.843790E-30  6.112921E-30  4.540834E-30  4.103179E-30  1.090426E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.461725E-30  3.237180E-30  7.945480E-30  5.975511E-30  5.448609E-30  1.477240E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.421090E-30  2.964819E-30  6.845203E-30  5.460611E-30  5.518183E-30  1.528469E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.409721E-30  3.406942E-30  2.759558E-30  2.744468E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.270867E-30  3.058553E-30  2.449507E-30  2.422290E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.692450E-30  3.947935E-30  1.007208E-29  8.352588E-30  8.494276E-30  2.376343E-30  1.039387E-30  1.000000E-30
     61  3.362823507679E-02  4.521484E-30  1.053658E-29  2.789615E-29  2.313723E-29  2.287517E-29  6.681788E-30  2.863033E-30  1.000000E-30
     62  3.417743618412E-02  1.078930E-29  2.684236E-29  7.795299E-29  7.233097E-29  8.362581E-29  2.734337E-29  1.336173E-29  1.617147E-30
     63  3.448472684867E-02  2.101264E-29  5.275507E-29  1.526595E-28  1.412062E-28  1.619318E-28  5.312505E-29  2.640337E-29  3.362522E-30
     64  3.459225947862E-02  2.692237E-29  6.834458E-29  2.008265E-28  1.879364E-28  2.184102E-28  7.237393E-29  3.637619E-29  4.644500E-30
     65  3.468161085917E-02  3.409725E-29  8.737802E-29  2.600571E-28  2.455625E-28  2.887787E-28  9.646316E-29  4.902549E-29  6.306948E-30
     66  3.501586344154E-02  8.450843E-29  2.244531E-28  7.011622E-28  6.845583E-28  8.422203E-28  2.898076E-28  1.536049E-28  2.032515E-29
     67  3.563385967804E-02  4.460484E-28  1.269095E-27  4.357762E-27  4.543278E-27  6.098794E-27  2.221486E-27  1.272054E-27  1.770071E-28
     68  3.619390900501E-02  1.967935E-27  5.926849E-27  2.197119E-26  2.414952E-26  3.484647E-26  1.332328E-26  8.184353E-27  1.195193E-27
     69  3.661379630041E-02  6.039628E-27  1.903326E-26  7.506996E-26  8.611489E-26  1.317052E-25  5.233240E-26  3.395733E-26  5.145927E-27
     70  3.704099468238E-02  1.889081E-26  6.232530E-26  2.616888E-25  3.133343E-25  5.078928E-25  2.096620E-25  1.435727E-25  2.255630E-26
     71  3.731378163516E-02  3.897350E-26  1.323420E-25  5.778137E-25  7.104938E-25  1.193733E-24  5.044959E-25  3.570954E-25  5.736171E-26
     72  3.757630769329E-02  7.815457E-26  2.731092E-25  1.240202E-24  1.566528E-24  2.729922E-24  1.181695E-24  8.651235E-25  1.421338E-25
     73  3.788075418501E-02  1.741577E-25  6.291114E-25  2.989759E-24  3.895645E-24  7.082146E-24  3.151914E-24  2.399614E-24  4.046921E-25
     74  3.819794660071E-02  3.986946E-25  1.490977E-24  7.430818E-24  1.000186E-23  1.900548E-23  8.707405E-24  6.905855E-24  1.196948E-24
     75  3.838080203158E-02  6.402139E-25  2.442459E-24  1.251157E-23  1.715876E-23  3.344835E-23  1.558324E-23  1.265445E-23  2.228226E-24
     76  3.859219912978E-02  1.106838E-24  4.321809E-24  2.285723E-23  3.203624E-23  6.433173E-23  3.055992E-23  2.550631E-23  4.574225E-24
     77  3.884096228080E-02  2.097616E-24  8.417712E-24  4.623032E-23  6.647858E-23  1.382560E-22  6.720061E-23  5.793227E-23  1.061629E-23
     78  3.907668434759E-02  3.823200E-24  1.574621E-23  8.963197E-23  1.320649E-22  2.839521E-22  1.410571E-22  1.253969E-22  2.345571E-23
     79  3.934936577490E-02  7.604882E-24  3.227982E-23  1.915488E-22  2.903130E-22  6.487917E-22  3.305475E-22  3.045152E-22  5.833175E-23
     80  3.961640452516E-02  1.479927E-23  6.470286E-23  3.999556E-22  6.232076E-22  1.446620E-21  7.555530E-22  7.208521E-22  1.413484E-22
     81  3.991996766101E-02  3.125485E-23  1.413343E-22  9.153340E-22  1.472039E-21  3.568160E-21  1.917123E-21  1.903563E-21  3.833355E-22
     82  4.019473378510E-02  6.092340E-23  2.840538E-22  1.919176E-21  3.176155E-21  8.007636E-21  4.414443E-21  4.545059E-21  9.376865E-22
     83  4.046928694587E-02  1.177819E-22  5.662044E-22  3.990900E-21  6.796360E-21  1.782073E-20  1.007918E-20  1.075909E-20  2.273776E-21
     84  4.074955599116E-02  2.289467E-22  1.135769E-21  8.362665E-21  1.466716E-20  4.004950E-20  2.325874E-20  2.577220E-20  5.583800E-21
     85  4.099011663524E-02  4.015369E-22  2.046617E-21  1.564661E-20  2.814729E-20  7.959002E-20  4.728806E-20  5.411302E-20  1.197854E-20
     86  4.118445936105E-02  6.281494E-22  3.272392E-21  2.578883E-20  4.735104E-20  1.377148E-19  8.333957E-20  9.787142E-20  2.204222E-20
