 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                gd149         gd150         gd151         gd152         gd153         gd154         gd155         gd156
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.207001E-30  1.064535E-30  1.823790E-30  1.367874E-30  1.683561E-30  1.000000E-30
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.441334E-30  1.299924E-30  2.350958E-30  1.827940E-30  2.343698E-30  1.400730E-30
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.463645E-30  1.354948E-30  2.507975E-30  2.007501E-30  2.648430E-30  1.629843E-30
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.730951E-30  1.645914E-30  2.988822E-30  2.509677E-30  3.384355E-30  2.132191E-30
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.622090E-30  1.587270E-30  2.954698E-30  2.559816E-30  3.591029E-30  2.443846E-30
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.682866E-30  1.692578E-30  3.321541E-30  2.938087E-30  4.089589E-30  2.679055E-30
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.769216E-30  1.829179E-30  3.677781E-30  3.360999E-30  4.885663E-30  3.437135E-30
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.556818E-30  1.655424E-30  3.452592E-30  3.304730E-30  4.927624E-30  3.560729E-30
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.286056E-30  1.401444E-30  3.034708E-30  3.013034E-30  4.605030E-30  3.445795E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.267422E-30  1.409237E-30  3.098424E-30  3.135675E-30  4.884296E-30  3.681968E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.062257E-30  1.204420E-30  2.703264E-30  2.792588E-30  4.429162E-30  3.445128E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.065682E-30  2.398743E-30  2.483502E-30  3.990384E-30  3.170502E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.591830E-30  1.860684E-30  4.258240E-30  4.476510E-30  7.514737E-30  6.235923E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.398182E-30  1.674182E-30  3.910453E-30  4.239697E-30  7.242993E-30  5.934732E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.649405E-30  2.017168E-30  4.782020E-30  5.283341E-30  9.217848E-30  8.111594E-30
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.514359E-30  1.898571E-30  4.626380E-30  5.216956E-30  9.408606E-30  8.515204E-30
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.665213E-30  2.205500E-30  5.553581E-30  6.609078E-30  1.190566E-29  1.076213E-29
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.480569E-30  1.947936E-30  5.092433E-30  6.185205E-30  1.132789E-29  1.024270E-29
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.694997E-30  2.222817E-30  5.790248E-30  7.252340E-30  1.401656E-29  1.353508E-29
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.699613E-30  2.356339E-30  6.444555E-30  8.525269E-30  1.652263E-29  1.595306E-29
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.732958E-30  2.399103E-30  6.724770E-30  9.197162E-30  1.828246E-29  1.813882E-29
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.675352E-30  2.393729E-30  6.892857E-30  9.681740E-30  1.971139E-29  2.011425E-29
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.774942E-30  2.705634E-30  8.086449E-30  1.144110E-29  2.374918E-29  2.492005E-29
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.601938E-30  2.415551E-30  7.312530E-30  1.086137E-29  2.321879E-29  2.510783E-29
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.669336E-30  2.645437E-30  8.272291E-30  1.232987E-29  2.691538E-29  3.005677E-29
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.568050E-30  2.607582E-30  8.048732E-30  1.210087E-29  2.721444E-29  3.153008E-29
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.653492E-30  2.746376E-30  8.657870E-30  1.356450E-29  3.141238E-29  3.764759E-29
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.342749E-30  2.352671E-30  7.916584E-30  1.298430E-29  3.044758E-29  3.681132E-29
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.273403E-30  2.297678E-30  7.906793E-30  1.320766E-29  3.160441E-29  3.931275E-29
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.121309E-30  2.017359E-30  6.930119E-30  1.161258E-29  2.880372E-29  3.761558E-29
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.817598E-30  3.515614E-30  1.280833E-29  2.262711E-29  5.731000E-29  7.607165E-29
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.414837E-30  2.715316E-30  9.735599E-30  1.788702E-29  4.746155E-29  6.681484E-29
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.221507E-30  2.536489E-30  9.356039E-30  1.776388E-29  4.776591E-29  6.818889E-29
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.019011E-30  2.056574E-30  7.802847E-30  1.499613E-29  4.120297E-29  6.048138E-29
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.874544E-30  7.238202E-30  1.429440E-29  3.978942E-29  5.909942E-29
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.695226E-30  6.661160E-30  1.331388E-29  3.762094E-29  5.692625E-29
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.575265E-30  6.265574E-30  1.273921E-29  3.649786E-29  5.611621E-29
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.514753E-30  6.109736E-30  1.267305E-29  3.678552E-29  5.739621E-29
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.408771E-30  5.768213E-30  1.211106E-29  3.569469E-29  5.675674E-29
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.375268E-30  5.709254E-30  1.223602E-29  3.648681E-29  5.880190E-29
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.274539E-30  5.378356E-30  1.164313E-29  3.522704E-29  5.779890E-29
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.957275E-30  8.396686E-30  1.876462E-29  5.758844E-29  9.634719E-29
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.808986E-30  7.950341E-30  1.794082E-29  5.668839E-29  9.848843E-29
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.724200E-30  7.702456E-30  1.774020E-29  5.705153E-29  1.012675E-28
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.649810E-30  7.504912E-30  1.766074E-29  5.780282E-29  1.048458E-28
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.628647E-30  7.554197E-30  1.815468E-29  6.051474E-29  1.122912E-28
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.658629E-30  7.876051E-30  1.935119E-29  6.578798E-29  1.249022E-28
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.664188E-30  8.058088E-30  2.027944E-29  7.035265E-29  1.368834E-28
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.640185E-30  8.110656E-30  2.093310E-29  7.414137E-29  1.479008E-28
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.587332E-30  8.026879E-30  2.125050E-29  7.683461E-29  1.571359E-28
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.505364E-30  7.786519E-30  2.113342E-29  7.796290E-29  1.633873E-28
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.418380E-30  7.465069E-30  2.074594E-29  7.803408E-29  1.674424E-28
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.330132E-30  7.133176E-30  2.030622E-29  7.786902E-29  1.709871E-28
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.254429E-30  6.797060E-30  1.981435E-29  7.757235E-29  1.746125E-28
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.184364E-30  6.508529E-30  1.942255E-29  7.755286E-29  1.787184E-28
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.100874E-30  6.203476E-30  1.900629E-29  7.742693E-29  1.826973E-28
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.026067E-30  5.948355E-30  1.869875E-29  7.764763E-29  1.873937E-28
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.740451E-30  1.848923E-29  7.817139E-29  1.927038E-28
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.539844E-30  1.825086E-29  7.853532E-29  1.977304E-28
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.350672E-30  1.800927E-29  7.885288E-29  2.027229E-28
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.130282E-30  1.761036E-29  7.854482E-29  2.065241E-28
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.936027E-30  1.729385E-29  7.860536E-29  2.114204E-28
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.754193E-30  1.705899E-29  7.904060E-29  2.175762E-28
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.577255E-30  1.685247E-29  7.957881E-29  2.241071E-28
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.415034E-30  1.667616E-29  8.020982E-29  2.309522E-28
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.200328E-30  1.624070E-29  7.954985E-29  2.341177E-28
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.009902E-30  1.582952E-29  7.897347E-29  2.377079E-28
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.799681E-30  1.537554E-29  7.818700E-29  2.407914E-28
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.525017E-30  1.518900E-29  7.787957E-29  2.406927E-28
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.066180E-30  1.325066E-29  6.917930E-29  2.190697E-28
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.692203E-30  1.176442E-29  6.230689E-29  2.009879E-28
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.883430E-30  1.769569E-29  9.569393E-29  3.157783E-28
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.334092E-30  1.517248E-29  8.505793E-29  2.953871E-28
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.010169E-30  1.407349E-29  8.036060E-29  2.850504E-28
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.732553E-30  1.325316E-29  7.722166E-29  2.803457E-28
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.495689E-30  1.277966E-29  7.517498E-29  2.747988E-28
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.167337E-30  1.102778E-29  6.605809E-29  2.479241E-28
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.816959E-30  9.790970E-30  5.965490E-29  2.278004E-28
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.872071E-30  1.571739E-29  9.826991E-29  3.857810E-28
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.235979E-30  1.262402E-29  8.227470E-29  3.424910E-28
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.965864E-30  1.142152E-29  7.581918E-29  3.224221E-28
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.816812E-30  1.078386E-29  7.241145E-29  3.118000E-28
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.550528E-30  9.288986E-30  6.381971E-29  2.833526E-28
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.245207E-30  8.159264E-30  5.733788E-29  2.607329E-28
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.033468E-30  1.329034E-29  9.611405E-29  4.522944E-28
