 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ce138         ce139         ce140         ce141         ce142         ce143         ce144         ce145
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.005108E-30  1.000000E-30  1.002766E-30  1.000000E-30  1.000731E-30  1.000000E-30  1.000825E-30
      3  6.264265632874E-16  1.000000E-30  1.031596E-30  1.000000E-30  1.017169E-30  1.000000E-30  1.004557E-30  1.000000E-30  1.005139E-30
      4  2.206990590178E-15  1.000000E-30  1.107320E-30  1.000000E-30  1.058893E-30  1.000000E-30  1.015844E-30  1.000000E-30  1.017773E-30
      5  6.425069294186E-15  1.000000E-30  1.289189E-30  1.000000E-30  1.160114E-30  1.000000E-30  1.044281E-30  1.000000E-30  1.049285E-30
      6  1.724777641531E-14  2.168575E-30  1.855512E-30  1.000000E-30  1.373795E-30  1.000000E-30  1.105222E-30  1.000000E-30  1.117245E-30
      7  4.527785414179E-14  1.296908E-29  6.911714E-30  2.015100E-30  2.064715E-30  1.009189E-30  1.229071E-30  1.000000E-30  1.231600E-30
      8  1.231582592127E-13  6.243632E-29  4.434090E-29  1.122210E-29  8.416118E-30  1.927636E-30  1.834760E-30  1.000012E-30  1.344411E-30
      9  4.001734798240E-13  1.386142E-28  1.171250E-28  2.948381E-29  2.554799E-29  4.376379E-30  3.272167E-30  1.000079E-30  1.378610E-30
     10  1.150918682670E-12  1.158259E-28  9.979537E-29  2.532735E-29  2.245812E-29  3.918071E-30  2.991461E-30  1.000000E-30  1.375377E-30
     11  2.802808442389E-12  8.233695E-29  7.198411E-29  1.840423E-29  1.679932E-29  3.095447E-30  2.500765E-30  1.002716E-30  1.380390E-30
     12  6.912921996243E-12  4.827732E-29  4.323940E-29  1.127478E-29  1.085414E-29  2.247344E-30  1.987783E-30  1.000000E-30  1.353185E-30
     13  1.659368270033E-11  4.411095E-30  4.667550E-30  1.524253E-30  2.223618E-30  1.000000E-30  1.059350E-30  1.000000E-30  1.223688E-30
     14  1.134012897413E-10  1.000000E-30  1.082741E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
