 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                kr81          kr82          kr83          kr84          kr85          kr86          kr87          kr88 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.028479E-30  1.000000E-30  1.012278E-30  1.000000E-30  1.001749E-30  1.000000E-30  1.002353E-30  1.000000E-30
      3  6.264265632874E-16  1.242522E-30  1.007203E-30  1.079028E-30  1.000000E-30  1.010915E-30  1.000000E-30  1.014573E-30  1.000000E-30
      4  2.206990590178E-15  2.941564E-30  1.267191E-30  1.351151E-30  1.000000E-30  1.039067E-30  1.000000E-30  1.049608E-30  1.000000E-30
      5  6.425069294186E-15  1.326881E-29  4.357779E-30  3.265881E-30  1.077935E-30  1.160205E-30  1.000002E-30  1.132187E-30  1.000000E-30
      6  1.724777641531E-14  4.244378E-29  1.914999E-29  1.635371E-29  3.296633E-30  2.404203E-30  1.061514E-30  1.292891E-30  1.005544E-30
      7  4.527785414179E-14  9.527926E-29  5.840392E-29  7.367445E-29  1.719549E-29  1.347477E-29  2.534647E-30  1.620984E-30  1.029871E-30
      8  1.231582592127E-13  2.654949E-28  1.961368E-28  3.108823E-28  8.695458E-29  8.209326E-29  1.354089E-29  3.119144E-30  1.072933E-30
      9  4.001734798240E-13  9.375335E-28  7.654564E-28  1.330946E-27  3.843067E-28  3.744401E-28  6.074207E-29  9.464056E-30  1.222742E-30
     10  1.150918682670E-12  1.125225E-27  9.264455E-28  1.623959E-27  4.642961E-28  4.500432E-28  7.253954E-29  1.101683E-29  1.247045E-30
     11  2.802808442389E-12  8.293950E-28  6.860130E-28  1.206750E-27  3.465890E-28  3.373633E-28  5.479931E-29  8.737203E-30  1.205971E-30
     12  6.912921996243E-12  4.830685E-28  4.007498E-28  7.076227E-28  2.034110E-28  1.982771E-28  3.255966E-29  5.711591E-30  1.107479E-30
     13  1.659368270033E-11  2.822582E-29  2.372538E-29  4.255396E-29  1.249593E-29  1.267986E-29  2.717237E-30  1.481734E-30  1.000000E-30
