 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.039502E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.689709E-27  1.254556E-28  4.817218E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  9.166583E-26  5.671910E-27  6.857798E-28  2.613752E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  6.361681E-25  4.836721E-26  6.354341E-27  2.265781E-28  6.224089E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.691751E-24  1.330892E-25  1.867070E-26  6.886608E-28  2.014096E-29  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  4.373822E-24  3.523111E-25  5.140506E-26  1.931741E-27  5.828340E-29  1.195732E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  6.356936E-24  5.168963E-25  7.661435E-26  2.900691E-27  8.862271E-29  1.841151E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  9.154642E-24  7.512749E-25  1.130795E-25  4.312718E-27  1.333890E-28  2.793284E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  2.119383E-23  1.776806E-24  2.771352E-25  1.075009E-26  3.420740E-28  7.296388E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  5.581079E-23  4.797423E-24  7.801233E-25  3.086679E-26  1.015469E-27  2.213057E-29  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.344340E-22  1.182646E-23  1.998821E-24  8.055179E-26  2.733248E-27  6.076303E-29  1.729695E-30  1.000000E-30
     56  3.217197145871E-02  3.392940E-22  3.059895E-23  5.390016E-24  2.215309E-25  7.770457E-27  1.764537E-28  5.109592E-30  1.000000E-30
     57  3.249951277145E-02  7.816617E-22  7.212342E-23  1.319770E-23  5.523451E-25  1.997659E-26  4.625814E-28  1.382709E-29  1.000000E-30
     58  3.262595809504E-02  1.075226E-21  1.000858E-22  1.858427E-23  7.832091E-25  2.866137E-26  6.686710E-28  2.023087E-29  1.000000E-30
     59  3.272641576722E-02  1.386939E-21  1.300128E-22  2.442570E-23  1.035138E-24  3.823934E-26  8.974809E-28  2.741826E-29  1.000000E-30
     60  3.304841700500E-02  3.119702E-21  2.991370E-22  5.835629E-23  2.517750E-24  9.587150E-26  2.293725E-27  7.229201E-29  1.462803E-30
     61  3.362823507679E-02  1.319097E-20  1.318973E-21  2.760161E-22  1.231402E-23  4.964795E-25  1.231555E-26  4.118870E-28  8.702110E-30
     62  3.417743618412E-02  5.029283E-20  5.224803E-21  1.164724E-21  5.354354E-23  2.271279E-24  5.815485E-26  2.048271E-27  4.461758E-29
     63  3.448472684867E-02  1.060570E-19  1.126339E-20  2.604166E-21  1.218077E-22  5.321462E-24  1.387697E-25  5.036746E-27  1.116742E-28
     64  3.459225947862E-02  1.375537E-19  1.472135E-20  3.447530E-21  1.622406E-22  7.162011E-24  1.879782E-25  6.896135E-27  1.538670E-28
     65  3.468161085917E-02  1.708582E-19  1.840368E-20  4.356187E-21  2.060460E-22  9.175042E-24  2.421131E-25  8.961524E-27  2.010000E-28
     66  3.501586344154E-02  3.838594E-19  4.235698E-20  1.043602E-20  5.031143E-22  2.314467E-23  6.231742E-25  2.384861E-26  5.454857E-28
     67  3.563385967804E-02  1.708415E-18  1.974452E-19  5.255901E-20  2.629084E-21  1.288812E-22  3.608971E-24  1.474805E-25  3.505558E-27
     68  3.619390900501E-02  6.484941E-18  7.799932E-19  2.217560E-19  1.144462E-20  5.918328E-22  1.712139E-23  7.387522E-25  1.812224E-26
     69  3.661379630041E-02  1.765474E-17  2.190233E-18  6.555072E-19  3.466787E-20  1.870012E-21  5.550482E-23  2.500978E-24  6.291306E-26
     70  3.704099468238E-02  4.884236E-17  6.253774E-18  1.972087E-18  1.069230E-19  6.019870E-21  1.833619E-22  8.631220E-24  2.226587E-25
     71  3.731378163516E-02  9.320342E-17  1.217648E-17  3.969231E-18  2.186183E-19  1.264569E-20  3.914756E-22  1.893821E-23  4.962434E-25
     72  3.757630769329E-02  1.730633E-16  2.305986E-17  7.766347E-18  4.344615E-19  2.581585E-20  8.121944E-22  4.038535E-23  1.075023E-24
     73  3.788075418501E-02  3.527234E-16  4.808568E-17  1.681881E-17  9.579755E-19  5.872574E-20  1.882355E-21  9.662328E-23  2.619236E-24
     74  3.819794660071E-02  7.354412E-16  1.026871E-16  3.736457E-17  2.168717E-18  1.373582E-19  4.489302E-21  2.382431E-22  6.581997E-24
     75  3.838080203158E-02  1.118910E-15  1.584005E-16  5.896586E-17  3.459921E-18  2.233096E-19  7.380737E-21  3.992946E-22  1.115276E-23
     76  3.859219912978E-02  1.816553E-15  2.613222E-16  9.989221E-17  5.935878E-18  3.916057E-19  1.311258E-20  7.254180E-22  2.052051E-23
     77  3.884096228080E-02  3.196082E-15  4.685643E-16  1.848017E-16  1.114644E-17  7.546566E-19  2.565909E-20  1.457481E-21  4.185011E-23
     78  3.907668434759E-02  5.427677E-15  8.101732E-16  3.291630E-16  2.013699E-17  1.397344E-18  4.820625E-20  2.807753E-21  8.177340E-23
     79  3.934936577490E-02  9.943744E-15  1.515611E-15  6.373686E-16  3.963878E-17  2.830484E-18  9.930517E-20  5.955024E-21  1.763097E-22
     80  3.961640452516E-02  1.784509E-14  2.776325E-15  1.207730E-15  7.633423E-17  5.606391E-18  1.999686E-19  1.233994E-20  3.712849E-22
     81  3.991996766101E-02  3.434914E-14  5.470706E-15  2.473484E-15  1.592471E-16  1.207817E-17  4.389770E-19  2.798965E-20  8.577607E-22
     82  4.019473378510E-02  6.152780E-14  1.001011E-14  4.687257E-15  3.068724E-16  2.396527E-17  8.859702E-19  5.819465E-20  1.813348E-21
     83  4.046928694587E-02  1.092521E-13  1.815727E-14  8.805581E-15  5.862432E-16  4.714232E-17  1.772664E-18  1.199492E-19  3.800180E-21
     84  4.074955599116E-02  1.944762E-13  3.303657E-14  1.660945E-14  1.125027E-15  9.323639E-17  3.567629E-18  2.489147E-19  8.021776E-21
     85  4.099011663524E-02  3.160305E-13  5.470712E-14  2.837096E-14  1.950428E-15  1.658953E-16  6.443808E-18  4.616102E-19  1.509632E-20
     86  4.118445936105E-02  4.646174E-13  8.166450E-14  4.342612E-14  3.021487E-15  2.624518E-16  1.031842E-17  7.551046E-19  2.498870E-20
     87  4.137235583218E-02  6.703774E-13  1.195864E-13  6.515635E-14  4.586535E-15  4.066036E-16  1.617431E-17  1.208393E-18  4.045073E-20
     88  4.152714488067E-02  9.025228E-13  1.629757E-13  9.059541E-14  6.438853E-15  5.805081E-16  2.331623E-17  1.771983E-18  5.988024E-20
     89  4.165981986900E-02  1.160575E-12  2.117837E-13  1.197715E-13  8.583049E-15  7.851022E-16  3.179628E-17  2.452176E-18  8.354093E-20
     90  4.188596337322E-02  1.768626E-12  3.285808E-13  1.913734E-13  1.390916E-14  1.304174E-15  5.357124E-17  4.236491E-18  1.463423E-19
     91  4.208159634323E-02  2.527377E-12  4.768994E-13  2.849301E-13  2.096394E-14  2.008327E-15  8.351240E-17  6.749632E-18  2.359684E-19
     92  4.230932596557E-02  3.799245E-12  7.300287E-13  4.493491E-13  3.353726E-14  3.294502E-15  1.389665E-16  1.152085E-17  4.084451E-19
     93  4.251598135750E-02  5.461867E-12  1.066981E-12  6.747840E-13  5.102179E-14  5.127893E-15  2.191249E-16  1.859156E-17  6.675488E-19
     94  4.274368410830E-02  8.084815E-12  1.608479E-12  1.048146E-12  8.040002E-14  8.287313E-15  3.592384E-16  3.126938E-17  1.138615E-18
     95  4.294191711445E-02  1.130700E-11  2.285667E-12  1.528818E-12  1.187514E-13  1.251346E-14  5.492393E-16  4.888732E-17  1.802022E-18
     96  4.316569238790E-02  1.641617E-11  3.378889E-12  2.327805E-12  1.834001E-13  1.981502E-14  8.820657E-16  8.052305E-17  3.009431E-18
     97  4.339365876136E-02  2.387584E-11  5.005756E-12  3.554250E-12  2.841246E-13  3.149268E-14  1.422215E-15  1.332359E-16  5.050254E-18
     98  4.362382833621E-02  3.470570E-11  7.413465E-12  5.426992E-12  4.402572E-13  5.007905E-14  2.294702E-15  2.206771E-16  8.484799E-18
     99  4.384703699487E-02  4.973929E-11  1.081951E-11  8.158942E-12  6.714190E-13  7.832328E-14  3.639929E-15  3.590797E-16  1.399875E-17
    100  4.408801045744E-02  7.321564E-11  1.624255E-11  1.264823E-11  1.057105E-12  1.267299E-13  5.980120E-15  6.064515E-16  2.399925E-17
    101  4.430336182063E-02  1.034146E-10  2.335010E-11  1.871417E-11  1.585952E-12  1.948459E-13  9.320797E-15  9.689218E-16  3.886070E-17
    102  4.453208602613E-02  1.492147E-10  3.433023E-11  2.837133E-11  2.440197E-12  3.077297E-13  1.493617E-14  1.594151E-15  6.485481E-17
    103  4.474836808964E-02  2.109143E-10  4.939771E-11  4.202757E-11  3.665845E-12  4.738954E-13  2.331982E-14  2.552014E-15  1.052350E-16
    104  4.497736119052E-02  3.038124E-10  7.251384E-11  6.362758E-11  5.633228E-12  7.476548E-13  3.733149E-14  4.195404E-15  1.754961E-16
