 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nb97          nb98          nb99          nb100         nb101         nb102         nb103         nb104
    105  4.517199675598E-02  4.738868E-28  1.415982E-28  7.727931E-29  9.544917E-30  4.540382E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  1.220609E-27  3.716335E-28  2.067570E-28  2.600511E-29  1.263800E-29  1.424005E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  2.771553E-27  8.577216E-28  4.852362E-28  6.200529E-29  3.070493E-29  3.526916E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  1.125350E-26  3.584145E-27  2.088320E-27  2.744139E-28  1.404792E-28  1.655177E-29  3.009584E-30  1.000000E-30
    109  4.603616864208E-02  3.204159E-26  1.043433E-26  6.219612E-27  8.350763E-28  4.385735E-28  5.269651E-29  9.801833E-30  1.000000E-30
    110  4.624194314299E-02  8.062781E-26  2.680862E-26  1.632458E-26  2.236547E-27  1.203175E-27  1.472498E-28  2.804711E-29  1.936874E-30
    111  4.641297951594E-02  1.679388E-25  5.681445E-26  3.521608E-26  4.906647E-27  2.693052E-27  3.346892E-28  6.502856E-29  4.547874E-30
    112  4.656990459822E-02  3.205305E-25  1.101679E-25  6.940501E-26  9.820031E-27  5.489462E-27  6.918602E-28  1.368868E-28  9.685959E-30
    113  4.671253119976E-02  5.646262E-25  1.968797E-25  1.258774E-25  1.806085E-26  1.026562E-26  1.310408E-27  2.635781E-28  1.884943E-29
    114  4.684580987606E-02  9.417733E-25  3.328425E-25  2.157666E-25  3.136542E-26  1.810770E-26  2.339158E-27  4.778179E-28  3.451117E-29
    115  4.697520204195E-02  1.524149E-24  5.457725E-25  3.585832E-25  5.279296E-26  3.094334E-26  4.043846E-27  8.385226E-28  6.115046E-29
    116  4.709649788536E-02  2.362838E-24  8.565645E-25  5.699173E-25  8.491340E-26  5.048257E-26  6.669444E-27  1.402580E-27  1.032145E-28
    117  4.721637454993E-02  3.603047E-24  1.322163E-24  8.907485E-25  1.342905E-25  8.096988E-26  1.081296E-26  2.305905E-27  1.712151E-28
    118  4.732862910872E-02  5.297540E-24  1.966286E-24  1.340278E-24  2.043094E-25  1.248234E-25  1.683822E-26  3.638084E-27  2.724051E-28
    119  4.750539400184E-02  9.552259E-24  3.609779E-24  2.506200E-24  3.887392E-25  2.424737E-25  3.323040E-26  7.328553E-27  5.559833E-28
    120  4.767210524850E-02  1.637455E-23  6.294277E-24  4.446938E-24  7.012479E-25  4.461011E-25  6.206401E-26  1.395757E-26  1.072224E-27
    121  4.783406579930E-02  2.724043E-23  1.064623E-23  7.650507E-24  1.225968E-24  7.950150E-25  1.122402E-25  2.572728E-26  2.000612E-27
    122  4.799263518131E-02  4.428332E-23  1.759080E-23  1.285326E-23  2.092378E-24  1.382629E-24  1.980236E-25  4.624613E-26  3.639387E-27
