 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
     41  1.871872199221E-02  1.522393E-21  1.722989E-21  9.159682E-21  1.284394E-21  5.189339E-22  4.513445E-24  1.296465E-25  1.043807E-28
     42  2.131412024987E-02  2.269413E-20  4.072037E-20  2.857192E-19  4.662477E-20  2.246693E-20  2.008360E-22  6.397077E-24  5.224726E-27
     43  2.288535686070E-02  9.980999E-20  2.450248E-19  2.447828E-18  4.791564E-19  3.754812E-19  3.950292E-21  1.982955E-22  1.680328E-25
     44  2.437102778700E-02  4.089122E-19  1.284168E-18  1.542252E-17  3.300150E-18  2.904717E-18  3.179942E-20  1.905281E-21  1.643871E-24
     45  2.666254430666E-02  3.652697E-18  1.775297E-17  3.183723E-16  8.173779E-17  9.184793E-17  1.094717E-18  8.115166E-20  7.185143E-23
     46  2.807329513827E-02  1.489010E-17  9.634717E-17  2.384107E-15  7.039624E-16  9.567529E-16  1.227231E-17  1.102743E-18  1.000046E-21
     47  2.946719119355E-02  6.236726E-17  5.045125E-16  1.603824E-14  5.321460E-15  8.228231E-15  1.117028E-16  1.149214E-17  1.064680E-20
     48  2.982466835475E-02  9.123208E-17  7.755081E-16  2.610434E-14  8.912927E-15  1.421590E-14  1.958779E-16  2.098401E-17  1.957222E-20
     49  3.017238950627E-02  1.315523E-16  1.174509E-15  4.194613E-14  1.475550E-14  2.424960E-14  3.388682E-16  3.733770E-17  3.501540E-20
     50  3.052509122072E-02  1.894660E-16  1.771564E-15  6.705438E-14  2.431871E-14  4.120151E-14  5.842426E-16  6.621747E-17  6.245689E-20
     51  3.066477686677E-02  2.184654E-16  2.078614E-15  8.045717E-14  2.953408E-14  5.063623E-14  7.221958E-16  8.273841E-17  7.821811E-20
     52  3.080037159611E-02  2.509495E-16  2.427686E-15  9.601901E-14  3.566339E-14  6.185648E-14  8.872194E-16  1.027018E-16  9.730789E-20
     53  3.111325257314E-02  3.442355E-16  3.455012E-15  1.434850E-13  5.476273E-14  9.754488E-14  1.417540E-15  1.679571E-16  1.599647E-19
     54  3.147800645819E-02  4.917818E-16  5.138079E-15  2.254224E-13  8.881519E-14  1.631589E-13  2.407762E-15  2.928217E-16  2.806023E-19
     55  3.181357346897E-02  6.739463E-16  7.289055E-15  3.357669E-13  1.362297E-13  2.574662E-13  3.854023E-15  4.796730E-16  4.622892E-19
     56  3.217197145871E-02  9.297896E-16  1.041259E-14  5.044817E-13  2.112228E-13  4.115491E-13  6.256054E-15  7.975267E-16  7.733916E-19
     57  3.249951277145E-02  1.231125E-15  1.421089E-14  7.201346E-13  3.103415E-13  6.219125E-13  9.589411E-15  1.248948E-15  1.218111E-18
     58  3.262595809504E-02  1.367639E-15  1.596693E-14  8.230601E-13  3.586795E-13  7.266880E-13  1.126725E-14  1.479525E-15  1.446218E-18
     59  3.272641576722E-02  1.486992E-15  1.751698E-14  9.153118E-13  4.024458E-13  8.225489E-13  1.281022E-14  1.693137E-15  1.657973E-18
     60  3.304841700500E-02  1.930815E-15  2.339519E-14  1.276273E-12  5.774307E-13  1.214230E-12  1.918323E-14  2.588721E-15  2.549614E-18
     61  3.362823507679E-02  3.012016E-15  3.832072E-14  2.255618E-12  1.074690E-12  2.381309E-12  3.862375E-14  5.409667E-15  5.384535E-18
     62  3.417743618412E-02  4.469223E-15  5.946194E-14  3.757370E-12  1.880914E-12  4.387153E-12  7.300174E-14  1.059430E-14  1.065392E-17
     63  3.448472684867E-02  5.518966E-15  7.525822E-14  4.946606E-12  2.546082E-12  6.116286E-12  1.032718E-13  1.529204E-14  1.546840E-17
     64  3.459225947862E-02  5.936721E-15  8.165326E-14  5.441456E-12  2.828248E-12  6.865482E-12  1.165207E-13  1.737680E-14  1.761350E-17
     65  3.468161085917E-02  6.307765E-15  8.737863E-14  5.890262E-12  3.086485E-12  7.558211E-12  1.288308E-13  1.932710E-14  1.962412E-17
     66  3.501586344154E-02  7.882715E-15  1.121442E-13  7.891432E-12  4.263082E-12  1.079177E-11  1.869623E-13  2.868501E-14  2.931575E-17
     67  3.563385967804E-02  1.171732E-14  1.750694E-13  1.333555E-11  7.623973E-12  2.055579E-11  3.672002E-13  5.878344E-14  6.081537E-17
     68  3.619390900501E-02  1.650464E-14  2.578048E-13  2.110548E-11  1.270803E-11  3.635451E-11  6.682091E-13  1.113289E-13  1.164942E-16
     69  3.661379630041E-02  2.114032E-14  3.414544E-13  2.951344E-11  1.847929E-11  5.533426E-11  1.039475E-12  1.786204E-13  1.885377E-16
     70  3.704099468238E-02  2.699207E-14  4.512037E-13  4.123371E-11  2.687233E-11  8.438895E-11  1.621417E-12  2.877915E-13  3.065080E-16
     71  3.731378163516E-02  3.134955E-14  5.357208E-13  5.073749E-11  3.392636E-11  1.098889E-10  2.142373E-12  3.883913E-13  4.160576E-16
