 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                v50           v51           v52           v53           v54           v55           v56           v57  
     41  1.871872199221E-02  1.000000E-30  1.210506E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.222668E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  4.792775E-28  4.540940E-27  1.751385E-27  4.150159E-28  1.113766E-29  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  2.535568E-27  2.543762E-26  1.042513E-26  3.080290E-27  1.113852E-28  1.346335E-29  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  2.186973E-25  3.051219E-24  1.379343E-24  2.226124E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.546329E-24  7.139708E-23  5.013202E-23  2.493382E-23  1.182122E-24  1.214403E-25  1.196267E-27  2.041030E-29
     47  2.946719119355E-02  3.260726E-23  1.248485E-21  9.787169E-22  5.202788E-22  2.464292E-23  2.116935E-24  1.501080E-26  8.340470E-30
     48  2.982466835475E-02  4.733776E-23  2.138310E-21  1.869122E-21  1.286630E-21  7.624002E-23  1.128655E-23  1.399685E-25  3.397295E-27
     49  3.017238950627E-02  8.737997E-23  4.259387E-21  3.814920E-21  2.702829E-21  1.628345E-22  2.473717E-23  3.114624E-25  7.750922E-27
     50  3.052509122072E-02  1.638679E-22  8.727599E-21  8.098877E-21  5.985102E-21  3.701278E-22  5.831729E-23  7.496817E-25  1.919394E-26
     51  3.066477686677E-02  2.097525E-22  1.156450E-20  1.087986E-20  8.172835E-21  5.105717E-22  8.159425E-23  1.057433E-24  2.737605E-26
     52  3.080037159611E-02  2.666944E-22  1.521315E-20  1.450665E-20  1.107358E-20  6.987098E-22  1.132256E-22  1.479069E-24  3.871233E-26
     53  3.111325257314E-02  4.630188E-22  2.857490E-20  2.810998E-20  2.226834E-20  1.437841E-21  2.406255E-22  3.201674E-24  8.594503E-26
     54  3.147800645819E-02  8.737314E-22  5.904815E-20  6.022991E-20  4.981115E-20  3.303908E-21  5.740369E-22  7.803786E-24  2.157609E-25
     55  3.181357346897E-02  1.553698E-21  1.139998E-19  1.202108E-19  1.034086E-19  7.030919E-21  1.264434E-21  1.753360E-23  4.981685E-25
     56  3.217197145871E-02  2.847703E-21  2.277408E-19  2.488153E-19  2.231825E-19  1.558176E-20  2.907223E-21  4.117830E-23  1.204596E-24
     57  3.249951277145E-02  4.915976E-21  4.246092E-19  4.791588E-19  4.464719E-19  3.193620E-20  6.162544E-21  8.900369E-23  2.674325E-24
     58  3.262595809504E-02  6.058693E-21  5.387768E-19  6.155816E-19  5.819923E-19  4.201872E-20  8.213172E-21  1.195083E-22  3.627916E-24
     59  3.272641576722E-02  7.157616E-21  6.515504E-19  7.518703E-19  7.191839E-19  5.231226E-20  1.033137E-20  1.512324E-22  4.628914E-24
     60  3.304841700500E-02  1.217162E-20  1.193081E-18  1.421469E-18  1.411477E-18  1.051604E-19  2.146939E-20  3.203848E-22  1.006948E-23
     61  3.362823507679E-02  3.124572E-20  3.484822E-18  4.396858E-18  4.668136E-18  3.631498E-19  7.871296E-20  1.216334E-21  4.011525E-23
     62  3.417743618412E-02  7.558789E-20  9.479210E-18  1.262885E-17  1.428083E-17  1.157350E-18  2.653518E-19  4.236812E-21  1.461349E-22
     63  3.448472684867E-02  1.234794E-19  1.651547E-17  2.269177E-17  2.659708E-17  2.206609E-18  5.225577E-19  8.503262E-21  3.010573E-22
     64  3.459225947862E-02  1.466012E-19  2.004708E-17  2.783903E-17  3.303534E-17  2.762903E-18  6.615811E-19  1.083545E-20  3.870621E-22
     65  3.468161085917E-02  1.691476E-19  2.356211E-17  3.301369E-17  3.958346E-17  3.332989E-18  8.055424E-19  1.326521E-20  4.774189E-22
     66  3.501586344154E-02  2.886662E-19  4.306404E-17  6.239597E-17  7.777664E-17  6.717290E-18  1.681158E-18  2.825587E-20  1.045942E-21
     67  3.563385967804E-02  7.719089E-19  1.302967E-16  2.009071E-16  2.691763E-16  2.437519E-17  6.512331E-18  1.137400E-19  4.440193E-21
     68  3.619390900501E-02  1.879748E-18  3.532332E-16  5.762268E-16  8.238670E-16  7.785158E-17  2.204477E-17  3.983377E-19  1.629170E-20
     69  3.661379630041E-02  3.660543E-18  7.442966E-16  1.267137E-15  1.903527E-15  1.858198E-16  5.501754E-17  1.020527E-18  4.327406E-20
     70  3.704099468238E-02  7.215980E-18  1.587117E-15  2.822605E-15  4.459986E-15  4.500865E-16  1.394664E-16  2.657017E-18  1.168926E-19
     71  3.731378163516E-02  1.111045E-17  2.566198E-15  4.693775E-15  7.662031E-15  7.899889E-16  2.520926E-16  4.886368E-18  2.201513E-19
