 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nd140         nd141         nd142         nd143         nd144         nd145         nd146         nd147
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000273E-30  1.014583E-30  1.000000E-30  1.004556E-30  1.000000E-30  1.006335E-30  1.000000E-30  1.006501E-30
      3  6.264265632874E-16  1.014901E-30  1.095368E-30  1.000000E-30  1.028345E-30  1.000000E-30  1.039359E-30  1.000000E-30  1.040408E-30
      4  2.206990590178E-15  1.295337E-30  1.422135E-30  1.000000E-30  1.098959E-30  1.000000E-30  1.135285E-30  1.000000E-30  1.139083E-30
      5  6.425069294186E-15  4.371310E-30  3.743056E-30  1.090929E-30  1.338086E-30  1.000000E-30  1.369023E-30  1.000000E-30  1.381215E-30
      6  1.724777641531E-14  2.109201E-29  2.333100E-29  4.473150E-30  3.649230E-30  1.045653E-30  1.857364E-30  1.000000E-30  1.885086E-30
      7  4.527785414179E-14  8.134547E-29  1.478728E-28  3.167730E-29  2.722799E-29  3.015983E-30  3.296118E-30  1.000005E-30  2.678858E-30
      8  1.231582592127E-13  2.245233E-28  5.432560E-28  1.166863E-28  1.259339E-28  1.887138E-29  1.318504E-29  1.405329E-30  3.693673E-30
      9  4.001734798240E-13  3.729001E-28  9.975358E-28  2.193017E-28  2.718601E-28  4.945444E-29  3.435862E-29  2.270178E-30  5.042157E-30
     10  1.150918682670E-12  3.016575E-28  8.197142E-28  1.824545E-28  2.308132E-28  4.370792E-29  3.086394E-29  2.149660E-30  4.855863E-30
     11  2.802808442389E-12  2.096294E-28  5.750784E-28  1.284970E-28  1.647176E-28  3.189634E-29  2.321625E-29  1.838124E-30  4.329946E-30
     12  6.912921996243E-12  1.193770E-28  3.315561E-28  7.499093E-29  9.873072E-29  2.020267E-29  1.577962E-29  1.648915E-30  4.093194E-30
     13  1.659368270033E-11  9.912231E-30  2.827681E-29  6.823180E-30  9.925175E-30  2.662038E-30  3.064061E-30  1.000000E-30  1.759706E-30
     14  1.134012897413E-10  1.849755E-30  5.443909E-30  1.358694E-30  2.120765E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  2.421487E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.429606E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  2.361767E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  2.045276E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  2.710091E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  2.113531E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.339111E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.412406E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.321917E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.964893E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.981711E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.538671E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.479886E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.857433E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.900736E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.309796E-30  3.050467E-30  1.124751E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.308572E-30  3.140660E-30  1.257857E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  2.020312E-30  7.321118E-30  4.699313E-30  1.288665E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.704940E-30  4.272852E-30  1.801855E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.765568E-30  5.649360E-30  3.751511E-30  1.247011E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  2.593539E-30  1.074829E-29  1.235940E-29  3.492943E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.009515E-30  7.486411E-30  7.085111E-30  2.956062E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  2.076398E-30  9.094059E-30  8.689620E-30  3.243938E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  2.560128E-30  2.794430E-30  1.267782E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  2.526272E-30  2.866872E-30  1.337306E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  2.623653E-30  3.027421E-30  1.446358E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.051279E-30  1.290310E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.033327E-30  1.288621E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  2.353947E-30  3.024798E-30  1.527848E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  3.010262E-30  4.073132E-30  2.083340E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  2.717590E-30  3.716811E-30  1.965054E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  3.118464E-30  4.651187E-30  2.545625E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  2.769754E-30  4.439610E-30  2.593874E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.103706E-30  1.707296E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.389856E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.000000E-30  2.941943E-30  4.843069E-30  2.958424E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  1.000000E-30  5.398949E-30  9.264165E-30  5.739635E-30  1.175549E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  1.000000E-30  5.245623E-30  9.634944E-30  6.344331E-30  1.369320E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  1.000000E-30  2.935442E-30  6.116405E-30  3.957108E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.042222E-30  2.060778E-30  1.394088E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
