 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta180         ta181         ta182         ta183         ta184         ta185         ta186         ta187
    105  4.517199675598E-02  7.594973E-30  5.176747E-30  1.848239E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  7.915972E-30  5.502831E-30  1.999192E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  7.065361E-30  5.084807E-30  1.895885E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  1.469147E-29  1.112178E-29  4.364061E-30  1.083880E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  1.170498E-29  8.838086E-30  3.449032E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  1.232886E-29  9.443572E-30  3.836780E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  1.050543E-29  8.270839E-30  3.353976E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  1.037194E-29  8.311363E-30  3.433552E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  9.945042E-30  8.133832E-30  3.416692E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  9.791869E-30  8.147226E-30  3.492060E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  1.008854E-29  8.497361E-30  3.730761E-30  1.046964E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    116  4.709649788536E-02  1.008307E-29  8.631508E-30  3.835501E-30  1.089401E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
