 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.980961E-29  1.520685E-27  1.183561E-25  1.983258E-25
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.205783E-28  3.869922E-26  4.326106E-24  8.270971E-24
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.224945E-27  1.868587E-25  3.217693E-23  1.094062E-22
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.691920E-27  9.290738E-25  1.943747E-22  7.579314E-22
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.216282E-26  1.005733E-23  3.208650E-21  1.893825E-20
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.405310E-26  3.866846E-23  1.712424E-20  1.548828E-19
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.483106E-30  2.704344E-25  1.431057E-22  8.345505E-20  1.078201E-18
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.750235E-30  3.554106E-25  1.998658E-22  1.242534E-19  1.752275E-18
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.043706E-30  4.537968E-25  2.722084E-22  1.824684E-19  2.828565E-18
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.373801E-30  5.749545E-25  3.672513E-22  2.657750E-19  4.537610E-18
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.512909E-30  6.295268E-25  4.121443E-22  3.074903E-19  5.451282E-18
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.653997E-30  6.869609E-25  4.606152E-22  3.540777E-19  6.512861E-18
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.996331E-30  8.354827E-25  5.916869E-22  4.875253E-19  9.755233E-18
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.416303E-30  1.036656E-24  7.817625E-22  6.984548E-19  1.536535E-17
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.815942E-30  1.249265E-24  9.973161E-22  9.595575E-19  2.294131E-17
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.250021E-30  1.506368E-24  1.277009E-21  1.328823E-18  3.456284E-17
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.648892E-30  1.769504E-24  1.583743E-21  1.768694E-18  4.947324E-17
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.803034E-30  1.878688E-24  1.716839E-21  1.969857E-18  5.660855E-17
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.927738E-30  1.969954E-24  1.830304E-21  2.145919E-18  6.301157E-17
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.326818E-30  2.282664E-24  2.235920E-21  2.807797E-18  8.813997E-17
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.041220E-30  2.929268E-24  3.153064E-21  4.468337E-18  1.568062E-16
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.712385E-30  3.654335E-24  4.298410E-21  6.809648E-18  2.631587E-16
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.088508E-30  4.115723E-24  5.086289E-21  8.564563E-18  3.480823E-16
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.221949E-30  4.289113E-24  5.393087E-21  9.276080E-18  3.835686E-16
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.334238E-30  4.438898E-24  5.662352E-21  9.912856E-18  4.158188E-16
