 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ba132         ba133         ba134         ba135         ba136         ba137         ba138         ba139
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000839E-30  1.003390E-30  1.000000E-30  1.007123E-30  1.000000E-30  1.003872E-30  1.000000E-30  1.001182E-30
      3  6.264265632874E-16  1.006925E-30  1.021422E-30  1.000000E-30  1.043821E-30  1.000000E-30  1.023858E-30  1.000000E-30  1.007321E-30
      4  2.206990590178E-15  1.054275E-30  1.080379E-30  1.000000E-30  1.146337E-30  1.000000E-30  1.080042E-30  1.000000E-30  1.024929E-30
      5  6.425069294186E-15  1.712211E-30  1.413352E-30  1.043808E-30  1.372479E-30  1.000000E-30  1.205367E-30  1.000000E-30  1.066399E-30
      6  1.724777641531E-14  8.388055E-30  5.083688E-30  1.608418E-30  1.802219E-30  1.000000E-30  1.410458E-30  1.000000E-30  1.143676E-30
      7  4.527785414179E-14  4.038016E-29  2.619460E-29  5.934603E-30  3.507950E-30  1.064716E-30  1.658794E-30  1.000003E-30  1.235122E-30
      8  1.231582592127E-13  1.508851E-28  1.105210E-28  3.254465E-29  1.659827E-29  3.077299E-30  3.127280E-30  1.000325E-30  1.305034E-30
      9  4.001734798240E-13  3.555160E-28  2.714787E-28  8.818877E-29  4.620851E-29  7.998580E-30  7.101088E-30  1.102108E-30  1.427256E-30
     10  1.150918682670E-12  2.972011E-28  2.280965E-28  7.494200E-29  3.958052E-29  6.930270E-30  6.236500E-30  1.004222E-30  1.403999E-30
     11  2.802808442389E-12  2.105686E-28  1.623165E-28  5.399837E-29  2.893405E-29  5.269188E-30  5.012636E-30  1.041600E-30  1.377414E-30
     12  6.912921996243E-12  1.220141E-28  9.476909E-29  3.221099E-29  1.782388E-29  3.541503E-30  3.769804E-30  1.140767E-30  1.364483E-30
