 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                lu187         lu188         lu189         lu190         lu191         lu192         lu193         lu194
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000049E-30  1.000000E-30  1.000444E-30  1.000000E-30  1.000315E-30  1.000027E-30  1.000104E-30
      3  6.264265632874E-16  1.000000E-30  1.000303E-30  1.000000E-30  1.002776E-30  1.000000E-30  1.001967E-30  1.000173E-30  1.000652E-30
      4  2.206990590178E-15  1.000000E-30  1.001060E-30  1.000000E-30  1.009720E-30  1.000000E-30  1.006888E-30  1.000627E-30  1.002278E-30
      5  6.425069294186E-15  1.000000E-30  1.003019E-30  1.000000E-30  1.027843E-30  1.000000E-30  1.019741E-30  1.001969E-30  1.006473E-30
      6  1.724777641531E-14  1.000000E-30  1.007677E-30  1.000000E-30  1.071730E-30  1.000000E-30  1.050984E-30  1.006158E-30  1.016346E-30
      7  4.527785414179E-14  1.000000E-30  1.017588E-30  1.000000E-30  1.169719E-30  1.000000E-30  1.122128E-30  1.020451E-30  1.036844E-30
      8  1.231582592127E-13  1.000000E-30  1.033955E-30  1.000000E-30  1.352959E-30  1.000000E-30  1.269625E-30  1.067144E-30  1.068621E-30
      9  4.001734798240E-13  1.000000E-30  1.110076E-30  1.109938E-30  1.570334E-30  1.044162E-30  1.517636E-30  1.158892E-30  1.089484E-30
     10  1.150918682670E-12  1.000039E-30  1.328705E-30  1.309995E-30  1.818850E-30  1.185948E-30  1.634747E-30  1.192289E-30  1.090547E-30
     11  2.802808442389E-12  1.000407E-30  1.406611E-30  1.371499E-30  1.875478E-30  1.204184E-30  1.642229E-30  1.196265E-30  1.089543E-30
     12  6.912921996243E-12  1.000000E-30  1.407028E-30  1.376272E-30  1.888513E-30  1.210064E-30  1.638578E-30  1.197805E-30  1.096496E-30
