 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000786E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.041006E-01
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.187546E-30  1.000000E-30  7.912523E-01
     43  2.288535686070E-02  1.002708E-30  1.000624E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.855573E-01
     44  2.437102778700E-02  1.001706E-30  1.001904E-30  1.002207E-30  1.002378E-30  1.001820E-30  1.000000E-30  1.000000E-30  7.815216E-01
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.774330E-01
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000222E-30  1.001418E-30  1.007363E-30  1.000000E-30  7.758694E-01
     47  2.946719119355E-02  1.000109E-30  1.000108E-30  1.000128E-30  1.000204E-30  1.000255E-30  1.000372E-30  1.000000E-30  7.748291E-01
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.746253E-01
     49  3.017238950627E-02  1.000013E-30  1.000012E-30  1.000012E-30  1.000011E-30  1.000013E-30  1.000011E-30  1.000000E-30  7.744487E-01
     50  3.052509122072E-02  1.000013E-30  1.000012E-30  1.000013E-30  1.000012E-30  1.000013E-30  1.000012E-30  1.000000E-30  7.742891E-01
     51  3.066477686677E-02  1.000004E-30  1.000004E-30  1.000005E-30  1.000004E-30  1.000005E-30  1.000004E-30  1.000000E-30  7.742309E-01
     52  3.080037159611E-02  1.000068E-30  1.000081E-30  1.000088E-30  1.000095E-30  1.000098E-30  1.000102E-30  1.000000E-30  7.741765E-01
     53  3.111325257314E-02  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000001E-30  1.000000E-30  7.740593E-01
     54  3.147800645819E-02  1.000002E-30  1.000002E-30  1.000002E-30  1.000002E-30  1.000002E-30  1.000002E-30  1.000000E-30  7.739368E-01
     55  3.181357346897E-02  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  7.738355E-01
     56  3.217197145871E-02  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  7.737376E-01
     57  3.249951277145E-02  1.000005E-30  1.000004E-30  1.000004E-30  1.000004E-30  1.000004E-30  1.000004E-30  1.000000E-30  7.736557E-01
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.736258E-01
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  7.736025E-01
     60  3.304841700500E-02  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000000E-30  7.735310E-01
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.734132E-01
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.733115E-01
     63  3.448472684867E-02  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  7.732581E-01
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.732398E-01
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.732248E-01
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.731701E-01
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.730739E-01
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.729917E-01
     69  3.661379630041E-02  1.000002E-30  1.000003E-30  1.000003E-30  1.000003E-30  1.000003E-30  1.000003E-30  1.000000E-30  7.729327E-01
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.728746E-01
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.728385E-01
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.728045E-01
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.727660E-01
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.727267E-01
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.727045E-01
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.726791E-01
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.726498E-01
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.726225E-01
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.725914E-01
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.725616E-01
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.725283E-01
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.724988E-01
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.724699E-01
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000217E-30  1.000000E-30  7.724410E-01
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002419E-30  1.000000E-30  7.724167E-01
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004712E-30  1.000000E-30  7.723974E-01
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008963E-30  1.000000E-30  7.723790E-01
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000183E-30  1.012749E-30  1.000000E-30  7.723642E-01
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000282E-30  1.016121E-30  1.000000E-30  7.723516E-01
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.004586E-30  1.007280E-30  1.033065E-30  1.000000E-30  7.723306E-01
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.005076E-30  1.012476E-30  1.048953E-30  1.000000E-30  7.723129E-01
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.001327E-30  1.014566E-30  1.027631E-30  1.076747E-30  1.000000E-30  7.722928E-01
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.002376E-30  1.026172E-30  1.044276E-30  1.104580E-30  1.000000E-30  7.722751E-01
     94  4.274368410830E-02  1.000000E-30  1.002727E-30  1.009242E-30  1.049719E-30  1.072851E-30  1.145746E-30  1.000000E-30  7.722561E-01
     95  4.294191711445E-02  1.000000E-30  1.002746E-30  1.009009E-30  1.070961E-30  1.098587E-30  1.182149E-30  1.000000E-30  7.722402E-01
     96  4.316569238790E-02  1.000000E-30  1.011548E-30  1.021403E-30  1.108444E-30  1.140584E-30  1.236688E-30  1.000000E-30  7.722229E-01
     97  4.339365876136E-02  1.000807E-30  1.019945E-30  1.043623E-30  1.156615E-30  1.193033E-30  1.302331E-30  1.000000E-30  7.722060E-01
     98  4.362382833621E-02  1.004476E-30  1.034435E-30  1.076595E-30  1.215326E-30  1.255826E-30  1.378907E-30  1.000000E-30  7.721896E-01
