 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                re199         re200         re201         re202         re203         re204         re205         re206
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000045E-30  1.000000E-30  1.000042E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000279E-30  1.000000E-30  1.000261E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000981E-30  1.000000E-30  1.000919E-30
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002842E-30  1.000000E-30  1.002668E-30
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007521E-30  1.000000E-30  1.007099E-30
      7  4.527785414179E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019039E-30  1.000000E-30  1.018220E-30
      8  1.231582592127E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.046917E-30  1.000000E-30  1.046586E-30
      9  4.001734798240E-13  1.000007E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.110335E-30  1.000000E-30  1.122845E-30
     10  1.150918682670E-12  1.000000E-30  1.000000E-30  1.000102E-30  1.000000E-30  1.000000E-30  1.164261E-30  1.000000E-30  1.232290E-30
     11  2.802808442389E-12  1.001443E-30  1.004871E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.201250E-30  1.000000E-30  1.348095E-30
     12  6.912921996243E-12  1.005311E-30  1.000000E-30  1.000000E-30  1.000150E-30  1.000114E-30  1.218200E-30  1.000000E-30  1.434831E-30
