 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                c14           c15           c16           c17           c18           n11           n12           n13  
     48  2.982466835475E-02  4.494926E-13  4.969514E-22  3.111962E-25  6.124635E-30  1.000000E-30  1.815303E-27  1.011980E-27  8.939900E-18
     49  3.017238950627E-02  6.644938E-13  4.969025E-22  3.110958E-25  6.116991E-30  1.000000E-30  1.815303E-27  8.949687E-28  8.099334E-18
     50  3.052509122072E-02  9.935787E-13  4.968529E-22  3.109940E-25  6.109247E-30  1.000000E-30  1.815303E-27  7.930254E-28  7.332736E-18
     51  3.066477686677E-02  1.165921E-12  4.968333E-22  3.109537E-25  6.106183E-30  1.000000E-30  1.815303E-27  7.569097E-28  7.052379E-18
     52  3.080037159611E-02  1.364767E-12  4.968142E-22  3.109146E-25  6.103210E-30  1.000000E-30  1.815303E-27  7.236224E-28  6.788120E-18
     53  3.111325257314E-02  1.966357E-12  4.967702E-22  3.108244E-25  6.096356E-30  1.000000E-30  1.815303E-27  6.540627E-28  6.218981E-18
     54  3.147800645819E-02  2.998124E-12  4.967189E-22  3.107192E-25  6.088375E-30  1.000000E-30  1.815303E-27  5.849232E-28  5.630519E-18
     55  3.181357346897E-02  4.386291E-12  4.966718E-22  3.106224E-25  6.081042E-30  1.000000E-30  1.815303E-27  5.309161E-28  5.154456E-18
     56  3.217197145871E-02  6.512495E-12  4.966214E-22  3.105192E-25  6.073220E-30  1.000000E-30  1.815303E-27  4.815357E-28  4.707327E-18
     57  3.249951277145E-02  9.234617E-12  4.965753E-22  3.104248E-25  6.066080E-30  1.000000E-30  1.815303E-27  4.424651E-28  4.346959E-18
     58  3.262595809504E-02  1.053425E-11  4.965576E-22  3.103884E-25  6.063326E-30  1.000000E-30  1.815303E-27  4.286699E-28  4.218625E-18
     59  3.272641576722E-02  1.170463E-11  4.965435E-22  3.103594E-25  6.061138E-30  1.000000E-30  1.815303E-27  4.180425E-28  4.118314E-18
     60  3.304841700500E-02  1.628432E-11  4.964982E-22  3.102667E-25  6.054133E-30  1.000000E-30  1.815303E-27  3.864334E-28  3.818817E-18
     61  3.362823507679E-02  2.862072E-11  4.964167E-22  3.100998E-25  6.041539E-30  1.000000E-30  1.815303E-27  3.372682E-28  3.354007E-18
     62  3.417743618412E-02  4.707754E-11  4.963396E-22  3.099419E-25  6.029635E-30  1.000000E-30  1.815303E-27  2.976712E-28  2.986566E-18
     63  3.448472684867E-02  6.124950E-11  4.962964E-22  3.098535E-25  6.022984E-30  1.000000E-30  1.815303E-27  2.778152E-28  2.806406E-18
     64  3.459225947862E-02  6.705475E-11  4.962813E-22  3.098226E-25  6.020658E-30  1.000000E-30  1.815303E-27  2.711692E-28  2.746386E-18
     65  3.468161085917E-02  7.228660E-11  4.962687E-22  3.097969E-25  6.018726E-30  1.000000E-30  1.815303E-27  2.657397E-28  2.697228E-18
     66  3.501586344154E-02  9.505148E-11  4.962218E-22  3.097008E-25  6.011506E-30  1.000000E-30  1.815303E-27  2.463614E-28  2.524014E-18
     67  3.563385967804E-02  1.527541E-10  4.961350E-22  3.095233E-25  5.998178E-30  1.000000E-30  1.815303E-27  2.140453E-28  2.244455E-18
     68  3.619390900501E-02  2.262933E-10  4.960564E-22  3.093625E-25  5.986125E-30  1.000000E-30  1.815303E-27  1.882867E-28  2.031969E-18
     69  3.661379630041E-02  2.970123E-10  4.959974E-22  3.092420E-25  5.977105E-30  1.000000E-30  1.815303E-27  1.709333E-28  1.894252E-18
     70  3.704099468238E-02  3.841082E-10  4.959375E-22  3.091194E-25  5.967942E-30  1.000000E-30  1.815303E-27  1.548645E-28  1.770823E-18
     71  3.731378163516E-02  4.463512E-10  4.958992E-22  3.090412E-25  5.962098E-30  1.000000E-30  1.815303E-27  1.455023E-28  1.702126E-18
     72  3.757630769329E-02  5.098853E-10  4.958623E-22  3.089659E-25  5.956479E-30  1.000000E-30  1.815303E-27  1.371528E-28  1.643523E-18
     73  3.788075418501E-02  5.860060E-10  4.958196E-22  3.088786E-25  5.949970E-30  1.000000E-30  1.815303E-27  1.282757E-28  1.584849E-18
     74  3.819794660071E-02  6.649584E-10  4.957751E-22  3.087877E-25  5.943196E-30  1.000000E-30  1.815303E-27  1.199310E-28  1.534364E-18
     75  3.838080203158E-02  7.088152E-10  4.957494E-22  3.087353E-25  5.939294E-30  1.000000E-30  1.815303E-27  1.155270E-28  1.510171E-18
     76  3.859219912978E-02  7.580748E-10  4.957198E-22  3.086748E-25  5.934787E-30  1.000000E-30  1.815303E-27  1.107460E-28  1.485668E-18
     77  3.884096228080E-02  8.105127E-10  4.956849E-22  3.086035E-25  5.929487E-30  1.000000E-30  1.815303E-27  1.056020E-28  1.463113E-18
     78  3.907668434759E-02  8.528104E-10  4.956518E-22  3.085360E-25  5.924469E-30  1.000000E-30  1.815303E-27  1.011877E-28  1.448073E-18
     79  3.934936577490E-02  8.905596E-10  4.956135E-22  3.084580E-25  5.918670E-30  1.000000E-30  1.815303E-27  9.660774E-29  1.438457E-18
     80  3.961640452516E-02  9.140002E-10  4.955761E-22  3.083816E-25  5.912996E-30  1.000000E-30  1.815303E-27  9.263213E-29  1.437276E-18
     81  3.991996766101E-02  9.226104E-10  4.955335E-22  3.082947E-25  5.906553E-30  1.000000E-30  1.815303E-27  8.867580E-29  1.446165E-18
     82  4.019473378510E-02  9.129594E-10  4.954950E-22  3.082161E-25  5.900728E-30  1.000000E-30  1.815303E-27  8.556849E-29  1.464113E-18
     83  4.046928694587E-02  8.870080E-10  4.954565E-22  3.081376E-25  5.894912E-30  1.000000E-30  1.815303E-27  8.286661E-29  1.491946E-18
     84  4.074955599116E-02  8.438410E-10  4.954172E-22  3.080575E-25  5.888981E-30  1.000000E-30  1.815303E-27  8.050517E-29  1.532006E-18
     85  4.099011663524E-02  7.941956E-10  4.953834E-22  3.079887E-25  5.883896E-30  1.000000E-30  1.815303E-27  7.878428E-29  1.577199E-18
     86  4.118445936105E-02  7.466834E-10  4.953562E-22  3.079332E-25  5.879790E-30  1.000000E-30  1.815303E-27  7.758928E-29  1.621947E-18
     87  4.137235583218E-02  6.955300E-10  4.953299E-22  3.078795E-25  5.875824E-30  1.000000E-30  1.815303E-27  7.659310E-29  1.673071E-18
