 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ne19          ne20          ne21          ne22          ne23          ne24          ne25          ne26 
      1  0.000000000000E+00  1.441385E-26  6.728369E-24  8.367059E-25  3.055765E-25  4.436385E-27  2.022472E-28  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.642701E-26  6.743995E-24  8.389216E-25  3.055864E-25  4.435375E-27  2.021976E-28  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  2.233649E-26  6.824644E-24  8.504186E-25  3.061918E-25  4.430204E-27  2.019438E-28  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  2.546369E-26  7.051121E-24  8.829636E-25  3.101909E-25  4.416277E-27  2.012899E-28  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  2.608913E-26  7.559866E-24  9.577152E-25  3.200304E-25  4.390707E-27  2.008831E-28  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  2.733253E-26  8.457598E-24  1.109262E-24  3.308517E-25  4.387539E-27  2.128121E-28  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  2.881463E-26  9.378120E-24  1.486612E-24  3.373103E-25  4.629596E-27  3.116227E-28  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  2.946438E-26  8.708007E-24  2.534222E-24  3.869772E-25  5.848608E-27  6.946699E-28  1.327574E-30  1.000000E-30
      9  4.001734798240E-13  3.114393E-26  4.133861E-24  3.329503E-24  5.943252E-25  8.583622E-27  1.250748E-27  2.284587E-30  1.000000E-30
     10  1.150918682670E-12  2.322202E-26  5.773807E-25  2.472158E-24  5.342749E-25  7.308042E-27  1.041440E-27  2.621036E-30  1.012914E-30
     11  2.802808442389E-12  2.141366E-26  3.738921E-25  2.275793E-24  4.716168E-25  6.539444E-27  9.329989E-28  2.266339E-30  1.000000E-30
     12  6.912921996243E-12  2.138740E-26  3.727582E-25  2.272328E-24  4.617592E-25  5.595183E-27  8.920850E-28  2.056456E-30  1.093186E-30
     13  1.659368270033E-11  2.137635E-26  3.722309E-25  2.270043E-24  4.513678E-25  4.467390E-27  8.239316E-28  1.440376E-30  1.000000E-30
     14  1.134012897413E-10  2.126998E-26  3.701062E-25  2.255711E-24  4.479643E-25  4.370327E-27  8.132091E-28  1.367709E-30  1.000000E-30
     15  1.081477360150E-09  2.023592E-26  3.497113E-25  2.117944E-24  4.205382E-25  4.056495E-27  7.536707E-28  1.263655E-30  1.000000E-30
     16  1.076223806424E-08  1.235035E-26  2.001366E-25  1.136481E-24  2.256937E-25  1.985951E-27  3.581025E-28  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  7.315927E-28  5.354941E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  5.592275E-30  7.238410E-30  2.236875E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  7.948510E-30  9.043268E-30  2.153149E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  7.971476E-30  9.063425E-30  1.953373E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  8.129100E-30  9.251676E-30  1.896932E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  8.771211E-30  1.003949E-29  2.097507E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.838476E-30  1.884495E-29  2.285790E-29  5.650068E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  6.315448E-30  7.385795E-29  9.928514E-29  2.443976E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  2.079942E-29  2.768363E-28  4.115108E-28  1.055542E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.328558E-28  2.175112E-27  3.789318E-27  1.113159E-27  4.040517E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  6.256105E-28  1.226295E-26  2.451090E-26  8.130660E-27  3.217060E-29  3.282129E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.725756E-27  3.826080E-26  8.380396E-26  3.024366E-26  1.236344E-28  1.486001E-29  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  5.146933E-27  1.309723E-25  3.178896E-25  1.257712E-25  5.378155E-28  7.079079E-29  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.431336E-26  4.174462E-25  1.119258E-24  4.844930E-25  2.178157E-27  3.117476E-28  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  2.663931E-26  8.473238E-25  2.418992E-24  1.107640E-24  5.157564E-27  7.758679E-28  1.494819E-30  1.000000E-30
     33  8.451616658664E-03  4.311398E-26  1.470697E-24  4.416296E-24  2.115140E-24  1.015259E-26  1.587123E-27  3.133106E-30  1.000000E-30
     34  9.803471762980E-03  1.826001E-25  7.818207E-24  2.755840E-23  1.521265E-23  8.145551E-26  1.423028E-26  2.904323E-29  1.000000E-30
     35  1.116687552369E-02  6.802915E-25  3.699985E-23  1.536884E-22  9.796557E-23  5.996519E-25  1.154447E-25  2.435334E-28  1.000000E-30
