 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                la133         la134         la135         la136         la137         la138         la139         la140
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.313234E-30  1.038574E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.341459E-30  1.122907E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  2.552845E-30  2.810755E-30  2.080869E-30  1.487144E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.855514E-30  1.869311E-30  1.590044E-30  1.296234E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.961292E-30  2.246453E-30  2.050563E-30  1.801425E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  3.973274E-30  6.879840E-30  7.856483E-30  6.774581E-30  1.771122E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.151491E-30  3.336889E-30  5.036419E-30  6.132924E-30  3.739771E-30  2.127721E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  2.715081E-30  5.154790E-30  6.494982E-30  9.511540E-30  4.634348E-30  2.223651E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.132171E-30  1.644994E-30  2.239832E-30  1.430783E-30  1.041950E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.118676E-30  1.680603E-30  2.491578E-30  1.645624E-30  1.231211E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  1.156757E-30  1.796691E-30  2.679005E-30  1.817977E-30  1.414428E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.136367E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.140527E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  1.051860E-30  1.736189E-30  2.854971E-30  2.047347E-30  1.684056E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  1.225667E-30  2.154573E-30  3.458690E-30  2.461531E-30  2.217221E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  1.143882E-30  2.024264E-30  3.417768E-30  2.524043E-30  2.337325E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  1.198529E-30  2.308949E-30  4.072611E-30  3.366746E-30  3.352836E-30  1.204367E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  1.113912E-30  2.119908E-30  4.000501E-30  3.148804E-30  2.880459E-30  1.074130E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.572753E-30  1.312013E-30  1.301809E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.281603E-30  1.082329E-30  1.089029E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.000000E-30  1.066514E-30  2.239927E-30  4.336987E-30  3.775396E-30  3.922000E-30  1.540567E-30  1.000000E-30
     61  3.362823507679E-02  1.000000E-30  1.848118E-30  4.038450E-30  8.425018E-30  8.184054E-30  9.443420E-30  4.245903E-30  1.000000E-30
     62  3.417743618412E-02  1.000000E-30  1.713691E-30  3.850745E-30  8.583816E-30  8.935072E-30  1.109858E-29  5.322448E-30  1.000000E-30
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  2.221860E-30  5.320773E-30  5.645744E-30  7.325660E-30  3.510670E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.864503E-30  1.902596E-30  2.365362E-30  1.119645E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.570144E-30  1.620677E-30  2.040414E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  2.441361E-30  6.007753E-30  6.576788E-30  8.573784E-30  4.315413E-30  1.000000E-30
     67  3.563385967804E-02  1.000000E-30  1.715178E-30  4.389760E-30  1.147090E-29  1.373536E-29  2.070044E-29  1.143289E-29  1.503200E-30
     68  3.619390900501E-02  1.000000E-30  1.455159E-30  4.057478E-30  1.073492E-29  1.281240E-29  1.960291E-29  1.069856E-29  1.467812E-30
     69  3.661379630041E-02  1.000000E-30  1.021655E-30  2.965785E-30  8.618648E-30  1.105255E-29  1.791034E-29  1.118492E-29  1.595239E-30
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  3.008743E-30  9.070706E-30  1.238700E-29  2.011379E-29  1.319222E-29  1.938712E-30
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.896515E-30  6.065953E-30  8.574459E-30  1.453373E-29  9.662245E-30  1.461999E-30
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.800326E-30  5.882186E-30  8.202865E-30  1.458722E-29  9.659865E-30  1.489954E-30
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  2.058157E-30  6.781631E-30  9.908870E-30  1.841128E-29  1.288324E-29  2.026820E-30
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  2.084650E-30  7.128092E-30  1.079606E-29  2.077267E-29  1.511749E-29  2.508268E-30
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.150503E-30  4.203073E-30  6.813180E-30  1.329726E-29  9.952109E-30  1.639984E-30
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.301056E-30  4.935811E-30  7.824011E-30  1.583746E-29  1.218911E-29  2.037129E-30
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.505261E-30  5.707577E-30  9.386437E-30  1.969113E-29  1.572681E-29  2.688286E-30
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.366321E-30  5.487748E-30  9.209399E-30  1.978994E-29  1.620632E-29  2.791615E-30
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.548029E-30  6.198537E-30  1.089561E-29  2.437485E-29  2.084486E-29  3.792439E-30
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.452749E-30  6.084611E-30  1.097894E-29  2.524162E-29  2.223102E-29  4.168028E-30
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.587041E-30  6.760534E-30  1.281816E-29  3.081327E-29  2.843022E-29  5.371525E-30
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.358648E-30  6.149002E-30  1.191013E-29  2.944257E-29  2.798593E-29  5.477684E-30
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.274862E-30  6.007878E-30  1.227425E-29  3.170575E-29  3.207204E-29  6.302684E-30
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.243706E-30  6.133744E-30  1.287648E-29  3.369669E-29  3.407792E-29  6.922376E-30
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.019331E-30  5.040785E-30  1.111719E-29  3.096982E-29  3.355046E-29  6.788084E-30
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.042045E-30  9.093305E-30  2.583716E-29  2.857651E-29  5.844744E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.839268E-30  8.887899E-30  2.595164E-29  2.957934E-29  6.191967E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.167973E-30  7.407488E-30  2.191514E-29  2.535599E-29  5.351944E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.690172E-30  6.376093E-30  1.915945E-29  2.255986E-29  4.824476E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.478091E-30  1.082730E-29  3.329889E-29  4.012074E-29  8.807321E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.748565E-30  9.750758E-30  3.031979E-29  3.677528E-29  8.363057E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.313730E-30  1.115985E-29  3.595831E-29  4.554355E-29  1.041276E-29
