 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge64          ge65          ge66          ge67          ge68          ge69          ge70          ge71 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.030828E-30  1.064767E-30  1.061499E-30  1.121799E-30  1.162638E-30  1.210165E-30  1.132760E-30  1.063480E-30
      3  6.264265632874E-16  1.135032E-30  1.338323E-30  1.346151E-30  1.680625E-30  2.023944E-30  2.583344E-30  2.147954E-30  1.660094E-30
      4  2.206990590178E-15  1.171024E-30  1.532506E-30  1.554821E-30  2.139787E-30  3.277539E-30  5.942890E-30  6.466275E-30  5.912234E-30
      5  6.425069294186E-15  1.172959E-30  1.542618E-30  1.569488E-30  2.168065E-30  3.599810E-30  8.362224E-30  1.611511E-29  2.275422E-29
      6  1.724777641531E-14  1.167467E-30  1.524695E-30  1.550188E-30  2.139728E-30  3.682800E-30  9.737946E-30  3.003429E-29  5.838798E-29
      7  4.527785414179E-14  1.214508E-30  1.581830E-30  1.583506E-30  2.258758E-30  3.568033E-30  1.108548E-29  5.060353E-29  1.270271E-28
      8  1.231582592127E-13  1.090389E-30  1.394582E-30  1.472911E-30  2.243567E-30  4.043972E-30  1.572521E-29  1.015713E-28  2.880932E-28
      9  4.001734798240E-13  1.602540E-30  1.792759E-30  1.796788E-30  2.573075E-30  5.022374E-30  2.975908E-29  2.485061E-28  7.700663E-28
     10  1.150918682670E-12  1.260081E-30  1.664076E-30  1.686654E-30  2.044753E-30  4.670344E-30  3.239954E-29  3.069944E-28  9.803268E-28
     11  2.802808442389E-12  1.000000E-30  1.035541E-30  1.060407E-30  1.347431E-30  2.828790E-30  2.251080E-29  2.189424E-28  7.011479E-28
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.539346E-30  1.256051E-29  1.258041E-28  4.047717E-28
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.284833E-30  2.388303E-29
