 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sc41          sc42          sc43          sc44          sc45          sc46          sc47          sc48 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.065123E-30  1.077866E-30  1.189327E-30  1.080126E-30  1.116917E-30  1.011813E-30  1.009235E-30  1.001700E-30
      3  6.264265632874E-16  1.273822E-30  1.363102E-30  2.048188E-30  1.743525E-30  2.079482E-30  1.151826E-30  1.081916E-30  1.014794E-30
      4  2.206990590178E-15  1.364803E-30  1.559595E-30  3.235509E-30  3.999412E-30  6.561658E-30  2.369448E-30  1.684200E-30  1.133907E-30
      5  6.425069294186E-15  1.369492E-30  1.576494E-30  3.588128E-30  6.091470E-30  1.829513E-29  9.053007E-30  6.342800E-30  2.394167E-30
      6  1.724777641531E-14  1.362843E-30  1.560694E-30  3.694972E-30  6.741683E-30  3.766299E-29  2.823051E-29  3.068044E-29  1.230398E-29
      7  4.527785414179E-14  1.454449E-30  1.592631E-30  4.076715E-30  7.443074E-30  6.013083E-29  5.782855E-29  1.231954E-28  7.100923E-29
      8  1.231582592127E-13  1.199848E-30  1.404718E-30  4.146003E-30  9.428541E-30  1.121928E-28  1.431176E-28  5.183117E-28  3.627842E-28
      9  4.001734798240E-13  1.615821E-30  2.024727E-30  8.442358E-30  2.755319E-29  4.642682E-28  7.172570E-28  3.289477E-27  2.317208E-27
     10  1.150918682670E-12  1.476411E-30  1.876512E-30  1.770224E-29  7.351945E-29  1.448516E-27  2.302750E-27  1.065823E-26  6.887829E-27
     11  2.802808442389E-12  1.000000E-30  1.233886E-30  1.084277E-29  4.586861E-29  8.998877E-28  1.436026E-27  6.664432E-27  4.343033E-27
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  7.039385E-30  3.097948E-29  6.083302E-28  9.696491E-28  4.487326E-27  2.875242E-27
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  2.427102E-30  4.787112E-29  7.537882E-29  3.456568E-28  2.144288E-28
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.166008E-30  1.147367E-29  5.337918E-29  3.426136E-29
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.978923E-30  4.772355E-30  2.222720E-29  1.424610E-29
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.628757E-30  1.680084E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.264016E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
