 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                lu179         lu180         lu181         lu182         lu183         lu184         lu185         lu186
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.002482E-30  1.000000E-30  1.000000E-30  1.000628E-30  1.000000E-30  1.000384E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.015412E-30  1.000000E-30  1.000000E-30  1.003907E-30  1.000000E-30  1.002389E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.052890E-30  1.000000E-30  1.000000E-30  1.013502E-30  1.000000E-30  1.008280E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.143715E-30  1.000000E-30  1.000000E-30  1.037366E-30  1.000000E-30  1.023074E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.325688E-30  1.000000E-30  1.000000E-30  1.088448E-30  1.000000E-30  1.055544E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.579527E-30  1.000000E-30  1.000000E-30  1.172305E-30  1.000000E-30  1.112207E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.732805E-30  1.000000E-30  1.000000E-30  1.246904E-30  1.000000E-30  1.169793E-30  1.000000E-30  1.000000E-30
      9  4.001734798240E-13  1.746007E-30  1.000000E-30  1.000000E-30  1.269336E-30  1.000000E-30  1.185185E-30  1.000000E-30  1.000000E-30
     10  1.150918682670E-12  1.751106E-30  1.002609E-30  1.000169E-30  1.271327E-30  1.000000E-30  1.185291E-30  1.000111E-30  1.000000E-30
     11  2.802808442389E-12  1.737767E-30  1.000000E-30  1.000000E-30  1.272246E-30  1.003882E-30  1.185802E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.677200E-30  1.000000E-30  1.008273E-30  1.231006E-30  1.000000E-30  1.181576E-30  1.000000E-30  1.000000E-30
