 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
     41  1.871872199221E-02  2.494395E-30  2.570263E-29  4.683648E-29  1.153103E-28  5.985318E-29  4.159893E-29  9.041920E-30  3.698938E-30
     42  2.131412024987E-02  1.275271E-28  1.241790E-27  2.097754E-27  5.704828E-27  4.774478E-27  1.138269E-26  6.839328E-27  6.572468E-27
     43  2.288535686070E-02  2.040467E-27  3.872469E-26  1.157103E-25  5.441843E-25  4.632399E-25  6.163713E-25  2.012920E-25  4.701936E-26
     44  2.437102778700E-02  1.535543E-26  3.304263E-25  1.066950E-24  5.835310E-24  5.923621E-24  1.165751E-23  6.485562E-24  6.606514E-24
     45  2.666254430666E-02  4.321648E-25  1.231897E-23  4.834901E-23  3.317196E-22  3.887557E-22  8.791423E-22  5.530137E-22  7.254570E-22
     46  2.807329513827E-02  3.932772E-24  1.417772E-22  6.608870E-22  5.794046E-21  8.105134E-21  2.169739E-20  1.449557E-20  1.568961E-20
     47  2.946719119355E-02  3.049750E-23  1.304561E-21  6.945535E-21  7.339521E-20  1.184532E-19  3.730321E-19  2.782009E-19  3.161229E-19
     48  2.982466835475E-02  5.149089E-23  2.298118E-21  1.263970E-20  1.412488E-19  2.434535E-19  8.807045E-19  7.783169E-19  1.301054E-18
     49  3.017238950627E-02  8.559682E-23  3.979278E-21  2.261683E-20  2.644879E-19  4.724401E-19  1.787962E-18  1.641153E-18  2.892697E-18
     50  3.052509122072E-02  1.416113E-22  6.862924E-21  4.036530E-20  4.953531E-19  9.195708E-19  3.653939E-18  3.490011E-18  6.462344E-18
     51  3.066477686677E-02  1.722193E-22  8.483394E-21  5.057707E-20  6.326045E-19  1.192353E-18  4.829748E-18  4.685955E-18  8.847807E-18
     52  3.080037159611E-02  2.082382E-22  1.042133E-20  6.295685E-20  8.022294E-19  1.534681E-18  6.334271E-18  6.240521E-18  1.201028E-17
     53  3.111325257314E-02  3.207062E-22  1.664472E-20  1.036782E-19  1.379340E-18  2.731055E-18  1.177394E-17  1.201835E-17  2.417720E-17
     54  3.147800645819E-02  5.218228E-22  2.824897E-20  1.823907E-19  2.552400E-18  5.261476E-18  2.386955E-17  2.539670E-17  5.380822E-17
     55  3.181357346897E-02  8.027367E-22  4.516681E-20  3.014754E-19  4.421012E-18  9.459162E-18  4.498306E-17  4.972829E-17  1.105278E-16
     56  3.217197145871E-02  1.248546E-21  7.320284E-20  5.063891E-19  7.809129E-18  1.738969E-17  8.698374E-17  1.001849E-16  2.344044E-16
     57  3.249951277145E-02  1.839916E-21  1.120114E-19  8.007590E-19  1.293327E-17  2.987673E-17  1.565402E-16  1.872066E-16  4.591432E-16
     58  3.262595809504E-02  2.129045E-21  1.315113E-19  9.522186E-19  1.565740E-17  3.668631E-17  1.956950E-16  2.374522E-16  5.930617E-16
     59  3.272641576722E-02  2.391246E-21  1.494313E-19  1.093020E-18  1.823158E-17  4.320419E-17  2.337903E-16  2.869832E-16  7.272900E-16
     60  3.304841700500E-02  3.442624E-21  2.233066E-19  1.687714E-18  2.947816E-17  7.244659E-17  4.105267E-16  5.230570E-16  1.389144E-15
     61  3.362823507679E-02  6.450864E-21  4.476484E-19  3.590184E-18  6.816517E-17  1.789201E-16  1.101978E-15  1.501783E-15  4.342320E-15
