 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.175192E-30  2.977341E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.163463E-29  3.343509E-29  4.175372E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  7.950151E-29  2.594453E-28  4.024958E-29  8.174857E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  2.812920E-28  1.019691E-27  1.694580E-28  3.680326E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.102650E-27  4.522505E-27  8.057087E-28  1.890091E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  3.988711E-27  1.858590E-26  3.521817E-27  8.915292E-28  4.244788E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  8.741344E-27  4.430110E-26  8.699251E-27  2.310174E-27  1.132508E-29  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.610726E-26  8.753611E-26  1.765708E-26  4.872950E-27  2.446535E-29  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.023178E-25  7.038242E-25  1.527862E-25  4.763384E-26  2.598905E-28  7.493440E-30  1.000000E-30  1.000000E-30
