 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                se86          se87          se88          se89          se90          se91          se92          se93 
     87  4.137235583218E-02  4.758920E-25  2.111492E-26  7.951658E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  8.183817E-25  3.670090E-26  1.397237E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  1.299343E-24  5.880634E-26  2.259844E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  2.842678E-24  1.306792E-25  5.102615E-28  2.141723E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  5.569032E-24  2.595027E-25  1.027459E-27  4.344696E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  1.213110E-23  5.742499E-25  2.310778E-27  9.866502E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  2.451934E-23  1.177398E-24  4.808309E-27  2.071245E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  5.311074E-23  2.590829E-24  1.075443E-26  4.677960E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  1.040061E-22  5.143597E-24  2.165669E-26  9.500570E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  2.224902E-22  1.117473E-23  4.781376E-26  2.117784E-28  1.062766E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  4.855848E-22  2.477845E-23  1.077894E-25  4.821588E-28  2.464161E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  1.076184E-21  5.579903E-23  2.468236E-25  1.115130E-27  5.799343E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  2.355978E-21  1.240611E-22  5.577744E-25  2.544504E-27  1.345948E-29  1.000000E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  5.583510E-21  2.989693E-22  1.368023E-24  6.306464E-27  3.397708E-29  1.000000E-30  1.000000E-30  1.000000E-30
