 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                n14           n15           n16           n17           n18           n19           n20           n21  
    178  5.927019313219E-02  3.858768E-15  1.104600E-10  7.311014E-22  2.456399E-24  8.422157E-28  1.130846E-30  1.000000E-30  1.000000E-30
    179  5.955970264735E-02  3.580366E-15  1.162281E-10  7.310810E-22  2.456281E-24  8.419471E-28  1.130009E-30  1.000000E-30  1.000000E-30
    180  5.987296131417E-02  3.294037E-15  1.227464E-10  7.310588E-22  2.456153E-24  8.416566E-28  1.129104E-30  1.000000E-30  1.000000E-30
    181  6.018239261751E-02  3.027521E-15  1.294558E-10  7.310369E-22  2.456027E-24  8.413696E-28  1.128211E-30  1.000000E-30  1.000000E-30
    182  6.051941164510E-02  2.755759E-15  1.370726E-10  7.310130E-22  2.455890E-24  8.410573E-28  1.127239E-30  1.000000E-30  1.000000E-30
    183  6.081686890997E-02  2.531785E-15  1.440651E-10  7.309920E-22  2.455768E-24  8.407816E-28  1.126381E-30  1.000000E-30  1.000000E-30
    184  6.107970107709E-02  2.346036E-15  1.504554E-10  7.309734E-22  2.455661E-24  8.405382E-28  1.125625E-30  1.000000E-30  1.000000E-30
    185  6.149099227918E-02  2.077312E-15  1.608657E-10  7.309442E-22  2.455493E-24  8.401574E-28  1.124441E-30  1.000000E-30  1.000000E-30
    186  6.184187848266E-02  1.867895E-15  1.701640E-10  7.309194E-22  2.455350E-24  8.398326E-28  1.123432E-30  1.000000E-30  1.000000E-30
    187  6.212841772032E-02  1.710290E-15  1.780250E-10  7.308991E-22  2.455233E-24  8.395675E-28  1.122609E-30  1.000000E-30  1.000000E-30
    188  6.241083345826E-02  1.566203E-15  1.860058E-10  7.308791E-22  2.455118E-24  8.393063E-28  1.121799E-30  1.000000E-30  1.000000E-30
    189  6.286334795077E-02  1.357265E-15  1.992707E-10  7.308471E-22  2.454934E-24  8.388879E-28  1.120501E-30  1.000000E-30  1.000000E-30
    190  6.324448148531E-02  1.200762E-15  2.108945E-10  7.308201E-22  2.454778E-24  8.385357E-28  1.119409E-30  1.000000E-30  1.000000E-30
    191  6.354755735680E-02  1.087666E-15  2.204586E-10  7.307987E-22  2.454655E-24  8.382557E-28  1.118542E-30  1.000000E-30  1.000000E-30
    192  6.382753282149E-02  9.916919E-16  2.295338E-10  7.307789E-22  2.454541E-24  8.379972E-28  1.117741E-30  1.000000E-30  1.000000E-30
    193  6.429792763326E-02  8.476513E-16  2.452710E-10  7.307456E-22  2.454349E-24  8.375630E-28  1.116397E-30  1.000000E-30  1.000000E-30
    194  6.470641913937E-02  7.385065E-16  2.594247E-10  7.307167E-22  2.454182E-24  8.371861E-28  1.115231E-30  1.000000E-30  1.000000E-30
    195  6.514351188605E-02  6.363628E-16  2.750619E-10  7.306858E-22  2.454004E-24  8.367830E-28  1.113985E-30  1.000000E-30  1.000000E-30
    196  6.551961572666E-02  5.590393E-16  2.889624E-10  7.306592E-22  2.453851E-24  8.364363E-28  1.112914E-30  1.000000E-30  1.000000E-30
    197  6.614173306661E-02  4.503258E-16  3.127955E-10  7.306151E-22  2.453597E-24  8.358632E-28  1.111145E-30  1.000000E-30  1.000000E-30
    198  6.666431851744E-02  3.751274E-16  3.335810E-10  7.305782E-22  2.453384E-24  8.353820E-28  1.109660E-30  1.000000E-30  1.000000E-30
    199  6.714973898932E-02  3.164519E-16  3.535050E-10  7.305438E-22  2.453187E-24  8.349354E-28  1.108284E-30  1.000000E-30  1.000000E-30
    200  6.763365269933E-02  2.668532E-16  3.740404E-10  7.305096E-22  2.452989E-24  8.344903E-28  1.106913E-30  1.000000E-30  1.000000E-30
    201  6.810748363549E-02  2.259097E-16  3.947248E-10  7.304761E-22  2.452796E-24  8.340548E-28  1.105572E-30  1.000000E-30  1.000000E-30
    202  6.886988901479E-02  1.731666E-16  4.291887E-10  7.304222E-22  2.452486E-24  8.333545E-28  1.103418E-30  1.000000E-30  1.000000E-30
    203  6.932442343830E-02  1.479967E-16  4.504810E-10  7.303900E-22  2.452301E-24  8.329372E-28  1.102136E-30  1.000000E-30  1.000000E-30
    204  6.977291475786E-02  1.269326E-16  4.720554E-10  7.303583E-22  2.452118E-24  8.325258E-28  1.100873E-30  1.000000E-30  1.000000E-30
    205  7.051837306122E-02  9.888716E-17  5.090747E-10  7.303056E-22  2.451814E-24  8.318423E-28  1.098775E-30  1.000000E-30  1.000000E-30
    206  7.120724846930E-02  7.909390E-17  5.446326E-10  7.302569E-22  2.451534E-24  8.312112E-28  1.096841E-30  1.000000E-30  1.000000E-30
    207  7.185571854523E-02  6.456530E-17  5.793826E-10  7.302110E-22  2.451270E-24  8.306175E-28  1.095023E-30  1.000000E-30  1.000000E-30
    208  7.250556240022E-02  5.319110E-17  6.153705E-10  7.301651E-22  2.451005E-24  8.300230E-28  1.093205E-30  1.000000E-30  1.000000E-30
    209  7.308358088908E-02  4.516781E-17  6.484040E-10  7.301242E-22  2.450770E-24  8.294946E-28  1.091590E-30  1.000000E-30  1.000000E-30
    210  7.365083251161E-02  3.879219E-17  6.818334E-10  7.300841E-22  2.450539E-24  8.289764E-28  1.090007E-30  1.000000E-30  1.000000E-30
    211  7.420607479025E-02  3.374635E-17  7.154257E-10  7.300448E-22  2.450313E-24  8.284694E-28  1.088460E-30  1.000000E-30  1.000000E-30
    212  7.477269193766E-02  2.958301E-17  7.505686E-10  7.300048E-22  2.450083E-24  8.279524E-28  1.086884E-30  1.000000E-30  1.000000E-30
    213  7.532671922740E-02  2.626671E-17  7.858639E-10  7.299656E-22  2.449857E-24  8.274472E-28  1.085345E-30  1.000000E-30  1.000000E-30
    214  7.590819975934E-02  2.346046E-17  8.237409E-10  7.299245E-22  2.449620E-24  8.269173E-28  1.083732E-30  1.000000E-30  1.000000E-30
    215  7.648106882397E-02  2.125443E-17  8.617650E-10  7.298840E-22  2.449387E-24  8.263956E-28  1.082145E-30  1.000000E-30  1.000000E-30
    216  7.706864365518E-02  1.945461E-17  9.014444E-10  7.298425E-22  2.449148E-24  8.258608E-28  1.080520E-30  1.000000E-30  1.000000E-30
    217  7.765097184480E-02  1.805379E-17  9.412728E-10  7.298013E-22  2.448911E-24  8.253312E-28  1.078912E-30  1.000000E-30  1.000000E-30
    218  7.824188421090E-02  1.696782E-17  9.818759E-10  7.297596E-22  2.448671E-24  8.247940E-28  1.077282E-30  1.000000E-30  1.000000E-30
    219  7.883216312169E-02  1.616465E-17  1.022388E-09  7.297179E-22  2.448431E-24  8.242579E-28  1.075657E-30  1.000000E-30  1.000000E-30
    220  7.934760137230E-02  1.565532E-17  1.057571E-09  7.296814E-22  2.448221E-24  8.237899E-28  1.074240E-30  1.000000E-30  1.000000E-30
    221  7.991019390762E-02  1.528383E-17  1.095363E-09  7.296417E-22  2.447993E-24  8.232795E-28  1.072695E-30  1.000000E-30  1.000000E-30
    222  8.044081450283E-02  1.508931E-17  1.130150E-09  7.296042E-22  2.447777E-24  8.227984E-28  1.071241E-30  1.000000E-30  1.000000E-30
    223  8.103419684334E-02  1.502756E-17  1.167882E-09  7.295623E-22  2.447536E-24  8.222607E-28  1.069616E-30  1.000000E-30  1.000000E-30
    224  8.158988408622E-02  1.511206E-17  1.201692E-09  7.295230E-22  2.447310E-24  8.217575E-28  1.068097E-30  1.000000E-30  1.000000E-30
    225  8.219791245697E-02  1.535635E-17  1.236538E-09  7.294801E-22  2.447063E-24  8.212073E-28  1.066437E-30  1.000000E-30  1.000000E-30
    226  8.273529679330E-02  1.569784E-17  1.265196E-09  7.294421E-22  2.446844E-24  8.207212E-28  1.064972E-30  1.000000E-30  1.000000E-30
    227  8.327310875316E-02  1.615068E-17  1.291565E-09  7.294041E-22  2.446626E-24  8.202351E-28  1.063508E-30  1.000000E-30  1.000000E-30
    228  8.381967664174E-02  1.671283E-17  1.315461E-09  7.293655E-22  2.446404E-24  8.197414E-28  1.062022E-30  1.000000E-30  1.000000E-30
    229  8.442137901789E-02  1.742646E-17  1.337793E-09  7.293230E-22  2.446159E-24  8.191982E-28  1.060389E-30  1.000000E-30  1.000000E-30
    230  8.496109010092E-02  1.812584E-17  1.353840E-09  7.292849E-22  2.445940E-24  8.187113E-28  1.058927E-30  1.000000E-30  1.000000E-30
    231  8.556251684447E-02  1.893987E-17  1.366259E-09  7.292424E-22  2.445696E-24  8.181691E-28  1.057299E-30  1.000000E-30  1.000000E-30
    232  8.609514523980E-02  1.966426E-17  1.371654E-09  7.292048E-22  2.445479E-24  8.176892E-28  1.055859E-30  1.000000E-30  1.000000E-30
    233  8.668730402486E-02  2.044650E-17  1.370630E-09  7.291630E-22  2.445239E-24  8.171559E-28  1.054261E-30  1.000000E-30  1.000000E-30
    234  8.725638446658E-02  2.115126E-17  1.361761E-09  7.291228E-22  2.445008E-24  8.166438E-28  1.052728E-30  1.000000E-30  1.000000E-30
    235  8.784892152766E-02  2.181202E-17  1.343371E-09  7.290810E-22  2.444767E-24  8.161110E-28  1.051134E-30  1.000000E-30  1.000000E-30
    236  8.837914431516E-02  2.232509E-17  1.318463E-09  7.290435E-22  2.444552E-24  8.156344E-28  1.049709E-30  1.000000E-30  1.000000E-30
    237  8.927467123273E-02  2.299708E-17  1.257554E-09  7.289803E-22  2.444188E-24  8.148302E-28  1.047308E-30  1.000000E-30  1.000000E-30
    238  9.009385267910E-02  2.337789E-17  1.181478E-09  7.289225E-22  2.443856E-24  8.140952E-28  1.045115E-30  1.000000E-30  1.000000E-30
    239  9.088007009323E-02  2.353977E-17  1.092089E-09  7.288670E-22  2.443536E-24  8.133905E-28  1.043016E-30  1.000000E-30  1.000000E-30
    240  9.160938796651E-02  2.353253E-17  9.978637E-10  7.288155E-22  2.443240E-24  8.127373E-28  1.041072E-30  1.000000E-30  1.000000E-30
    241  9.231864750676E-02  2.341406E-17  8.992696E-10  7.287654E-22  2.442953E-24  8.121026E-28  1.039185E-30  1.000000E-30  1.000000E-30
    242  9.335415502949E-02  2.312888E-17  7.506413E-10  7.286924E-22  2.442532E-24  8.111768E-28  1.036437E-30  1.000000E-30  1.000000E-30
    243  9.429165011748E-02  2.285363E-17  6.197747E-10  7.286262E-22  2.442152E-24  8.103395E-28  1.033954E-30  1.000000E-30  1.000000E-30
    244  9.514750284226E-02  2.266596E-17  5.091791E-10  7.285658E-22  2.441805E-24  8.095760E-28  1.031693E-30  1.000000E-30  1.000000E-30
    245  9.592869681963E-02  2.259231E-17  4.188425E-10  7.285107E-22  2.441488E-24  8.088796E-28  1.029634E-30  1.000000E-30  1.000000E-30
    246  9.638259128200E-02  2.260282E-17  3.714382E-10  7.284787E-22  2.441304E-24  8.084753E-28  1.028439E-30  1.000000E-30  1.000000E-30
    247  9.686466198075E-02  2.266092E-17  3.254500E-10  7.284447E-22  2.441109E-24  8.080461E-28  1.027172E-30  1.000000E-30  1.000000E-30
    248  9.745016881397E-02  2.279960E-17  2.755990E-10  7.284034E-22  2.440871E-24  8.075252E-28  1.025635E-30  1.000000E-30  1.000000E-30
    249  9.798964068785E-02  2.299441E-17  2.352513E-10  7.283653E-22  2.440653E-24  8.070455E-28  1.024221E-30  1.000000E-30  1.000000E-30
    250  9.892639389759E-02  2.348546E-17  1.768369E-10  7.282993E-22  2.440273E-24  8.062132E-28  1.021770E-30  1.000000E-30  1.000000E-30
    251  9.977784733458E-02  2.409640E-17  1.352246E-10  7.282392E-22  2.439928E-24  8.054574E-28  1.019547E-30  1.000000E-30  1.000000E-30
    252  1.005622893962E-01  2.479510E-17  1.048873E-10  7.281839E-22  2.439610E-24  8.047618E-28  1.017503E-30  1.000000E-30  1.000000E-30
    253  1.013070552067E-01  2.557428E-17  8.207533E-11  7.281314E-22  2.439308E-24  8.041019E-28  1.015567E-30  1.000000E-30  1.000000E-30
    254  1.019791947326E-01  2.637276E-17  6.559257E-11  7.280840E-22  2.439036E-24  8.035068E-28  1.013822E-30  1.000000E-30  1.000000E-30
    255  1.025982572428E-01  2.718607E-17  5.325067E-11  7.280403E-22  2.438785E-24  8.029591E-28  1.012218E-30  1.000000E-30  1.000000E-30
    256  1.032644197032E-01  2.814447E-17  4.251594E-11  7.279933E-22  2.438515E-24  8.023702E-28  1.010495E-30  1.000000E-30  1.000000E-30
    257  1.039121745974E-01  2.915855E-17  3.413888E-11  7.279477E-22  2.438253E-24  8.017980E-28  1.008822E-30  1.000000E-30  1.000000E-30
    258  1.045193471709E-01  3.018375E-17  2.779191E-11  7.279049E-22  2.438007E-24  8.012619E-28  1.007257E-30  1.000000E-30  1.000000E-30
    259  1.051181778144E-01  3.126538E-17  2.271643E-11  7.278627E-22  2.437765E-24  8.007336E-28  1.005715E-30  1.000000E-30  1.000000E-30
    260  1.056826419982E-01  3.235257E-17  1.881239E-11  7.278229E-22  2.437536E-24  8.002360E-28  1.004264E-30  1.000000E-30  1.000000E-30
    261  1.062431336111E-01  3.349741E-17  1.562509E-11  7.277834E-22  2.437309E-24  7.997421E-28  1.002826E-30  1.000000E-30  1.000000E-30
    262  1.068146627648E-01  3.473421E-17  1.297002E-11  7.277431E-22  2.437078E-24  7.992389E-28  1.001361E-30  1.000000E-30  1.000000E-30
    263  1.073656177930E-01  3.599435E-17  1.087873E-11  7.277043E-22  2.436855E-24  7.987540E-28  1.000000E-30  1.000000E-30  1.000000E-30
    264  1.079139362418E-01  3.731881E-17  9.165333E-12  7.276656E-22  2.436633E-24  7.982718E-28  1.000000E-30  1.000000E-30  1.000000E-30
    265  1.084202130578E-01  3.860284E-17  7.858086E-12  7.276299E-22  2.436428E-24  7.978268E-28  1.000000E-30  1.000000E-30  1.000000E-30
    266  1.089957947327E-01  4.013681E-17  6.637289E-12  7.275894E-22  2.436195E-24  7.973212E-28  1.000000E-30  1.000000E-30  1.000000E-30
    267  1.095139929398E-01  4.158779E-17  5.735952E-12  7.275529E-22  2.435985E-24  7.968663E-28  1.000000E-30  1.000000E-30  1.000000E-30
    268  1.100036617482E-01  4.302046E-17  5.024440E-12  7.275184E-22  2.435787E-24  7.964366E-28  1.000000E-30  1.000000E-30  1.000000E-30
    269  1.105581599754E-01  4.471457E-17  4.357997E-12  7.274793E-22  2.435563E-24  7.959504E-28  1.000000E-30  1.000000E-30  1.000000E-30
    270  1.111738162549E-01  4.668860E-17  3.759412E-12  7.274359E-22  2.435314E-24  7.954109E-28  1.000000E-30  1.000000E-30  1.000000E-30
    271  1.117276452796E-01  4.855450E-17  3.321551E-12  7.273969E-22  2.435090E-24  7.949259E-28  1.000000E-30  1.000000E-30  1.000000E-30
    272  1.122547306619E-01  5.041037E-17  2.977730E-12  7.273598E-22  2.434877E-24  7.944646E-28  1.000000E-30  1.000000E-30  1.000000E-30
    273  1.128196390807E-01  5.249084E-17  2.674151E-12  7.273200E-22  2.434648E-24  7.939704E-28  1.000000E-30  1.000000E-30  1.000000E-30
    274  1.134172103791E-01  5.480552E-17  2.411655E-12  7.272779E-22  2.434407E-24  7.934481E-28  1.000000E-30  1.000000E-30  1.000000E-30
    275  1.139661173569E-01  5.703972E-17  2.213036E-12  7.272392E-22  2.434185E-24  7.929686E-28  1.000000E-30  1.000000E-30  1.000000E-30
    276  1.145721141816E-01  5.963306E-17  2.032637E-12  7.271965E-22  2.433940E-24  7.924395E-28  1.000000E-30  1.000000E-30  1.000000E-30
    277  1.151138636995E-01  6.207015E-17  1.899249E-12  7.271584E-22  2.433721E-24  7.919669E-28  1.000000E-30  1.000000E-30  1.000000E-30
    278  1.160623872824E-01  6.663224E-17  1.713307E-12  7.270916E-22  2.433337E-24  7.911400E-28  1.000000E-30  1.000000E-30  1.000000E-30
    279  1.166131253687E-01  6.945918E-17  1.627455E-12  7.270528E-22  2.433115E-24  7.906603E-28  1.000000E-30  1.000000E-30  1.000000E-30
    280  1.171578902390E-01  7.239408E-17  1.554837E-12  7.270145E-22  2.432895E-24  7.901861E-28  1.000000E-30  1.000000E-30  1.000000E-30
    281  1.179966344325E-01  7.720428E-17  1.461445E-12  7.269554E-22  2.432556E-24  7.894566E-28  1.000000E-30  1.000000E-30  1.000000E-30
    282  1.184626561866E-01  8.003505E-17  1.417453E-12  7.269226E-22  2.432367E-24  7.890515E-28  1.000000E-30  1.000000E-30  1.000000E-30
    283  1.189221956404E-01  8.294328E-17  1.378538E-12  7.268902E-22  2.432182E-24  7.886523E-28  1.000000E-30  1.000000E-30  1.000000E-30
    284  1.197605220964E-01  8.857676E-17  1.316461E-12  7.268312E-22  2.431843E-24  7.879245E-28  1.000000E-30  1.000000E-30  1.000000E-30
    285  1.205341475296E-01  9.416592E-17  1.267496E-12  7.267768E-22  2.431531E-24  7.872536E-28  1.000000E-30  1.000000E-30  1.000000E-30
    286  1.212540834288E-01  9.973586E-17  1.227343E-12  7.267261E-22  2.431240E-24  7.866297E-28  1.000000E-30  1.000000E-30  1.000000E-30
    287  1.219299358624E-01  1.053135E-16  1.193371E-12  7.266785E-22  2.430967E-24  7.860444E-28  1.000000E-30  1.000000E-30  1.000000E-30
    288  1.225766858039E-01  1.109839E-16  1.163703E-12  7.266330E-22  2.430706E-24  7.854848E-28  1.000000E-30  1.000000E-30  1.000000E-30
    289  1.231854533608E-01  1.166466E-16  1.137764E-12  7.265902E-22  2.430460E-24  7.849584E-28  1.000000E-30  1.000000E-30  1.000000E-30
    290  1.237219182154E-01  1.219128E-16  1.116299E-12  7.265524E-22  2.430243E-24  7.844948E-28  1.000000E-30  1.000000E-30  1.000000E-30
    291  1.242404039059E-01  1.272583E-16  1.096640E-12  7.265159E-22  2.430034E-24  7.840470E-28  1.000000E-30  1.000000E-30  1.000000E-30
    292  1.248086455930E-01  1.334235E-16  1.076212E-12  7.264760E-22  2.429805E-24  7.835565E-28  1.000000E-30  1.000000E-30  1.000000E-30
    293  1.253177247642E-01  1.392444E-16  1.058701E-12  7.264401E-22  2.429599E-24  7.831174E-28  1.000000E-30  1.000000E-30  1.000000E-30
    294  1.258810647447E-01  1.460190E-16  1.040182E-12  7.264005E-22  2.429372E-24  7.826318E-28  1.000000E-30  1.000000E-30  1.000000E-30
    295  1.264205598797E-01  1.528532E-16  1.023227E-12  7.263625E-22  2.429154E-24  7.821669E-28  1.000000E-30  1.000000E-30  1.000000E-30
    296  1.270317883483E-01  1.610410E-16  1.004814E-12  7.263196E-22  2.428908E-24  7.816407E-28  1.000000E-30  1.000000E-30  1.000000E-30
    297  1.275757308169E-01  1.687453E-16  9.890239E-13  7.262813E-22  2.428688E-24  7.811726E-28  1.000000E-30  1.000000E-30  1.000000E-30
    298  1.286048671531E-01  1.844586E-16  9.608528E-13  7.262089E-22  2.428273E-24  7.802879E-28  1.000000E-30  1.000000E-30  1.000000E-30
    299  1.290949488661E-01  1.925191E-16  9.480146E-13  7.261744E-22  2.428076E-24  7.798669E-28  1.000000E-30  1.000000E-30  1.000000E-30
    300  1.295345101683E-01  2.000797E-16  9.368485E-13  7.261435E-22  2.427898E-24  7.794895E-28  1.000000E-30  1.000000E-30  1.000000E-30
    301  1.303954523490E-01  2.158418E-16  9.159739E-13  7.260830E-22  2.427551E-24  7.787509E-28  1.000000E-30  1.000000E-30  1.000000E-30
    302  1.308549873199E-01  2.248248E-16  9.052638E-13  7.260507E-22  2.427366E-24  7.783569E-28  1.000000E-30  1.000000E-30  1.000000E-30
    303  1.312776310019E-01  2.334546E-16  8.957052E-13  7.260209E-22  2.427195E-24  7.779948E-28  1.000000E-30  1.000000E-30  1.000000E-30
    304  1.320787884157E-01  2.508232E-16  8.784316E-13  7.259646E-22  2.426873E-24  7.773088E-28  1.000000E-30  1.000000E-30  1.000000E-30
    305  1.327308179063E-01  2.660281E-16  8.651322E-13  7.259188E-22  2.426610E-24  7.767509E-28  1.000000E-30  1.000000E-30  1.000000E-30
    306  1.333821207310E-01  2.822603E-16  8.525676E-13  7.258730E-22  2.426347E-24  7.761940E-28  1.000000E-30  1.000000E-30  1.000000E-30
    307  1.339749669338E-01  2.979873E-16  8.417801E-13  7.258313E-22  2.426108E-24  7.756875E-28  1.000000E-30  1.000000E-30  1.000000E-30
    308  1.345530840576E-01  3.142749E-16  8.318407E-13  7.257906E-22  2.425875E-24  7.751939E-28  1.000000E-30  1.000000E-30  1.000000E-30
    309  1.351098094661E-01  3.309169E-16  8.228110E-13  7.257515E-22  2.425651E-24  7.747188E-28  1.000000E-30  1.000000E-30  1.000000E-30
    310  1.359304916944E-01  3.572323E-16  8.104801E-13  7.256938E-22  2.425320E-24  7.740191E-28  1.000000E-30  1.000000E-30  1.000000E-30
    311  1.363572082699E-01  3.718193E-16  8.045234E-13  7.256638E-22  2.425149E-24  7.736555E-28  1.000000E-30  1.000000E-30  1.000000E-30
    312  1.367788244083E-01  3.869030E-16  7.989347E-13  7.256342E-22  2.424979E-24  7.732964E-28  1.000000E-30  1.000000E-30  1.000000E-30
    313  1.375777712339E-01  4.173328E-16  7.891914E-13  7.255781E-22  2.424657E-24  7.726165E-28  1.000000E-30  1.000000E-30  1.000000E-30
    314  1.380438267916E-01  4.362674E-16  7.840262E-13  7.255453E-22  2.424469E-24  7.722201E-28  1.000000E-30  1.000000E-30  1.000000E-30
    315  1.384690951451E-01  4.543932E-16  7.796405E-13  7.255154E-22  2.424298E-24  7.718586E-28  1.000000E-30  1.000000E-30  1.000000E-30
    316  1.391087445178E-01  4.832252E-16  7.736601E-13  7.254705E-22  2.424040E-24  7.713152E-28  1.000000E-30  1.000000E-30  1.000000E-30
    317  1.397002518981E-01  5.116346E-16  7.688101E-13  7.254289E-22  2.423802E-24  7.708130E-28  1.000000E-30  1.000000E-30  1.000000E-30
    318  1.402705851668E-01  5.407529E-16  7.647661E-13  7.253888E-22  2.423573E-24  7.703291E-28  1.000000E-30  1.000000E-30  1.000000E-30
    319  1.408634912375E-01  5.729793E-16  7.612432E-13  7.253472E-22  2.423334E-24  7.698264E-28  1.000000E-30  1.000000E-30  1.000000E-30
    320  1.414089642241E-01  6.044372E-16  7.586376E-13  7.253089E-22  2.423114E-24  7.693642E-28  1.000000E-30  1.000000E-30  1.000000E-30
    321  1.419220762512E-01  6.357070E-16  7.567692E-13  7.252728E-22  2.422908E-24  7.689297E-28  1.000000E-30  1.000000E-30  1.000000E-30
    322  1.422771704232E-01  6.584033E-16  7.558092E-13  7.252479E-22  2.422765E-24  7.686291E-28  1.000000E-30  1.000000E-30  1.000000E-30
    323  1.426029315631E-01  6.800060E-16  7.551789E-13  7.252250E-22  2.422634E-24  7.683535E-28  1.000000E-30  1.000000E-30  1.000000E-30
    324  1.430135230101E-01  7.082989E-16  7.547480E-13  7.251961E-22  2.422469E-24  7.680062E-28  1.000000E-30  1.000000E-30  1.000000E-30
    325  1.434683796643E-01  7.411027E-16  7.547376E-13  7.251642E-22  2.422286E-24  7.676217E-28  1.000000E-30  1.000000E-30  1.000000E-30
    326  1.440315208021E-01  7.839789E-16  7.554340E-13  7.251246E-22  2.422059E-24  7.671459E-28  1.000000E-30  1.000000E-30  1.000000E-30
    327  1.445490332405E-01  8.258074E-16  7.568233E-13  7.250883E-22  2.421851E-24  7.667089E-28  1.000000E-30  1.000000E-30  1.000000E-30
    328  1.451370980342E-01  8.762047E-16  7.592873E-13  7.250470E-22  2.421614E-24  7.662127E-28  1.000000E-30  1.000000E-30  1.000000E-30
    329  1.457052374241E-01  9.279540E-16  7.626068E-13  7.250071E-22  2.421386E-24  7.657336E-28  1.000000E-30  1.000000E-30  1.000000E-30
    330  1.463107957421E-01  9.868120E-16  7.672358E-13  7.249646E-22  2.421142E-24  7.652232E-28  1.000000E-30  1.000000E-30  1.000000E-30
    331  1.468752132891E-01  1.045235E-15  7.726284E-13  7.249249E-22  2.420915E-24  7.647478E-28  1.000000E-30  1.000000E-30  1.000000E-30
    332  1.475510939381E-01  1.119943E-15  7.805047E-13  7.248775E-22  2.420644E-24  7.641790E-28  1.000000E-30  1.000000E-30  1.000000E-30
    333  1.481899111058E-01  1.195826E-15  7.894912E-13  7.248326E-22  2.420387E-24  7.636417E-28  1.000000E-30  1.000000E-30  1.000000E-30
    334  1.491767377555E-01  1.323809E-15  8.065849E-13  7.247634E-22  2.419990E-24  7.628125E-28  1.000000E-30  1.000000E-30  1.000000E-30
    335  1.497116139607E-01  1.398982E-15  8.175789E-13  7.247258E-22  2.419775E-24  7.623635E-28  1.000000E-30  1.000000E-30  1.000000E-30
    336  1.502421520731E-01  1.478155E-15  8.298475E-13  7.246886E-22  2.419562E-24  7.619183E-28  1.000000E-30  1.000000E-30  1.000000E-30
    337  1.509052103900E-01  1.583574E-15  8.471394E-13  7.246420E-22  2.419296E-24  7.613623E-28  1.000000E-30  1.000000E-30  1.000000E-30
    338  1.515352476696E-01  1.690777E-15  8.657122E-13  7.245978E-22  2.419042E-24  7.608344E-28  1.000000E-30  1.000000E-30  1.000000E-30
    339  1.521327102765E-01  1.799609E-15  8.854921E-13  7.245559E-22  2.418802E-24  7.603342E-28  1.000000E-30  1.000000E-30  1.000000E-30
    340  1.526678407657E-01  1.903107E-15  9.050852E-13  7.245183E-22  2.418587E-24  7.598864E-28  1.000000E-30  1.000000E-30  1.000000E-30
    341  1.532481602429E-01  2.022052E-15  9.284498E-13  7.244776E-22  2.418354E-24  7.594010E-28  1.000000E-30  1.000000E-30  1.000000E-30
    342  1.535863948111E-01  2.094822E-15  9.431530E-13  7.244539E-22  2.418218E-24  7.591183E-28  1.000000E-30  1.000000E-30  1.000000E-30
    343  1.538995751697E-01  2.164760E-15  9.575759E-13  7.244319E-22  2.418093E-24  7.588566E-28  1.000000E-30  1.000000E-30  1.000000E-30
    344  1.546020187628E-01  2.330123E-15  9.927228E-13  7.243826E-22  2.417810E-24  7.582700E-28  1.000000E-30  1.000000E-30  1.000000E-30
    345  1.552062305672E-01  2.482209E-15  1.026233E-12  7.243402E-22  2.417568E-24  7.577658E-28  1.000000E-30  1.000000E-30  1.000000E-30
    346  1.557875935888E-01  2.638098E-15  1.061665E-12  7.242994E-22  2.417334E-24  7.572810E-28  1.000000E-30  1.000000E-30  1.000000E-30
    347  1.566447447202E-01  2.885835E-15  1.120144E-12  7.242393E-22  2.416990E-24  7.565668E-28  1.000000E-30  1.000000E-30  1.000000E-30
    348  1.574294426159E-01  3.132131E-15  1.180650E-12  7.241842E-22  2.416675E-24  7.559135E-28  1.000000E-30  1.000000E-30  1.000000E-30
    349  1.581710514975E-01  3.384287E-15  1.244923E-12  7.241322E-22  2.416378E-24  7.552966E-28  1.000000E-30  1.000000E-30  1.000000E-30
    350  1.588328903187E-01  3.625283E-15  1.308415E-12  7.240858E-22  2.416112E-24  7.547466E-28  1.000000E-30  1.000000E-30  1.000000E-30
    351  1.594606073659E-01  3.868831E-15  1.374466E-12  7.240418E-22  2.415860E-24  7.542252E-28  1.000000E-30  1.000000E-30  1.000000E-30
    352  1.600565792087E-01  4.114822E-15  1.443125E-12  7.240000E-22  2.415621E-24  7.537305E-28  1.000000E-30  1.000000E-30  1.000000E-30
    353  1.607059625219E-01  4.398954E-15  1.524720E-12  7.239545E-22  2.415360E-24  7.531919E-28  1.000000E-30  1.000000E-30  1.000000E-30
    354  1.613957576202E-01  4.720406E-15  1.619791E-12  7.239061E-22  2.415084E-24  7.526202E-28  1.000000E-30  1.000000E-30  1.000000E-30
    355  1.620398820205E-01  5.040475E-15  1.717413E-12  7.238609E-22  2.414825E-24  7.520868E-28  1.000000E-30  1.000000E-30  1.000000E-30
    356  1.627691861850E-01  5.425539E-15  1.838579E-12  7.238098E-22  2.414533E-24  7.514832E-28  1.000000E-30  1.000000E-30  1.000000E-30
    357  1.634667099868E-01  5.818220E-15  1.966026E-12  7.237609E-22  2.414253E-24  7.509064E-28  1.000000E-30  1.000000E-30  1.000000E-30
