 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                n14           n15           n16           n17           n18           n19           n20           n21  
     15  1.081477360150E-09  1.212275E-20  3.051973E-18  7.353090E-22  2.480701E-24  8.990701E-28  1.315957E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  8.835334E-21  2.023188E-18  7.353090E-22  2.480701E-24  8.990701E-28  1.315957E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.584926E-21  2.096326E-19  7.353090E-22  2.480701E-24  8.990701E-28  1.315957E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  5.154397E-23  1.000000E-30  7.353090E-22  2.480700E-24  8.990699E-28  1.315956E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  2.438426E-23  8.190022E-22  7.353090E-22  2.480700E-24  8.990694E-28  1.315954E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  2.431020E-23  8.294239E-22  7.353089E-22  2.480700E-24  8.990684E-28  1.315951E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  2.436824E-23  8.317301E-22  7.353087E-22  2.480699E-24  8.990659E-28  1.315942E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  2.468079E-23  8.441637E-22  7.353078E-22  2.480693E-24  8.990524E-28  1.315897E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  2.590038E-23  8.929317E-22  7.353041E-22  2.480672E-24  8.990015E-28  1.315724E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  4.202000E-23  1.569498E-21  7.352675E-22  2.480460E-24  8.984919E-28  1.313994E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  9.954106E-23  4.297862E-21  7.352025E-22  2.480084E-24  8.975885E-28  1.310931E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  2.290265E-22  1.139904E-20  7.351396E-22  2.479720E-24  8.967145E-28  1.307971E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  8.374766E-22  5.225085E-20  7.350405E-22  2.479147E-24  8.953383E-28  1.303319E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  2.473231E-21  1.877281E-19  7.349562E-22  2.478659E-24  8.941702E-28  1.299376E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  5.032615E-21  4.359359E-19  7.348992E-22  2.478329E-24  8.933811E-28  1.296718E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.080422E-20  1.086043E-18  7.348368E-22  2.477968E-24  8.925168E-28  1.293809E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  2.209730E-20  2.569050E-18  7.347760E-22  2.477616E-24  8.916763E-28  1.290983E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  3.412855E-20  4.351998E-18  7.347379E-22  2.477396E-24  8.911498E-28  1.289216E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  4.778637E-20  6.563598E-18  7.347076E-22  2.477221E-24  8.907324E-28  1.287815E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.311715E-19  2.287961E-17  7.346115E-22  2.476665E-24  8.894060E-28  1.283370E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  3.292757E-19  7.360677E-17  7.345145E-22  2.476104E-24  8.880703E-28  1.278902E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  6.126456E-19  1.658535E-16  7.344418E-22  2.475683E-24  8.870692E-28  1.275559E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.035888E-18  3.368584E-16  7.343738E-22  2.475290E-24  8.861345E-28  1.272443E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.838861E-18  7.544546E-16  7.342905E-22  2.474809E-24  8.849917E-28  1.268639E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  2.987554E-18  1.547936E-15  7.342098E-22  2.474342E-24  8.838845E-28  1.264959E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  5.536619E-18  4.149100E-15  7.340879E-22  2.473637E-24  8.822149E-28  1.259421E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  8.755259E-18  9.266958E-15  7.339777E-22  2.473000E-24  8.807084E-28  1.254436E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.661461E-17  3.087098E-14  7.337933E-22  2.471934E-24  8.781925E-28  1.246137E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  2.437536E-17  6.056329E-14  7.336816E-22  2.471289E-24  8.766729E-28  1.241139E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  3.711411E-17  1.127920E-13  7.335761E-22  2.470679E-24  8.752385E-28  1.236431E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  8.584987E-17  2.945680E-13  7.334134E-22  2.469739E-24  8.730307E-28  1.229206E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  1.671739E-16  5.496314E-13  7.333132E-22  2.469161E-24  8.716743E-28  1.224778E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  3.671218E-16  1.057727E-12  7.332142E-22  2.468589E-24  8.703361E-28  1.220419E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  4.595265E-16  1.258592E-12  7.331889E-22  2.468442E-24  8.699933E-28  1.219304E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  5.751860E-16  1.490010E-12  7.331642E-22  2.468300E-24  8.696599E-28  1.218220E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  7.255442E-16  1.765177E-12  7.331392E-22  2.468155E-24  8.693219E-28  1.217122E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  7.961270E-16  1.886234E-12  7.331292E-22  2.468098E-24  8.691881E-28  1.216687E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  8.725332E-16  2.012260E-12  7.331196E-22  2.468042E-24  8.690582E-28  1.216265E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.080197E-15  2.332584E-12  7.330974E-22  2.467914E-24  8.687586E-28  1.215292E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.384491E-15  2.756234E-12  7.330715E-22  2.467765E-24  8.684094E-28  1.214159E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.734128E-15  3.193825E-12  7.330477E-22  2.467627E-24  8.680883E-28  1.213117E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  2.193308E-15  3.711131E-12  7.330223E-22  2.467480E-24  8.677455E-28  1.212006E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  2.700907E-15  4.228150E-12  7.329990E-22  2.467346E-24  8.674323E-28  1.210991E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  2.921739E-15  4.439111E-12  7.329900E-22  2.467294E-24  8.673114E-28  1.210599E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  3.111516E-15  4.614361E-12  7.329829E-22  2.467253E-24  8.672154E-28  1.210288E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  3.790241E-15  5.204665E-12  7.329601E-22  2.467121E-24  8.669077E-28  1.209292E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  5.307492E-15  6.375100E-12  7.329189E-22  2.466883E-24  8.663539E-28  1.207500E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  7.135023E-15  7.609405E-12  7.328799E-22  2.466658E-24  8.658296E-28  1.205805E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  8.336781E-15  8.353102E-12  7.328581E-22  2.466533E-24  8.655365E-28  1.204857E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  8.794318E-15  8.625040E-12  7.328505E-22  2.466488E-24  8.654339E-28  1.204526E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  9.192600E-15  8.857129E-12  7.328442E-22  2.466452E-24  8.653487E-28  1.204251E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.079634E-14  9.757444E-12  7.328204E-22  2.466315E-24  8.650300E-28  1.203221E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  1.422934E-14  1.155158E-11  7.327766E-22  2.466062E-24  8.644410E-28  1.201321E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  1.782421E-14  1.331240E-11  7.327369E-22  2.465832E-24  8.639076E-28  1.199601E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  2.078464E-14  1.471455E-11  7.327071E-22  2.465660E-24  8.635079E-28  1.198314E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  2.398496E-14  1.621021E-11  7.326768E-22  2.465485E-24  8.631015E-28  1.197005E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  2.604372E-14  1.718019E-11  7.326574E-22  2.465374E-24  8.628420E-28  1.196170E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  2.798661E-14  1.811360E-11  7.326388E-22  2.465266E-24  8.625924E-28  1.195367E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  3.013226E-14  1.918199E-11  7.326172E-22  2.465142E-24  8.623030E-28  1.194437E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  3.216932E-14  2.026048E-11  7.325947E-22  2.465012E-24  8.620017E-28  1.193468E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  3.322136E-14  2.085823E-11  7.325817E-22  2.464937E-24  8.618280E-28  1.192910E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  3.433951E-14  2.153310E-11  7.325667E-22  2.464850E-24  8.616272E-28  1.192265E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  3.544098E-14  2.227886E-11  7.325491E-22  2.464749E-24  8.613910E-28  1.191507E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  3.624304E-14  2.292709E-11  7.325324E-22  2.464652E-24  8.611673E-28  1.190789E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  3.684860E-14  2.359323E-11  7.325130E-22  2.464540E-24  8.609085E-28  1.189959E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  3.708502E-14  2.414566E-11  7.324941E-22  2.464431E-24  8.606552E-28  1.189146E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  3.690823E-14  2.463730E-11  7.324726E-22  2.464307E-24  8.603673E-28  1.188223E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  3.633329E-14  2.494246E-11  7.324531E-22  2.464194E-24  8.601068E-28  1.187388E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  3.537575E-14  2.510430E-11  7.324336E-22  2.464082E-24  8.598466E-28  1.186555E-30  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  3.400217E-14  2.510309E-11  7.324137E-22  2.463967E-24  8.595811E-28  1.185705E-30  1.000000E-30  1.000000E-30
     85  4.099011663524E-02  3.251301E-14  2.495415E-11  7.323967E-22  2.463869E-24  8.593532E-28  1.184975E-30  1.000000E-30  1.000000E-30
     86  4.118445936105E-02  3.111610E-14  2.472836E-11  7.323829E-22  2.463789E-24  8.591692E-28  1.184386E-30  1.000000E-30  1.000000E-30
